_ID_,cnoMean,ecef[0],ecef[1],ecef[2],hAcc,hMSL,lla[0],lla[1],lla[2],pDop,status,timeOfWeekMs,towOffset,vAcc,week
122,34.1428566,3099237.7000000002,1013412.67,5463306.9000000004,0.601000011,17.1600018,59.338667799999996,18.107109099999999,41.361000000000004,1,1074725654,399029000,398016.71972810919,0.898000062,2040
278,34.1785698,3099237.71,1013412.67,5463306.9299999997,0.599000037,17.1880016,59.338667899999997,18.107109099999999,41.389000000000003,1,1074725654,399029200,398016.71972810919,0.896000028,2040
432,34.1071434,3099237.7200000002,1013412.6800000001,5463306.9500000002,0.597000003,17.2070007,59.338667899999997,18.107109099999999,41.408000000000001,1,1074725654,399029400,398016.71972810919,0.893000066,2040
586,34.1071434,3099237.73,1013412.6800000001,5463306.9800000004,0.595000029,17.2440014,59.338667899999997,18.1071092,41.445,1,1074725654,399029600,398016.71972810919,0.891000032,2040
740,34.1785698,3099237.7400000002,1013412.6800000001,5463306.9900000002,0.594000041,17.2560005,59.338667899999997,18.107109099999999,41.457000000000001,1,1074725654,399029800,398016.71972810919,0.890000045,2040
901,34.1071434,3099237.7400000002,1013412.6800000001,5463306.9800000004,0.593000054,17.2440014,59.338667799999996,18.107109099999999,41.445,1,1074725654,399030000,398016.71969775157,0.888000071,2040
1052,34.1785698,3099237.75,1013412.6900000001,5463306.9900000002,0.591000021,17.2639999,59.338667799999996,18.1071092,41.465000000000003,1,1074725654,399030200,398016.71969775157,0.886000037,2040
1206,34.1071434,3099237.75,1013412.7000000001,5463307.0200000005,0.590000033,17.2880001,59.338667899999997,18.107109299999998,41.489000000000004,1,1074725654,399030400,398016.71969775157,0.88500005,2040
1360,34.1428566,3099237.7600000002,1013412.7000000001,5463307.04,0.589000046,17.3130016,59.338667899999997,18.107109299999998,41.514000000000003,1,1074725654,399030600,398016.71969775157,0.883000016,2040
1511,34.1428566,3099237.7600000002,1013412.7100000001,5463307.0499999998,0.587000012,17.3250008,59.338667999999998,18.107109399999999,41.526000000000003,1,1074725654,399030800,398016.71969775157,0.882000029,2040
1668,34.1071434,3099237.77,1013412.7100000001,5463307.0700000003,0.586000025,17.3400002,59.338667999999998,18.1071095,41.541000000000004,1,1074725654,399031000,398016.71975878673,0.880000055,2040
1824,34.0714302,3099237.77,1013412.72,5463307.0600000005,0.586000025,17.335001,59.338667899999997,18.1071095,41.536000000000001,1,1074725654,399031200,398016.71975878673,0.879000068,2040
