_ID_,sAcc,timeOfWeekMs,velEcef[0],velEcef[1],velEcef[2]
91,0.229999989,399655400,-0.0199999996,-0.00999999978,0.0599999987
248,0.179999992,399655600,0.00999999978,-0.0199999996,0.00999999978
399,0.239999995,399655800,0.0399999991,0.00999999978,0.049999997
553,0.229999989,399656000,-0.0299999993,-0.00999999978,0.0700000003
718,0.219999999,399656200,0.00999999978,0.00999999978,0.00999999978
869,0.229999989,399656400,0.0399999991,0.0199999996,0.0199999996
1023,0.239999995,399656600,0.00999999978,-0.00999999978,-0.0899999961
1177,0.209999993,399656800,-0.0199999996,0.0299999993,0.0199999996
1335,0.229999989,399657000,-0.0399999991,-0.00999999978,0.049999997
1496,0.229999989,399657200,0.0700000003,-0.00999999978,0.109999999
1641,0.229999989,399657400,0.170000002,-0.0299999993,0.5
1798,0.25999999,399657600,0.359999985,0.209999993,0.519999981
1952,0.25999999,399657800,0.25,0.109999999,0.870000005
2106,0.25,399658000,0.479999989,0.140000001,0.680000007
2260,0.269999981,399658200,0.610000014,0.280000001,0.409999996
2414,0.239999995,399658400,0.5,0.359999985,0.0599999987
2568,0.179999992,399658600,0.340000004,0.610000014,-0.319999993
2722,0.179999992,399658800,0.379999995,0.620000005,-0.219999999
2873,0.189999998,399659000,0.049999997,0.479999989,0.049999997
3035,0.199999988,399659200,-0.159999996,0.560000002,-0.0899999961
3189,0.229999989,399659400,-0.359999985,0.769999981,-0.119999997
3343,0.299999982,399659600,-0.379999995,1.01999998,0.419999987
3497,0.239999995,399659800,-0.149999991,0.799999952,-0.0799999982
3648,0.25999999,399660000,-0.25999999,0.849999964,-0.170000002
3805,0.189999998,399660200,-0.0799999982,1.07999992,-0.109999999
3956,0.189999998,399660400,-0.0599999987,0.959999979,-0.0599999987
4110,0.189999998,399660600,-0.149999991,1.11000001,-0.25
4264,0.179999992,399660800,-0.0299999993,1.20999992,-0.25
4418,0.189999998,399661000,0.109999999,1.03999996,-0.310000002
4575,0.25,399661200,0.099999994,0.909999967,-0.75
4729,0.219999999,399661400,0.209999993,1.01999998,-0.349999994
4883,0.209999993,399661600,0.239999995,0.939999998,0.129999995
5043,0.199999988,399661800,0.209999993,0.930000007,-0.199999988
5194,0.229999989,399662000,0.049999997,1.01999998,-0.639999986
5351,0.229999989,399662200,0.319999993,1.20999992,-0.099999994
5499,0.25,399662400,0.299999982,0.930000007,-0.349999994
5653,0.25999999,399662600,0.449999988,1.01999998,-0.519999981
5810,0.239999995,399662800,0.629999995,0.979999959,-0.159999996
5964,0.25,399663000,0.379999995,0.75,-0.379999995
6118,0.25999999,399663200,0.359999985,1.04999995,-0.659999967
6272,0.229999989,399663400,0.74000001,1.26999998,-0.389999986
6429,0.25,399663600,0.610000014,0.839999974,-0.529999971
6583,0.280000001,399663800,0.579999983,0.98999995,-0.589999974
6734,0.25999999,399664000,0.699999988,1,-0.170000002
6888,0.25,399664200,0.599999964,0.899999976,-0.329999983
7042,0.25999999,399664400,0.449999988,1,-0.779999971
7196,0.229999989,399664600,0.859999955,1.12,-0.319999993
7350,0.25,399664800,0.539999962,0.919999957,-0.469999999
7504,0.25,399665000,0.689999998,0.969999969,-0.48999998
7655,0.269999981,399665200,0.550000012,0.75,-0.969999969
7812,0.239999995,399665400,0.599999964,1.01999998,-0.349999994
7966,0.280000001,399665600,0.469999999,1.10000002,-0.769999981
8123,0.25,399665800,0.799999952,0.879999995,-0.340000004
8274,0.329999983,399666000,0.209999993,0.899999976,-0.969999969
8431,0.289999992,399666200,0.889999986,1.02999997,-0.439999998
8579,0.280000001,399666400,0.550000012,0.870000005,-0.379999995
8733,0.359999985,399666600,0.299999982,0.729999959,-1.03999996
8890,0.310000002,399666800,0.629999995,0.98999995,-0.669999957
9041,0.319999993,399667000,0.819999993,0.870000005,0.159999996
9199,0.359999985,399667200,0.479999989,0.579999983,-0.839999974
9353,0.269999981,399667400,0.889999986,0.919999957,-0.409999996
9510,0.280000001,399667600,0.550000012,0.810000002,-0.409999996
9661,0.349999994,399667800,0.599999964,0.819999993,-0.839999974
9821,0.289999992,399668000,0.899999976,1.03999996,-0.359999985
9969,0.340000004,399668200,0.649999976,0.699999988,-0.599999964
10123,0.370000005,399668400,0.75,0.709999979,-0.789999962
10277,0.319999993,399668600,0.769999981,0.75,-0.449999988
10431,0.319999993,399668800,0.560000002,0.799999952,-0.579999983
10585,0.370000005,399669000,0.519999981,0.849999964,-0.930000007
10739,0.269999981,399669200,0.979999959,1,-0.5
10893,0.310000002,399669400,0.810000002,0.599999964,-0.550000012
11047,0.319999993,399669600,0.799999952,0.680000007,-0.699999988
11201,0.280000001,399669800,0.729999959,0.699999988,-0.370000005
11358,0.310000002,399670000,0.620000005,0.629999995,-0.560000002
11509,0.329999983,399670200,0.469999999,0.969999969,-0.819999993
11660,0.280000001,399670400,0.819999993,0.879999995,-0.459999979
11817,0.319999993,399670600,0.819999993,0.729999959,-0.560000002
11971,0.310000002,399670800,0.849999964,0.599999964,-0.689999998
12125,0.269999981,399671000,1.12,0.639999986,-0.310000002
12282,0.340000004,399671200,0.699999988,0.550000012,-1.03999996
12433,0.319999993,399671400,0.839999974,0.919999957,-0.5
12587,0.280000001,399671600,0.919999957,0.859999955,-0.299999982
12744,0.329999983,399671800,0.48999998,0.589999974,-0.959999979
12901,0.25999999,399672000,1.05999994,0.74000001,-0.209999993
13052,0.239999995,399672200,0.729999959,0.560000002,-0.299999982
13203,0.25,399672400,0.620000005,0.75,-0.479999989
13357,0.25,399672600,0.649999976,0.879999995,-0.579999983
13508,0.239999995,399672800,0.669999957,0.709999979,-0.399999976
13663,0.269999981,399673000,0.48999998,0.649999976,-0.689999998
13817,0.239999995,399673200,0.810000002,0.879999995,-0.48999998
13971,0.239999995,399673400,0.629999995,0.550000012,-0.340000004
14125,0.25,399673600,0.550000012,0.689999998,-0.589999974
14282,0.25,399673800,0.639999986,0.930000007,-0.529999971
14436,0.239999995,399674000,0.75,0.639999986,-0.310000002
14590,0.239999995,399674200,0.639999986,0.529999971,-0.429999977
14744,0.239999995,399674400,0.810000002,0.560000002,-0.569999993
14898,0.25,399674600,0.919999957,0.479999989,-0.0799999982
15052,0.25999999,399674800,0.569999993,0.610000014,-0.589999974
15210,0.25999999,399675000,0.680000007,0.75999999,-0.599999964
15361,0.229999989,399675200,0.859999955,0.74000001,-0.329999983
15515,0.269999981,399675400,0.560000002,0.560000002,-0.779999971
15666,0.239999995,399675600,0.74000001,0.769999981,-0.610000014
15823,0.239999995,399675800,0.810000002,0.779999971,-0.310000002
15980,0.25999999,399676000,0.560000002,0.620000005,-0.659999967
16131,0.25999999,399676200,0.48999998,0.959999979,-0.669999957
