_ID_,hdwStatus,insStatus,lla[0],lla[1],lla[2],ned[0],ned[1],ned[2],theta[0],theta[1],theta[2],timeOfWeek,uvw[0],uvw[1],uvw[2],week
1,82,25368951,59.338652713453591,18.107083911003269,37.828895026817918,-0.290194392,-0.0746321157,-6.63284779,-0.239730686,-0.32904169,2.30516243,399655.36911596224,-0.0209657792,-0.00544943288,0.0334207155,2040
4,82,25369975,59.338652713728514,18.107083910258115,37.828898214735091,-0.290163845,-0.0746743456,-6.63285112,-0.239812717,-0.329074919,2.30507708,399655.37311596243,-0.0213594697,-0.0055921413,0.0331921317,2040
7,82,25368951,59.338652714052984,18.107083909467367,37.828901274129748,-0.290127784,-0.0747191533,-6.63285398,-0.239903226,-0.329111606,2.30498552,399655.37711596262,-0.0217006579,-0.00553831644,0.0328986645,2040
10,82,25369975,59.338652714332618,18.107083908731692,37.828903480432928,-0.2900967,-0.0747608468,-6.63285637,-0.239988938,-0.329143435,2.30488491,399655.38111596281,-0.0221016146,-0.00543329492,0.0322992504,2040
13,82,25369975,59.338652714612799,18.107083908002846,37.82890687789768,-0.290065587,-0.0748021454,-6.63285971,-0.240044072,-0.329194635,2.30477977,399655.385115963,-0.0222612098,-0.00552278198,0.0322259106,2040
16,82,25368951,59.338652714670175,18.107083907531763,37.828910455107689,-0.290059209,-0.0748288408,-6.63286304,-0.240144715,-0.329255164,2.30469418,399655.38911596319,-0.0224373266,-0.00569739379,0.0325223058,2040
19,82,25369975,59.338652714951543,18.107083906812711,37.828913605771959,-0.290027946,-0.074869588,-6.63286638,-0.240262553,-0.329320848,2.3045702,399655.39311596338,-0.0225379132,-0.00554138981,0.032360509,2040
22,82,25368951,59.338652714920769,18.107083906442401,37.828916133381426,-0.290031374,-0.0748905689,-6.63286877,-0.240344003,-0.329396129,2.30449438,399655.39711596357,-0.0225332342,-0.00543883815,0.0322459079,2040
25,82,25369975,59.338652715188481,18.107083905736392,37.828919759020209,-0.290001631,-0.0749305785,-6.63287258,-0.240438342,-0.329476237,2.3043592,399655.40111596376,-0.0224830676,-0.00528264232,0.032310605,2040
28,82,25369975,59.33865271544753,18.107083905032173,37.828922906890512,-0.289972842,-0.0749704763,-6.63287544,-0.240546718,-0.329559356,2.30422688,399655.40511596395,-0.0224846527,-0.00496031344,0.0321995467,2040
31,82,25368951,59.338652715641089,18.107083904391235,37.828925804235041,-0.289951324,-0.0750068054,-6.6328783,-0.24062711,-0.329658508,2.30410409,399655.40911596414,-0.0225632153,-0.00472263247,0.0320635065,2040
34,82,25369975,59.338652715886141,18.10708390368513,37.82892916444689,-0.289924085,-0.0750468075,-6.63288164,-0.240702495,-0.329751581,2.30396938,399655.41311596433,-0.0226325095,-0.00455814227,0.0320884548,2040
37,82,25368951,59.338652716128017,18.107083902977152,37.828932903707027,-0.289897203,-0.0750869438,-6.63288546,-0.240773037,-0.329838693,2.30384421,399655.41711596452,-0.0226767883,-0.00449228287,0.0322806202,2040
40,82,25369975,59.338652716367484,18.10708390226792,37.828937058337033,-0.28987062,-0.0751271248,-6.63288975,-0.2408351,-0.329911888,2.30370879,399655.42111596471,-0.0226137862,-0.00444690511,0.0326321833,2040
45,82,25369975,59.338652716604145,18.107083901557758,37.828940512612462,-0.289844304,-0.0751673728,-6.63289309,-0.240879878,-0.329965711,2.30355883,399655.4251159649,-0.022675544,-0.00433348492,0.0326682404,2040
48,82,25368951,59.338652716679604,18.107083901035121,37.828945112414658,-0.2898359,-0.0751969889,-6.63289785,-0.240891531,-0.330019832,2.30343819,399655.42911596509,-0.022599576,-0.0047912281,0.0333031863,2040
51,82,25369975,59.338652716928806,18.107083900338399,37.828951243311167,-0.289808244,-0.0752364695,-6.63290405,-0.240989253,-0.330083907,2.30327177,399655.43311596528,-0.0224776678,-0.00544270128,0.0343757607,2040
54,82,25368951,59.338652717275409,18.107083899551874,37.828956003300846,-0.289769709,-0.0752810389,-6.63290882,-0.241103113,-0.330125272,2.30307007,399655.43711596547,-0.0224073641,-0.0057346262,0.0346523821,2040
57,82,25369975,59.338652717537585,18.107083898876077,37.828960254788399,-0.289740562,-0.0753193349,-6.63291311,-0.241178915,-0.330149472,2.30286717,399655.44111596566,-0.0223691314,-0.00599158183,0.0347790234,2040
60,83,25369975,59.338652717804258,18.107083898209535,37.828965104185045,-0.289710939,-0.0753571019,-6.63291788,-0.241296291,-0.330178618,2.30264759,399655.44511596585,-0.022351291,-0.00632835925,0.0351816751,2040
63,83,25368951,59.338652718008959,18.107083897620676,37.828969190828502,-0.2896882,-0.075390473,-6.6329217,-0.241427749,-0.330200315,2.3024404,399655.44911596604,-0.0223138258,-0.00637020357,0.0353176706,2040
66,83,25369975,59.338652718278063,18.107083896960628,37.828973571769893,-0.289658308,-0.0754278749,-6.63292646,-0.241545424,-0.330220371,2.30220366,399655.45311596623,-0.0223779455,-0.006519977,0.0355189331,2040
69,83,25368951,59.33865271854927,18.107083896299894,37.828978062607348,-0.289628148,-0.0754653215,-6.63293076,-0.241666496,-0.330236018,2.30195951,399655.45711596642,-0.0224282481,-0.00662834011,0.0357699841,2040
72,83,25369975,59.338652718820065,18.107083895639978,37.828982344828546,-0.289598078,-0.075502716,-6.63293505,-0.241788328,-0.330251664,2.30171967,399655.46111596661,-0.0223490074,-0.00665299781,0.0358779877,2040
75,83,25369975,59.338652719088188,18.107083894984154,37.828986740671098,-0.289568275,-0.0755398721,-6.63293934,-0.24191004,-0.330264956,2.30147886,399655.4651159668,-0.0222587977,-0.00670436397,0.036027614,2040
