_ID_,acc1[0],acc1[1],acc1[2],acc2[0],acc2[1],acc2[2],pqr1[0],pqr1[1],pqr1[2],pqr2[0],pqr2[1],pqr2[2],status,time
1,-2.09852481,-0.836061358,-9.35470867,-2.10760188,-0.886738956,-9.4855175,0.000369852642,-0.0129216285,0.0108804461,0.0103336377,-0.0203582719,0.00314359716,541103648,1653.755872182548
4,-2.09325171,-0.837344944,-9.32296085,-2.15875721,-0.921271205,-9.46243382,0.000431005843,-0.018189447,-0.00083701493,0.0023285225,-0.0178709794,0.00518440362,541103648,1653.759872182738
7,-2.07712722,-0.843445718,-9.33832741,-2.16419053,-0.924643695,-9.47229385,-0.00549606001,-0.0198638402,0.00603961619,-0.000799001544,-0.025002433,0.0147257894,541103648,1653.763872182928
10,-2.13376355,-0.879102111,-9.28878021,-2.1622541,-0.935978949,-9.38066483,-0.0106382566,-0.0228213798,0.0133233303,-0.0065165516,-0.0274091605,0.00945609063,541103648,1653.767872183118
13,-2.11808491,-0.853319526,-9.27286911,-2.17954826,-0.934462786,-9.37836838,-0.0184494182,-0.0287191477,0.00148570759,-0.0185199715,-0.0273103844,0.0109722447,541103648,1653.771872183308
16,-2.19581485,-0.822985888,-9.32876205,-2.25266433,-0.91718179,-9.44941902,-0.0359504931,-0.0241225101,0.0136982147,-0.0293857213,-0.0310679879,0.0152715864,541103648,1653.775872183498
19,-2.23247981,-0.836653769,-9.31869984,-2.28451777,-0.939543784,-9.41304779,-0.0390931219,-0.0227631237,0.00680113025,-0.0347981229,-0.0248276405,0.00376847037,541103648,1653.779872183688
22,-2.26383853,-0.784380615,-9.32539368,-2.2900238,-0.882624507,-9.42358971,-0.0517507046,-0.023608502,-0.00458804471,-0.0468912087,-0.0261979233,0.00616805209,541103648,1653.783872183878
25,-2.258219,-0.747360528,-9.34877872,-2.30099893,-0.832388043,-9.4844265,-0.0602889508,-0.016722003,0.00335021573,-0.0495198146,-0.0250377171,-0.00129694468,541103648,1653.787872184068
28,-2.27671742,-0.710262239,-9.37237263,-2.30886436,-0.828903079,-9.50293064,-0.0597281493,-0.0196547136,-0.0140691176,-0.0550423563,-0.0235390868,-0.00901130587,541103648,1653.791872184258
31,-2.27616429,-0.703020394,-9.33088493,-2.32485557,-0.79796648,-9.51914406,-0.0641475469,-0.019155832,-0.0194864422,-0.0613535494,-0.0218135752,-0.00855674874,541103648,1653.7958721844479
34,-2.30928898,-0.667178273,-9.43310928,-2.33902764,-0.735374212,-9.54257774,-0.0692865774,-0.0133251678,-0.0188421626,-0.0583737083,-0.0201820694,-0.0275478512,541103648,1653.7998721846379
37,-2.29280519,-0.642896354,-9.45781326,-2.35141492,-0.743258297,-9.57159042,-0.0647849515,-0.0158651564,-0.0383768417,-0.0593960322,-0.0156963784,-0.0326736979,541103648,1653.8038721848279
