_ID_,dt,status,theta1[0],theta1[1],theta1[2],theta2[0],theta2[1],theta2[2],time,vel1[0],vel1[1],vel1[2],vel2[0],vel2[1],vel2[2]
2,0.00400000019,0,1.47941068e-06,-5.16865184e-05,4.3521788e-05,4.13345551e-05,-8.14330924e-05,1.25743891e-05,1653.755872182548,-0.00839409977,-0.00334424572,-0.0374188386,-0.00843040831,-0.003546956,-0.0379420705
5,0.00400000019,0,1.72402349e-06,-7.27577935e-05,-3.34805986e-06,9.31409068e-06,-7.14839189e-05,2.07376161e-05,1653.759872182738,-0.00837300718,-0.00334937987,-0.0372918472,-0.0086350292,-0.0036850851,-0.0378497392
8,0.00400000019,0,-2.19842423e-05,-7.94553634e-05,2.41584657e-05,-3.19600645e-06,-0.00010000974,5.89031624e-05,1653.763872182928,-0.00830850936,-0.00337378308,-0.0373533107,-0.00865676254,-0.00369857508,-0.0378891788
11,0.00400000019,0,-4.25530307e-05,-9.12855248e-05,5.32933227e-05,-2.60662073e-05,-0.000109636647,3.7824364e-05,1653.767872183118,-0.00853505451,-0.00351640861,-0.0371551216,-0.00864901673,-0.00374391605,-0.0375226624
14,0.00400000019,0,-7.37976807e-05,-0.000114876595,5.94283074e-06,-7.40798932e-05,-0.000109241548,4.38889801e-05,1653.771872183308,-0.00847234018,-0.00341327838,-0.0370914787,-0.00871819351,-0.00373785128,-0.0375134759
17,0.00400000019,0,-0.000143801983,-9.64900464e-05,5.47928612e-05,-0.000117542892,-0.000124271959,6.10863499e-05,1653.775872183498,-0.00878326036,-0.00329194381,-0.037315052,-0.00901065767,-0.00366872735,-0.0377976783
20,0.00400000019,0,-0.000156372495,-9.10524977e-05,2.72045236e-05,-0.000139192503,-9.93105714e-05,1.50738824e-05,1653.779872183688,-0.00892991945,-0.00334661524,-0.0372748002,-0.00913807191,-0.0037581753,-0.0376521945
23,0.00400000019,0,-0.000207002828,-9.44340136e-05,-1.83521806e-05,-0.000187564845,-0.000104791703,2.46722102e-05,1653.783872183878,-0.00905535463,-0.00313752261,-0.0373015776,-0.00916009583,-0.00353049836,-0.0376943611
26,0.00400000019,0,-0.000241155823,-6.68880166e-05,1.34008642e-05,-0.000198079273,-0.000100150872,-5.18777915e-06,1653.787872184068,-0.00903287623,-0.00298944232,-0.0373951159,-0.00920399651,-0.00332955248,-0.0379377082
29,0.00400000019,0,-0.000238912617,-7.86188612e-05,-5.62764726e-05,-0.000220169444,-9.41563558e-05,-3.6045225e-05,1653.791872184258,-0.00910686981,-0.00284104911,-0.0374894924,-0.00923545845,-0.00331561244,-0.038011726
32,0.00400000019,0,-0.000256590196,-7.66233352e-05,-7.79457769e-05,-0.000245414209,-8.72543023e-05,-3.42269959e-05,1653.7958721844479,-0.00910465792,-0.00281208172,-0.0373235419,-0.00929942261,-0.00319186621,-0.0380765796
35,0.00400000019,0,-0.000277146319,-5.33006751e-05,-7.53686545e-05,-0.000233494851,-8.0728285e-05,-0.000110191409,1653.7998721846379,-0.00923715625,-0.00266871322,-0.037732441,-0.00935611129,-0.00294149714,-0.0381703116
38,0.00400000019,0,-0.000259139808,-6.34606331e-05,-0.000153507382,-0.000237584143,-6.27855188e-05,-0.000130694796,1653.8038721848279,-0.00917122141,-0.00257158559,-0.0378312543,-0.00940566044,-0.00297303335,-0.0382863656
41,0.00400000019,0,-0.000260468805,-3.86044521e-05,-0.000159123505,-0.000228798803,-6.50525617e-05,-0.000136637187,1653.8078721850179,-0.00896499678,-0.0024223174,-0.0378131121,-0.00919991918,-0.00281174318,-0.0382763594
46,0.00400000019,0,-0.000220710033,-5.07075601e-05,-0.000174505723,-0.000218703062,-6.57331911e-05,-0.000215333785,1653.8118721852079,-0.00878900662,-0.00244870642,-0.0377237201,-0.00909670535,-0.00283513637,-0.0383078456
49,0.00400000019,0,-0.000201217335,-6.94515111e-05,-0.000237875443,-0.000208726662,-7.42760458e-05,-0.000201983639,1653.8158721853979,-0.00872716494,-0.00240122969,-0.0377467424,-0.00898782816,-0.00269369571,-0.0382649079
52,0.00400000019,0,-0.000198547525,-3.94370327e-05,-0.000204977609,-0.000182517586,-7.13035988e-05,-0.000213384206,1653.8198721855879,-0.00890672952,-0.00244890153,-0.0380413234,-0.00908269081,-0.00284463004,-0.0384441428
55,0.00400000019,0,-0.000169641338,-4.71877684e-05,-0.000242989408,-0.000147321975,-5.13867162e-05,-0.000252693426,1653.8238721857779,-0.00890863221,-0.00269622938,-0.0379964411,-0.00903400779,-0.00291599147,-0.0384331867
58,0.00400000019,0,-0.000143818863,-4.4448585e-05,-0.000285868329,-0.000138682415,-3.96967916e-05,-0.000234367108,1653.8278721859679,-0.00869062636,-0.00262038363,-0.0377233326,-0.00891345274,-0.00295110769,-0.0382697955
61,0.00400000019,0,-0.000118007774,-1.82538242e-05,-0.00024120223,-8.90193987e-05,-4.29769643e-05,-0.000270022516,1653.8318721861579,-0.00861101225,-0.00255986489,-0.0378715768,-0.00873778295,-0.00289516826,-0.0384116396
64,0.00400000019,0,-0.000101591089,-4.78043075e-05,-0.000284701964,-8.77886923e-05,-4.12590962e-05,-0.000271371508,1653.8358721863478,-0.00859802961,-0.00266284496,-0.0377615392,-0.00870633591,-0.00296811108,-0.0383812599
67,0.00400000019,0,-9.52472401e-05,-2.71630488e-05,-0.00027946569,-7.02104298e-05,-4.00014869e-05,-0.000258897693,1653.8398721865378,-0.00852509215,-0.00283535477,-0.0378102027,-0.00863465574,-0.00307453028,-0.0383878648
70,0.00400000019,0,-8.96353013e-05,1.99615101e-06,-0.000258079119,-5.90449781e-05,-1.19905208e-05,-0.000295862905,1653.8438721867278,-0.00834907964,-0.00302372826,-0.0378048681,-0.00863306224,-0.00337300962,-0.0381546393
73,0.00400000019,0,-6.14129312e-05,-1.01009546e-05,-0.00031707951,-6.68072171e-05,-1.62404231e-05,-0.000261414185,1653.8478721869178,-0.0082851788,-0.00316473702,-0.0375692435,-0.00856337789,-0.00349079119,-0.03817847
76,0.00400000019,0,-9.99122785e-05,3.76838289e-05,-0.000266821793,-5.58068641e-05,-1.80481072e-06,-0.000262060203,1653.8518721871078,-0.00820292439,-0.00319075072,-0.0376251116,-0.00825762935,-0.00347032142,-0.0382187329
79,0.00400000019,0,-8.84367037e-05,2.65700201e-05,-0.000261289999,-7.85913289e-05,1.42530089e-05,-0.00028235442,1653.8558721872978,-0.00806217454,-0.00321485568,-0.0377688296,-0.00814132579,-0.00349288667,-0.0383482687
82,0.00400000019,0,-9.73716815e-05,2.22825511e-05,-0.000292174838,-9.74088252e-05,8.66504342e-06,-0.000258081651,1653.8598721874878,-0.00791326165,-0.00318867946,-0.0376153924,-0.00807497092,-0.00356779993,-0.038130112
85,0.00400000019,0,-0.000108267035,4.64410114e-05,-0.000233528655,-8.1031947e-05,7.91689035e-06,-0.000253999227,1653.8638721876778,-0.00784456357,-0.00332288002,-0.0374216102,-0.00800399762,-0.00364736095,-0.0381488353
88,0.00400000019,0,-0.000107684966,9.55578435e-06,-0.000260237255,-9.46523796e-05,7.43990859e-06,-0.000248980825,1653.8678721878678,-0.00771041168,-0.00341078499,-0.0375494473,-0.00792726036,-0.00384179596,-0.0380262434
91,0.00400000019,0,-0.000119729477,2.08674173e-05,-0.000240069436,-0.0001121483,4.00060253e-06,-0.000211511986,1653.8718721880578,-0.0075979894,-0.00337828882,-0.037420582,-0.00780168641,-0.00379881542,-0.0379461199
96,0.00400000019,0,-0.000149626736,3.50808587e-05,-0.000204636235,-0.000113493486,9.2063201e-06,-0.000228124962,1653.8758721882477,-0.00754232099,-0.00338723324,-0.0375672877,-0.00772324111,-0.00390073587,-0.0380009077
99,0.00400000019,0,-0.000150896885,1.04113451e-05,-0.000243588249,-0.000135346359,4.18155469e-06,-0.000210811733,1653.8798721884377,-0.00743223494,-0.00351895788,-0.0375114977,-0.00758779887,-0.00383803621,-0.0379989259
102,0.00400000019,0,-0.000165457997,1.51333722e-06,-0.000197476664,-0.000157644143,-1.36783574e-05,-0.000193758795,1653.8838721886277,-0.00728497468,-0.00353114889,-0.0373243764,-0.00744952867,-0.00390421483,-0.0381079242
105,0.00400000019,0,-0.000175714318,-1.02058002e-05,-0.000196465815,-0.000161622636,-1.47174987e-05,-0.000205909266,1653.8878721888177,-0.00735102687,-0.00365700806,-0.0375887491,-0.0076065571,-0.00403934624,-0.0378653854
108,0.00400000019,0,-0.000222500545,-3.53094474e-05,-0.000204568045,-0.000200392737,-4.46418344e-05,-0.000176247733,1653.8918721890077,-0.00730694737,-0.00378214382,-0.0377138369,-0.00748946983,-0.00404091226,-0.0381077416
111,0.00400000019,0,-0.000240642243,-1.57900467e-05,-0.000147762039,-0.000213885156,-3.56150013e-05,-0.000171065869,1653.8958721891977,-0.00763760274,-0.00368971657,-0.0375389047,-0.00767321279,-0.00407814188,-0.03825121
114,0.00400000019,0,-0.000261560257,-1.87427268e-05,-0.000178372255,-0.000245647912,-3.10648138e-05,-0.000184598961,1653.8998721893877,-0.00771351857,-0.00359421968,-0.0375173092,-0.00781652331,-0.00410435675,-0.0382362008
117,0.00400000019,0,-0.00027950466,-4.25396865e-06,-0.000201982504,-0.000258064916,-1.41029395e-05,-0.000145998783,1653.9038721895777,-0.00763783511,-0.00357262231,-0.0375957265,-0.00782261789,-0.00386160892,-0.0382295623
120,0.00400000019,0,-0.000296656915,3.13583041e-05,-0.000158113078,-0.000267125841,-1.32422304e-06,-0.000177943686,1653.9078721897677,-0.00769623695,-0.00352327176,-0.0377349295,-0.00792802218,-0.00382667268,-0.0384523273
123,0.00400000019,0,-0.000292435492,2.00517297e-05,-0.000208387937,-0.000291249104,1.78539267e-05,-0.000182261967,1653.9118721899576,-0.00775913103,-0.00351456529,-0.0380886495,-0.00788977742,-0.0037746951,-0.0384386964
126,0.00400000019,0,-0.000322225154,5.49046672e-05,-0.000191399362,-0.000302943779,3.50463524e-05,-0.000160745956,1653.9158721901476,-0.00778181013,-0.0034473897,-0.0383176804,-0.00792082679,-0.00381272146,-0.0386689119
129,0.00400000019,0,-0.000325856119,7.76751695e-05,-0.000184959747,-0.00030332891,5.40916117e-05,-0.00021127431,1653.9198721903376,-0.00769338431,-0.00344682694,-0.038326025,-0.00801241118,-0.00383863761,-0.0389446877
132,0.00400000019,0,-0.000313888915,9.20718448e-05,-0.000242072143,-0.000315560465,8.06473836e-05,-0.000190131759,1653.9238721905276,-0.00772938086,-0.00328438636,-0.0384424739,-0.00789605454,-0.00373964896,-0.0390602238
135,0.00400000019,0,-0.000327047019,0.000113236376,-0.000208704208,-0.000291953154,8.67229974e-05,-0.00020824885,1653.9278721907176,-0.00757395569,-0.00329271774,-0.0385261104,-0.00780697772,-0.00363338809,-0.038848646
138,0.00400000019,0,-0.000293234159,0.000131160661,-0.0002229003,-0.000296428916,0.000112671754,-0.000241655231,1653.9318721909076,-0.00733729405,-0.00336317183,-0.0386868343,-0.00755950948,-0.00372476038,-0.0391347744
141,0.00400000019,0,-0.00028827085,0.000131593915,-0.000244322524,-0.00027143833,0.00013177676,-0.00021706782,1653.9358721910976,-0.00730691757,-0.00339036295,-0.0388148054,-0.00753233396,-0.0036620996,-0.0392118879
144,0.00400000019,0,-0.000283829839,0.000166323749,-0.000201279734,-0.00025190672,0.000141377692,-0.000238177512,1653.9398721912876,-0.00716230832,-0.00341042969,-0.0389134437,-0.00738525344,-0.00376690319,-0.0392961092
147,0.00400000019,0,-0.000251997757,0.000156230584,-0.000250660465,-0.000235960499,0.000138081858,-0.000235806307,1653.9438721914776,-0.00695017446,-0.00341127743,-0.0389535464,-0.00699568493,-0.00365890656,-0.0395403132
150,0.00400000019,0,-0.000231791113,0.000165601639,-0.00023721662,-0.000214635613,0.000145353726,-0.000199356902,1653.9478721916676,-0.00680839736,-0.00350926304,-0.0389355011,-0.00701153604,-0.00379737304,-0.0393625833
153,0.00400000019,0,-0.000229315294,0.000177633585,-0.000198065842,-0.000197232861,0.000152549444,-0.000232996972,1653.9518721918575,-0.00670231227,-0.00351067237,-0.0389600508,-0.00697954278,-0.00389051437,-0.0394546315
156,0.00400000019,0,-0.000192138978,0.000172650631,-0.000221244103,-0.000183120384,0.000159109142,-0.000196440218,1653.9558721920475,-0.00664631138,-0.00354215223,-0.0390174165,-0.00684733223,-0.00388189475,-0.0396296903
159,0.00400000019,0,-0.000190822131,0.000179623035,-0.000161718635,-0.000157921182,0.00016416538,-0.000172362241,1653.9598721922375,-0.0065890043,-0.00352840102,-0.0391180441,-0.00675317179,-0.00384823699,-0.0395866334
162,0.00400000019,0,-0.000158277471,0.000167895298,-0.000160628115,-0.000134019647,0.000155397196,-0.00017963945,1653.9638721924275,-0.00638157548,-0.00357589312,-0.0391220413,-0.00672056014,-0.00393694872,-0.0393769294
165,0.00400000019,0,-0.000119639386,0.000141461889,-0.000154916066,-0.000107825326,0.000146068109,-0.000110154753,1653.9678721926175,-0.00648166379,-0.00339851063,-0.0388198718,-0.00664419029,-0.00367670925,-0.0394511372
168,0.00400000019,0,-0.000125827544,0.000183607219,-8.49935459e-05,-9.18381993e-05,0.000167688791,-9.43078994e-05,1653.9718721928075,-0.00646791328,-0.00338240829,-0.0391122922,-0.00661047082,-0.00375548867,-0.0395819359
171,0.00400000019,0,-9.01033054e-05,0.000168592844,-9.56692311e-05,-6.9138885e-05,0.000161094562,-9.17380239e-05,1653.9758721929975,-0.00634634355,-0.00331138005,-0.0391318686,-0.00670009479,-0.00364156067,-0.0395171419
174,0.00400000019,0,-6.78968936e-05,0.000168868253,-5.66147246e-05,-4.65265693e-05,0.000151537213,-2.85377591e-05,1653.9798721931875,-0.00629473897,-0.00335750752,-0.0391957015,-0.00662536919,-0.00370579446,-0.039609272
177,0.00400000019,0,-4.57384667e-05,0.000178997798,5.90568902e-07,-1.58044513e-05,0.000142396515,-4.3655662e-05,1653.9838721933775,-0.00635696668,-0.00327401655,-0.0389822721,-0.00644633872,-0.00366353337,-0.0395855457
180,0.00400000019,0,-1.29152486e-05,0.000126192739,-3.49092006e-05,-4.44334182e-06,0.000133210109,-7.20329626e-06,1653.9878721935675,-0.00613899902,-0.00312680705,-0.0392863117,-0.00633925432,-0.0035955112,-0.039798677
183,0.00400000019,0,1.44811884e-05,0.000128078129,2.42072583e-05,3.45734625e-05,0.000108666609,3.07387927e-05,1653.9918721937574,-0.00599134853,-0.00312513649,-0.0392029174,-0.00618954469,-0.00344780739,-0.039627105
186,0.00400000019,0,4.40571239e-05,0.000102970174,4.1034491e-05,6.7098641e-05,8.43754242e-05,1.11237396e-05,1653.9958721939474,-0.00598429563,-0.00293741468,-0.0390224755,-0.00623964146,-0.00331547484,-0.03976053
189,0.00400000019,0,8.2257422e-05,6.88233777e-05,1.89466518e-05,8.46062103e-05,5.97465951e-05,6.15209574e-05,1653.9998721941374,-0.00591883203,-0.00297786202,-0.0391199887,-0.00608448265,-0.00333048706,-0.0394984521
192,0.00400000019,0,9.3141025e-05,6.1762541e-05,9.2186885e-05,0.00012740989,3.43072134e-05,7.74654764e-05,1654.0038721943274,-0.00588366995,-0.00294511113,-0.038957186,-0.00610118778,-0.00345768919,-0.0394513346
195,0.00400000019,0,0.000130132772,1.51429276e-05,7.75306835e-05,0.000147435654,5.66282506e-06,7.06588471e-05,1654.0078721945174,-0.00589912385,-0.00303200004,-0.0389935263,-0.00611164607,-0.00335447048,-0.0394194573
