_ID_,addInfo,buildDate[0],buildDate[1],buildDate[2],buildDate[3],buildNumber,buildTime[0],buildTime[1],buildTime[2],buildTime[3],firmwareVer[0],firmwareVer[1],firmwareVer[2],firmwareVer[3],hardwareVer[0],hardwareVer[1],hardwareVer[2],hardwareVer[3],manufacturer,protocolVer[0],protocolVer[1],protocolVer[2],protocolVer[3],repoRevision,reserved,serialNumber
1250,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
6658,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
17336,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
21809,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
27191,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
32847,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
38581,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
44251,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
49901,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
55512,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
61150,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
66787,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
72435,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
78072,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
83675,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
89320,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
94987,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
100646,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
106359,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
112026,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
117678,"INL2",114,18,10,22,3612,17,53,0,23,1,7,1,0,3,1,3,0,"Inertial Sense INC",1,2,74,7,6295,1,34090
