_ID_,mag[0],mag[1],mag[2],time
5,0.715661466,-0.27897045,0.731617868,437.78393213322852
13,0.738634348,-0.275740385,0.746990621,437.79490771493874
23,0.748685777,-0.285888761,0.731066525,437.8139077158412
27,0.762153208,-0.247409955,0.737899005,437.82390771631617
33,0.738740921,-0.262896836,0.747243881,437.83390771679115
38,0.71607089,-0.260145158,0.713269532,437.84390771726612
45,0.754861891,-0.298244804,0.755699217,437.85390771774109
50,0.748587787,-0.246621028,0.76303786,437.86390771821607
56,0.742098629,-0.292354345,0.724780142,437.87390771869104
69,0.771312654,-0.28856349,0.768160164,437.89397485356312
74,0.745218396,-0.269267648,0.75327301,437.9039748540381
83,0.755239785,-0.272847563,0.743718266,437.91397485451307
87,0.76229471,-0.260690033,0.718915582,437.92397485498805
94,0.725242019,-0.29480359,0.746778667,437.93397485546302
99,0.738649487,-0.24318786,0.766349852,437.943974855938
104,0.734717548,-0.323483795,0.761688352,437.95397485641297
109,0.712716579,-0.250239283,0.722863972,437.96397485688794
116,0.751410306,-0.320746779,0.752178371,437.97397485736292
121,0.74533397,-0.27598843,0.740664184,437.98397485783789
133,0.762054205,-0.279814303,0.724781752,438.0039504399756
141,0.741814911,-0.265792698,0.762746155,438.02395044092555
147,0.7682603,-0.298738837,0.743045151,438.03395044140052
152,0.729029834,-0.272896022,0.725333035,438.0439504418755
159,0.761744678,-0.266237289,0.756248534,438.05395044235047
163,0.731906593,-0.268927962,0.759688854,438.06395044282544
168,0.748466194,-0.29201749,0.743425608,438.07395044330042
181,0.752017021,-0.272948503,0.737520218,438.09392602543812
186,0.738687754,-0.269318968,0.747117519,438.1039260259131
194,0.751569271,-0.301479787,0.752557278,438.11392602638807
204,0.755111694,-0.298685253,0.736971319,438.13392602733802
209,0.742170274,-0.253387511,0.744270265,438.143926027813
215,0.731882513,-0.281916529,0.753191948,438.15392602828797
220,0.76136446,-0.291629344,0.768226564,438.16392602876294
226,0.775141358,-0.266727597,0.743592322,438.17392602923792
231,0.73858285,-0.282166034,0.746866226,438.18392602971289
238,0.755159914,-0.272708267,0.749965191,438.19490161142312
243,0.7420187,-0.292215079,0.731027067,438.2039016118506
248,0.75184381,-0.288933098,0.74032706,438.21390161232557
251,0.732027173,-0.295203686,0.734212518,438.22390161280055
258,0.741769135,-0.291774988,0.749755204,438.23390161327552
262,0.745804071,-0.270301908,0.709578216,438.2439016137505
268,0.772039831,-0.257268786,0.734462559,438.25390161422547
273,0.731997252,-0.288635194,0.74058193,438.26390161470044
284,0.728896856,-0.279179007,0.731453717,438.28390161565039
297,0.749146223,-0.24109292,0.725715816,438.30396875052247
305,0.758242309,-0.29516685,0.752604485,438.31396875099745
308,0.715439558,-0.265550077,0.75684768,438.32396875147242
314,0.724968374,-0.287808537,0.771884024,438.3339687519474
319,0.738911688,-0.263200194,0.734764218,438.34396875242237
329,0.765154064,-0.26972574,0.746783257,438.36396875337232
335,0.732362628,-0.295796543,0.709245145,438.37396875384729
340,0.728836954,-0.266042084,0.744192362,438.38396875432227
346,0.741524041,-0.291345179,0.768489361,438.39494433603249
356,0.735401094,-0.272567362,0.74398315,438.41394433693495
360,0.728489339,-0.298008472,0.749804437,438.42394433740992
367,0.748116195,-0.304434717,0.761908412,438.4339443378849
372,0.741903484,-0.265951455,0.756510317,438.44394433835987
377,0.73529458,-0.285410911,0.743729949,438.45394433883484
387,0.761317313,-0.298064858,0.768107891,438.47394433978479
393,0.728868783,-0.272614747,0.737825394,438.48394434025977
403,0.735371113,-0.26599887,0.750352561,438.49491992196999
408,0.775261343,-0.273458093,0.730989039,438.50391992239747
416,0.781437576,-0.285814196,0.755621731,438.51391992287245
421,0.738937616,-0.25021565,0.741263449,438.52391992334742
427,0.768516004,-0.299192578,0.724324763,438.5339199238224
432,0.722117543,-0.278792083,0.744027376,438.54391992429737
439,0.754589319,-0.291251987,0.780805826,438.55391992477234
443,0.731919289,-0.288500369,0.746831477,438.56391992524732
457,0.781514168,-0.266402185,0.762244284,438.59489550790749
460,0.741744399,-0.285218388,0.756131351,438.60389550833497
466,0.745143771,-0.269140452,0.759526908,438.61389550880995
471,0.742123961,-0.259824812,0.744152546,438.62389550928492
477,0.75198561,-0.282670051,0.734217882,438.6338955097599
482,0.748300076,-0.272180945,0.768785238,438.64389551023487
488,0.735265374,-0.278844178,0.750100374,438.65389551070984
493,0.725576818,-0.275851071,0.734684289,438.66389551118482
500,0.741827667,-0.285365283,0.749888837,438.67389551165979
506,0.732245564,-0.269528598,0.734725952,438.68389551213477
515,0.765186667,-0.276300192,0.740417302,438.69496264657937
526,0.761750817,-0.266251147,0.756256521,438.71396264748182
531,0.718820035,-0.262472481,0.753753066,438.7239626479568
538,0.728438735,-0.304436296,0.749681354,438.73396264843177
543,0.73851341,-0.301594406,0.74025315,438.74396264890675
549,0.768434703,-0.299050391,0.730570078,438.75396264938172
554,0.745235443,-0.288850158,0.740421414,438.76396264985669
565,0.732194185,-0.275954694,0.734601736,438.78396265080664
573,0.75522697,-0.285861552,0.737235904,438.79493823251687
578,0.728841484,-0.266052336,0.744198322,438.80393823294435
588,0.744955897,-0.281841576,0.765518904,438.8239382338943
594,0.728576303,-0.298163652,0.743566573,438.83393823436927
599,0.738591135,-0.28218478,0.746877015,438.84393823484425
606,0.758467615,-0.289051145,0.740252972,438.85393823531922
610,0.695492089,-0.278108388,0.75685662,438.86393823579419
617,0.764886796,-0.282288551,0.759022713,438.87393823626917
623,0.702493668,-0.272372723,0.731927335,438.88393823674414
632,0.741611004,-0.29150036,0.762251496,438.89491381845437
637,0.708972692,-0.278747082,0.73795855,438.90391381888185
646,0.732035518,-0.295222431,0.734223366,438.91391381935682
650,0.75542444,-0.292725772,0.718382537,438.9239138198318
656,0.738810778,-0.276056409,0.73451823,438.93391382030677
660,0.72844255,-0.30444479,0.749686182,438.94391382078175
666,0.75857687,-0.276213676,0.740509629,438.95391382125672
669,0.745102823,-0.29513374,0.746542394,438.96391382173169
675,0.768295467,-0.285775274,0.749556363,438.97391382220667
680,0.722176552,-0.272383302,0.744161487,438.98391382268164
687,0.735294402,-0.265866756,0.756603658,438.99488940439187
692,0.738753617,-0.262925565,0.747260392,439.00388940481935
698,0.748335719,-0.278762192,0.762423277,439.01388940529432
703,0.735347688,-0.259444952,0.756730258,439.0238894057693
709,0.751711726,-0.275674284,0.759322762,439.03388940624427
713,0.738290966,-0.288172543,0.765482128,439.04388940671925
724,0.72874403,-0.298460156,0.731082976,439.06388940766919
730,0.744828582,-0.307680964,0.758772969,439.07388940814417
735,0.735269785,-0.278854042,0.750106037,439.08388940861914
744,0.744798601,-0.301112503,0.765142262,439.09495654306374
748,0.72879076,-0.272479683,0.744074881,439.10395654349122
756,0.745018303,-0.294984102,0.752783418,439.1139565439662
761,0.715696216,-0.266005963,0.738128603,439.12395654444117
767,0.775265753,-0.273468167,0.730994821,439.13395654491615
772,0.761845052,-0.285966426,0.737154186,439.14395654539112
778,0.745238006,-0.288855702,0.740424633,439.15395654586609
789,0.741609216,-0.27195251,0.775123,439.17395654681604
794,0.732040286,-0.295233279,0.734229505,439.18395654729102
801,0.745507717,-0.256754488,0.741062045,439.19493212900124
805,0.761432469,-0.28524065,0.768372178,439.20393212942872
811,0.751630664,-0.275532365,0.765568197,439.2139321299037
816,0.758698702,-0.302492291,0.715034962,439.22393213037867
822,0.735273182,-0.278861701,0.750110447,439.23393213085365
827,0.745364606,-0.243470848,0.760043502,439.24393213132862
840,0.751991391,-0.282682955,0.734225273,439.27393213275354
854,0.761436999,-0.304794699,0.755504251,439.29490771493874
859,0.745535612,-0.26331836,0.73469007,439.30390771536622
867,0.76840204,-0.272931874,0.749809623,439.3139077158412
872,0.731782019,-0.275229841,0.765820324,439.32390771631617
878,0.741923273,-0.305083573,0.730788171,439.33390771679115
883,0.754844785,-0.291705161,0.76208514,439.34390771726612
890,0.758197486,-0.301607549,0.752488673,439.35390771774109
893,0.751931489,-0.269546032,0.746963918,439.36390771821607
