_ID_,cnoMean,ecef[0],ecef[1],ecef[2],hAcc,hMSL,lla[0],lla[1],lla[2],pDop,status,timeOfWeekMs,towOffset,vAcc,week
29,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,434000,0,3750278.75,0
143,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,434200,0,3750279.25,0
259,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,434400,0,3750279.5,0
373,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,434600,0,3750280.25,0
485,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,434800,0,3750280.75,0
602,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,435000,0,3750281.25,0
717,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,435200,0,3750281.75,0
830,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,435400,0,3750282.25,0
947,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,435600,0,3750282.75,0
1062,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,435800,0,3750283,0
1176,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,436000,0,3750283.5,0
1289,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,436200,0,3750284,0
1404,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,436400,0,3750284.5,0
1516,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,436600,0,3750285,0
1630,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,436800,0,3750285.25,0
1744,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,437000,0,3750285.75,0
1857,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,437200,0,3750286.25,0
1975,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,437400,0,3750286.75,0
2090,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,437600,0,3750287,0
2212,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,437800,0,3750287.5,0
2328,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,438000,0,3750288,0
2443,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,438200,0,3750288.25,0
2554,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,438400,0,3750288.75,0
2668,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,438600,0,3750289,0
2782,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,438800,0,3750289.75,0
2896,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,439000,0,3750290,0
3011,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,439200,0,3750290.5,0
3126,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,439400,0,3750291,0
3241,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,439600,0,3750291.75,0
3351,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,439800,0,3750292.25,0
3465,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,440000,0,3750292.5,0
3579,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,440200,0,3750293,0
3695,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,440400,0,3750293.5,0
3813,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,440600,0,3750294,0
3925,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,440800,0,3750294.5,0
4035,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,441000,0,3750294.75,0
4151,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,441200,0,3750295.25,0
4264,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,441400,0,3750295.75,0
4382,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,441600,0,3750296.25,0
4499,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,441800,0,3750296.75,0
4615,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,442000,0,3750297.25,0
4731,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,442200,0,3750297.5,0
4846,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,442400,0,3750298,0
4959,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,442600,0,3750298.5,0
5076,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,442800,0,3750298.75,0
5194,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,443000,0,3750299.25,0
5313,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,443200,0,3750299.75,0
5426,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,443400,0,3750300.25,0
5542,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,443600,0,3750300.5,0
5655,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,443800,0,3750301,0
5767,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,444000,0,3750301.5,0
5884,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,444200,0,3750302.25,0
5995,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,444400,0,3750302.75,0
6107,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,444600,0,3750303.25,0
6221,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,444800,0,3750303.5,0
6335,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,445000,0,3750304,0
6452,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,445200,0,3750304.5,0
6568,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,445400,0,3750305,0
6684,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,445600,0,3750305.5,0
6800,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,445800,0,3750306,0
6945,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,446200,0,3750306.75,0
7057,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,446600,0,3750307.75,0
7199,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,447000,0,3750308.75,0
7255,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,447200,0,3750309.25,0
7369,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,447400,0,3750309.5,0
7487,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,447600,0,3750310,0
7606,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,447800,0,3750310.25,0
