_ID_,sAcc,timeOfWeekMs,velEcef[0],velEcef[1],velEcef[2]
30,187.360001,434000,0,0,0
144,187.399994,434200,0,0,0
260,187.449997,434400,0,0,0
374,187.48999,434600,0,0,0
486,187.529999,434800,0,0,0
603,187.569992,435000,0,0,0
718,187.619995,435200,0,0,0
831,187.659988,435400,0,0,0
948,187.699997,435600,0,0,0
1063,187.73999,435800,0,0,0
1177,187.789993,436000,0,0,0
1290,187.830002,436200,0,0,0
1405,187.869995,436400,0,0,0
1517,187.909988,436600,0,0,0
1631,187.959991,436800,0,0,0
1745,188,437000,0,0,0
1858,188.039993,437200,0,0,0
1976,188.089996,437400,0,0,0
2091,188.12999,437600,0,0,0
2213,188.169998,437800,0,0,0
2329,188.209991,438000,0,0,0
2444,188.259995,438200,0,0,0
2555,188.300003,438400,0,0,0
2669,188.339996,438600,0,0,0
2783,188.37999,438800,0,0,0
2897,188.429993,439000,0,0,0
3012,188.470001,439200,0,0,0
3127,188.509995,439400,0,0,0
3242,188.550003,439600,0,0,0
3352,188.589996,439800,0,0,0
3466,188.639999,440000,0,0,0
3580,188.679993,440200,0,0,0
3696,188.720001,440400,0,0,0
3814,188.759995,440600,0,0,0
3926,188.809998,440800,0,0,0
4036,188.849991,441000,0,0,0
4152,188.889999,441200,0,0,0
4265,188.929993,441400,0,0,0
4383,188.979996,441600,0,0,0
4500,189.019989,441800,0,0,0
4616,189.059998,442000,0,0,0
4732,189.099991,442200,0,0,0
4847,189.149994,442400,0,0,0
4960,189.190002,442600,0,0,0
5077,189.229996,442800,0,0,0
5195,189.269989,443000,0,0,0
5314,189.309998,443200,0,0,0
5427,189.360001,443400,0,0,0
5543,189.399994,443600,0,0,0
5656,189.440002,443800,0,0,0
5768,189.479996,444000,0,0,0
5885,189.529999,444200,0,0,0
5996,189.569992,444400,0,0,0
6108,189.610001,444600,0,0,0
6222,189.649994,444800,0,0,0
6336,189.690002,445000,0,0,0
6453,189.73999,445200,0,0,0
6569,189.779999,445400,0,0,0
6685,189.819992,445600,0,0,0
6801,189.860001,445800,0,0,0
6946,189.949997,446200,0,0,0
7058,190.029999,446600,0,0,0
7200,190.119995,447000,0,0,0
7256,190.159988,447200,0,0,0
7370,190.199997,447400,0,0,0
7488,190.23999,447600,0,0,0
7607,190.279999,447800,0,0,0
7726,190.330002,448000,0,0,0
7843,190.369995,448200,0,0,0
7953,190.409988,448400,0,0,0
8067,190.449997,448600,0,0,0
8173,190.48999,448800,0,0,0
8287,190.539993,449000,0,0,0
8401,190.580002,449200,0,0,0
8516,190.619995,449400,0,0,0
8632,190.659988,449600,0,0,0
8745,190.699997,449800,0,0,0
8862,190.75,450000,0,0,0
8980,190.789993,450200,0,0,0
9094,190.830002,450400,0,0,0
9209,190.869995,450600,0,0,0
9314,190.909988,450800,0,0,0
9432,190.959991,451000,0,0,0
9547,191,451200,0,0,0
9666,191.209991,452200,0,0,0
9750,191.25,452400,0,0,0
9866,191.289993,452600,0,0,0
10046,191.369995,453000,0,0,0
10158,191.459991,453400,0,0,0
10273,191.5,453600,0,0,0
10340,191.539993,453800,0,0,0
10456,191.580002,454000,0,0,0
10566,191.619995,454200,0,0,0
10679,191.669998,454400,0,0,0
10794,191.709991,454600,0,0,0
10909,191.75,454800,0,0,0
11029,191.789993,455000,0,0,0
11143,191.830002,455200,0,0,0
11238,191.869995,455400,0,0,0
11353,191.919998,455600,0,0,0
11467,191.959991,455800,0,0,0
11583,192,456000,0,0,0
11695,192.039993,456200,0,0,0
11773,192.080002,456400,0,0,0
11885,192.119995,456600,0,0,0
11994,192.459991,458200,0,0,0
12110,192.5,458400,0,0,0
12222,192.539993,458600,0,0,0
12339,192.580002,458800,0,0,0
12455,192.619995,459000,0,0,0
12569,192.669998,459200,0,0,0
12914,193,460800,0,0,0
13019,193.080002,461200,0,0,0
13134,193.119995,461400,0,0,0
13248,193.159988,461600,0,0,0
13352,193.199997,461800,0,0,0
13466,193.25,462000,0,0,0
13582,193.289993,462200,0,0,0
13694,193.330002,462400,0,0,0
13814,193.369995,462600,0,0,0
13931,193.409988,462800,0,0,0
14038,193.449997,463000,0,0,0
14140,193.539993,463400,0,0,0
14311,193.619995,463800,0,0,0
14423,193.659988,464000,0,0,0
14539,193.699997,464200,0,0,0
14660,193.73999,464400,0,0,0
14769,193.779999,464600,0,0,0
14882,193.819992,464800,0,0,0
14998,193.869995,465000,0,0,0
15112,193.909988,465200,0,0,0
15229,193.949997,465400,0,0,0
15429,194.110001,466200,0,0,0
15541,194.149994,466400,0,0,0
15622,194.199997,466600,0,0,0
15731,194.23999,466800,0,0,0
15773,194.360001,467400,0,0,0
15831,194.399994,467600,0,0,0
15945,194.440002,467800,0,0,0
16082,194.690002,469000,0,0,0
16166,194.849991,469800,0,0,0
16266,194.889999,470000,0,0,0
16471,195.019989,470600,0,0,0
16585,195.059998,470800,0,0,0
16697,195.099991,471000,0,0,0
16801,195.349991,472200,0,0,0
16911,195.389999,472400,0,0,0
17022,195.429993,472600,0,0,0
17159,195.62999,473600,0,0,0
17239,195.839996,474600,0,0,0
17348,195.87999,474800,0,0,0
17463,195.919998,475000,0,0,0
17577,195.959991,475200,0,0,0
17690,196,475400,0,0,0
17855,196.080002,475800,0,0,0
17988,196.23999,476600,0,0,0
18004,196.369995,477200,0,0,0
18119,196.409988,477400,0,0,0
18182,196.449997,477600,0,0,0
18298,196.48999,477800,0,0,0
18417,196.529999,478000,0,0,0
18534,196.569992,478200,0,0,0
18648,196.610001,478400,0,0,0
18761,196.649994,478600,0,0,0
18876,196.690002,478800,0,0,0
18987,196.729996,479000,0,0,0
19103,196.769989,479200,0,0,0
19222,196.809998,479400,0,0,0
19334,196.860001,479600,0,0,0
19449,196.899994,479800,0,0,0
19566,196.940002,480000,0,0,0
19680,196.979996,480200,0,0,0
19793,197.019989,480400,0,0,0
19863,197.139999,481000,0,0,0
19873,197.179993,481200,0,0,0
19986,197.220001,481400,0,0,0
20097,197.259995,481600,0,0,0
20211,197.300003,481800,0,0,0
20327,197.339996,482000,0,0,0
20440,197.37999,482200,0,0,0
20551,197.419998,482400,0,0,0
20664,197.459991,482600,0,0,0
20777,197.5,482800,0,0,0
20892,197.539993,483000,0,0,0
21039,197.75,484000,0,0,0
21136,197.830002,484400,0,0,0
21270,197.949997,485000,0,0,0
21386,197.98999,485200,0,0,0
21497,198.029999,485400,0,0,0
21613,198.069992,485600,0,0,0
21728,198.110001,485800,0,0,0
21847,198.149994,486000,0,0,0
21963,198.190002,486200,0,0,0
22078,198.229996,486400,0,0,0
22196,198.269989,486600,0,0,0
22310,198.309998,486800,0,0,0
