_ID_,baroTemp,genFaultCode,hdwStatus,imuPeriodMs,imuTemp,insStatus,mcuTemp,navPeriodMs,reserved1,reserved2[0],reserved2[1],reserved2[2],reserved2[3],timeOfWeekMs
2196,47.4668465,0,1114112,1,49.3910217,415304704,0,4,0,0,0,0,0,440083
7585,47.4969711,0,1114112,1,49.4237747,415304704,0,4,0,0,0,0,0,450066
15935,48.0140953,0,1114112,1,49.9294281,415304704,0,4,0,0,0,0,0,470086
18278,48.1546745,0,1114112,1,50.0815239,415304704,0,4,0,0,0,0,0,480070
22849,48.3002739,0,1114112,1,50.2198486,415304704,0,4,0,0,0,0,0,490057
28376,48.430809,0,1114112,1,50.3383713,415304704,0,4,0,0,0,0,0,500093
34084,48.5563278,0,1114112,1,50.4622498,415304704,0,4,0,0,0,0,0,510077
39762,48.5914726,0,1114112,1,50.5101318,415304704,0,4,0,0,0,0,0,520061
45507,48.6718025,0,1114115,1,50.5944901,415304704,0,4,0,0,0,0,0,530097
51232,48.7169876,0,1114112,1,50.6644669,415304704,0,4,0,0,0,0,0,540080
56922,48.6918831,0,1114112,1,50.6604538,415304704,0,4,0,0,0,0,0,550064
62651,48.9479408,0,1114112,1,50.905426,415304704,0,4,0,0,0,0,0,560100
68353,49.1236649,0,1114115,1,51.0773849,415302656,0,4,0,0,0,0,0,570084
74059,49.1839104,0,1114112,1,51.1466827,415304704,0,4,0,0,0,0,0,580067
79735,49.1487656,0,1114112,1,51.1300964,415304704,0,4,0,0,0,0,0,590051
85476,49.1337051,0,1114113,1,51.1173439,415302656,0,4,0,0,0,0,0,600087
91161,49.1437454,0,1114123,1,51.1239014,415302656,0,4,0,0,0,0,0,610071
96904,49.1387253,0,1114112,1,51.1110954,415304704,0,4,0,0,0,0,0,620055
102629,49.2391396,0,1114123,1,51.2220345,415302656,0,4,0,0,0,0,0,630090
108348,49.4048233,0,1114112,1,51.3733063,415302656,0,4,0,0,0,0,0,640074
114050,49.3897629,0,1114112,1,51.3733749,415304704,0,4,0,0,0,0,0,650058
