_ID_,cnoMean,ecef[0],ecef[1],ecef[2],hAcc,hMSL,lla[0],lla[1],lla[2],pDop,status,timeOfWeekMs,towOffset,vAcc,week
36,0,3098979.96,1010919.34,5464018.8200000003,134087.797,0,0,0,0,99.9899979,1073741824,691200,0,94817.7969,0
150,0,3098979.96,1010919.34,5464018.8200000003,134145.578,0,0,0,0,99.9899979,1073741824,691400,0,94858.6875,0
263,0,3098979.96,1010919.34,5464018.8200000003,134203.391,0,0,0,0,99.9899979,1073741824,691600,0,94899.5625,0
377,0,3098979.96,1010919.34,5464018.8200000003,134261.219,0,0,0,0,99.9899979,1073741824,691800,0,94940.4609,0
494,0,3098979.96,1010919.34,5464018.8200000003,134319.047,0,0,0,0,99.9899979,1073741824,692000,0,94981.3594,0
608,0,3098979.96,1010919.34,5464018.8200000003,134376.906,0,0,0,0,99.9899979,1073741824,692200,0,95022.2578,0
724,0,3098979.96,1010919.34,5464018.8200000003,134434.75,0,0,0,0,99.9899979,1073741824,692400,0,95063.1719,0
838,0,3098979.96,1010919.34,5464018.8200000003,134492.594,0,0,0,0,99.9899979,1073741824,692600,0,95104.0938,0
954,0,3098979.96,1010919.34,5464018.8200000003,134550.453,0,0,0,0,99.9899979,1073741824,692800,0,95145.0078,0
1065,0,3098979.96,1010919.34,5464018.8200000003,134608.344,0,0,0,0,99.9899979,1073741824,693000,0,95185.9375,0
1175,0,3098979.96,1010919.34,5464018.8200000003,134666.234,0,0,0,0,99.9899979,1073741824,693200,0,95226.8672,0
1288,0,3098979.96,1010919.34,5464018.8200000003,134724.125,0,0,0,0,99.9899979,1073741824,693400,0,95267.8203,0
1402,0,3098979.96,1010919.34,5464018.8200000003,134782,0,0,0,0,99.9899979,1073741824,693600,0,95308.7656,0
1515,0,3098979.96,1010919.34,5464018.8200000003,134839.906,0,0,0,0,99.9899979,1073741824,693800,0,95349.7109,0
1628,0,3098979.96,1010919.34,5464018.8200000003,134897.828,0,0,0,0,99.9899979,1073741824,694000,0,95390.6719,0
1742,0,3098979.96,1010919.34,5464018.8200000003,134955.75,0,0,0,0,99.9899979,1073741824,694200,0,95431.6172,0
1856,0,3098979.96,1010919.34,5464018.8200000003,135013.688,0,0,0,0,99.9899979,1073741824,694400,0,95472.5938,0
1971,0,3098979.96,1010919.34,5464018.8200000003,135071.641,0,0,0,0,99.9899979,1073741824,694600,0,95513.5703,0
2086,0,3098979.96,1010919.34,5464018.8200000003,135129.578,0,0,0,0,99.9899979,1073741824,694800,0,95554.5469,0
2198,0,3098979.96,1010919.34,5464018.8200000003,135187.547,0,0,0,0,99.9899979,1073741824,695000,0,95595.5391,0
2314,0,3098979.96,1010919.34,5464018.8200000003,135245.516,0,0,0,0,99.9899979,1073741824,695200,0,95636.5313,0
2429,0,3098979.96,1010919.34,5464018.8200000003,135303.484,0,0,0,0,99.9899979,1073741824,695400,0,95677.5313,0
2545,0,3098979.96,1010919.34,5464018.8200000003,135361.469,0,0,0,0,99.9899979,1073741824,695600,0,95718.5313,0
2662,0,3098979.96,1010919.34,5464018.8200000003,135419.453,0,0,0,0,99.9899979,1073741824,695800,0,95759.5469,0
2774,0,3098979.96,1010919.34,5464018.8200000003,135477.453,0,0,0,0,99.9899979,1073741824,696000,0,95800.5547,0
2890,0,3098979.96,1010919.34,5464018.8200000003,135535.453,0,0,0,0,99.9899979,1073741824,696200,0,95841.5781,0
3004,0,3098979.96,1010919.34,5464018.8200000003,135593.469,0,0,0,0,99.9899979,1073741824,696400,0,95882.6094,0
3119,0,3098979.96,1010919.34,5464018.8200000003,135651.5,0,0,0,0,99.9899979,1073741824,696600,0,95923.6484,0
3236,0,3098979.96,1010919.34,5464018.8200000003,135709.531,0,0,0,0,99.9899979,1073741824,696800,0,95964.6875,0
3346,0,3098979.96,1010919.34,5464018.8200000003,135767.563,0,0,0,0,99.9899979,1073741824,697000,0,96005.7266,0
3464,0,3098979.96,1010919.34,5464018.8200000003,135825.625,0,0,0,0,99.9899979,1073741824,697200,0,96046.7891,0
