_ID_,dt,status,theta1[0],theta1[1],theta1[2],theta2[0],theta2[1],theta2[2],time,vel1[0],vel1[1],vel1[2],vel2[0],vel2[1],vel2[2]
2,0.00400000019,0,-2.13142303e-05,3.10989344e-05,6.37077392e-05,-2.73753176e-05,-9.0542444e-06,7.45411453e-05,693.4488522981992,0.000135637296,-0.000660630874,-0.0386758111,-8.6904678e-05,-0.000823617156,-0.0391516462
4,0.00400000019,0,4.1370522e-06,1.64904504e-05,5.87198156e-05,-1.17444715e-05,-6.77661046e-06,3.09115421e-05,693.45285229838919,0.000120350691,-0.000575086509,-0.0386088938,-8.12596045e-05,-0.000802525959,-0.0391858332
6,0.00400000019,0,-3.71300703e-05,4.12090094e-06,-1.28622185e-06,-4.06139588e-05,-1.89778548e-05,5.0943956e-05,693.45685229857918,0.000161885764,-0.000630745431,-0.0390827097,-7.69901744e-05,-0.000780529052,-0.0395891219
7,0.00400000019,0,4.74091257e-06,4.03316408e-05,7.37971568e-05,-1.87365476e-05,-6.37578387e-06,5.20722824e-05,693.46085229876917,0.00028808348,-0.000578889274,-0.0389817469,1.86841735e-05,-0.000716423907,-0.0396636128
11,0.00400000019,0,1.49768875e-05,1.06606444e-06,1.06548878e-05,1.51485501e-05,-1.60449254e-05,1.99701062e-05,693.46485229895916,0.000114929207,-0.000745485537,-0.0385864526,4.65013509e-05,-0.000866894319,-0.0393283293
12,0.00400000019,0,-2.65245399e-05,2.67540454e-05,2.16551434e-05,-3.64389598e-05,1.06193067e-06,6.68637513e-05,693.46885229914915,0.000246269425,-0.000741723285,-0.0388462208,-0.00011654682,-0.000896343845,-0.0391400829
14,0.00400000019,0,-1.55473535e-05,2.83274494e-05,7.50657346e-05,-2.36520518e-05,-9.75663443e-06,3.94356757e-05,693.47285229933914,0.000289646414,-0.000586893409,-0.0388908535,5.11473008e-05,-0.000867810333,-0.0395747609
16,0.00400000019,0,1.37950133e-06,-1.08769873e-05,-4.25497819e-06,-8.94130699e-06,-1.19484193e-05,3.2849126e-05,693.47685229952913,0.000292478129,-0.000601428386,-0.0388291664,-1.72767377e-05,-0.000841960311,-0.039660763
22,0.00406713411,0,-1.43711013e-05,3.44050641e-05,7.00498713e-05,-2.35969637e-05,1.69071154e-06,5.79580046e-05,693.48091943364125,0.000221583017,-0.000733594003,-0.0392909534,-5.18562265e-05,-0.000705114682,-0.0400154404
24,0.00400000019,0,-3.50549885e-06,9.51575748e-06,5.56615341e-05,-5.17088938e-06,-1.56596907e-05,2.12140076e-05,693.48491943383124,0.000288949144,-0.000756838243,-0.0389899202,5.80023225e-05,-0.000795615662,-0.0395619124
27,0.00400000019,0,-3.34368087e-05,6.03113858e-06,3.41009377e-06,-1.81533414e-05,-1.03109232e-05,7.0536742e-05,693.48891943402123,0.000185896104,-0.000720695767,-0.038869638,0.000113672118,-0.000888296752,-0.0394886099
28,0.00400000019,0,-2.64883147e-05,4.18050804e-05,6.99741067e-05,-2.18413279e-05,-1.13400547e-05,6.71672606e-05,693.49291943421122,0.000201856616,-0.000575566781,-0.0389190726,3.99188903e-05,-0.000805932679,-0.0394015722
31,0.00400000019,0,-2.75565026e-06,-7.62186619e-06,3.93137234e-05,3.97741132e-06,-2.48298129e-05,2.18327368e-05,693.49691943440121,0.000203749441,-0.000629925926,-0.0390455909,-0.000131588095,-0.000793944637,-0.0393756069
32,0.00400000019,0,-1.01771539e-05,2.51589117e-05,2.7905151e-05,-2.22121289e-05,-1.11203908e-05,6.74837574e-05,693.5009194345912,0.000144110512,-0.000539433502,-0.0387704372,8.63838613e-06,-0.000725863909,-0.0394218229
38,0.00400000019,0,-2.84924754e-05,2.87611601e-05,6.94573391e-05,-3.30470029e-05,-1.43668949e-05,5.49804172e-05,693.50491943478119,0.000203170246,-0.000574033358,-0.0387141518,-1.63806471e-05,-0.000822261441,-0.0393857919
39,0.00400000019,0,-2.01146449e-05,-4.5159718e-06,7.57038151e-06,-8.35823903e-06,-1.36323824e-05,2.50738103e-05,693.50891943497118,0.000305505382,-0.00046065604,-0.0387892015,2.75964194e-05,-0.000615611265,-0.0394208506
46,0.00400000019,0,-6.46272247e-06,3.74433985e-05,5.66396302e-05,-2.17836332e-05,-7.8360963e-06,8.17036926e-05,693.51291943516117,0.000166121594,-0.00066675141,-0.038853202,0.000122982587,-0.000754652487,-0.0395034477
49,0.00400000019,0,-1.31243078e-05,1.72344699e-05,5.28475503e-05,-8.41609835e-06,-6.67871745e-06,2.29146444e-05,693.51691943535116,0.000232022576,-0.000667390006,-0.0390544832,-0.000127825813,-0.000796815555,-0.0393591262
50,0.00400000019,0,-1.34187485e-05,4.19559592e-06,1.40471275e-05,-1.33891199e-05,-8.29716282e-06,3.7539714e-05,693.52091943554115,0.000179401482,-0.000611785799,-0.0389673412,-0.000126172847,-0.000790525868,-0.0396103971
54,0.00400000019,0,-8.36285926e-06,4.18564705e-05,7.4876014e-05,-1.95687262e-05,1.46418458e-07,7.36704969e-05,693.52491943573114,0.000271105237,-0.000624615408,-0.0387006514,1.02844251e-05,-0.000673416886,-0.0393300317
56,0.00400000019,0,-7.19015588e-06,1.5025189e-06,3.81999962e-05,1.85433032e-06,-1.59680512e-05,2.35412663e-05,693.52891943592113,0.000199774455,-0.000637151708,-0.0386783369,-9.32264666e-05,-0.000713899033,-0.0393776521
58,0.00400000019,0,-2.52900663e-05,2.67304149e-05,1.67802173e-05,-1.97029385e-05,-5.79239941e-06,7.33617198e-05,693.53291943611111,0.000201370029,-0.000606837624,-0.0387247577,-7.59803152e-05,-0.000788610894,-0.0395306237
60,0.00400000019,0,-1.05736963e-05,2.97878651e-05,7.68706668e-05,-1.97251338e-05,-8.8864208e-06,4.87839388e-05,693.5369194363011,0.000194779626,-0.000762871176,-0.0388514735,2.92714431e-05,-0.000738768023,-0.0392577983
62,0.00400000019,0,-4.65054654e-06,-5.15684906e-06,4.01988655e-06,3.43579745e-06,-6.84767883e-06,1.84290529e-05,693.54091943649109,0.000244786585,-0.000776620698,-0.0387075655,-7.52406486e-05,-0.000848823693,-0.0393653996
65,0.00400000019,0,-1.06882298e-05,1.12551415e-05,5.75342347e-05,-1.45935137e-05,-6.42384407e-07,2.97088955e-05,693.54891943687107,0.000248724537,-0.000592058932,-0.0389994979,-4.7885289e-05,-0.000877397426,-0.0395546034
66,0.00400000019,0,-2.00150816e-06,-9.21863659e-07,1.02580716e-05,-1.3196759e-05,-1.55613652e-05,4.66430683e-05,693.55291943706106,0.000135083246,-0.000589382194,-0.0386342853,-6.1636325e-05,-0.000797629473,-0.039446909
