_ID_,sAcc,timeOfWeekMs,velEcef[0],velEcef[1],velEcef[2]
100,235.830002,690400,0,0,0
214,235.860001,690600,0,0,0
321,235.899994,690800,0,0,0
437,235.929993,691000,0,0,0
550,235.970001,691200,0,0,0
667,236,691400,0,0,0
778,236.029999,691600,0,0,0
891,236.069992,691800,0,0,0
1006,236.099991,692000,0,0,0
1124,236.139999,692200,0,0,0
1237,236.169998,692400,0,0,0
1351,236.199997,692600,0,0,0
1464,236.23999,692800,0,0,0
1580,236.269989,693000,0,0,0
1695,236.299988,693200,0,0,0
1812,236.339996,693400,0,0,0
1928,236.369995,693600,0,0,0
2042,236.409988,693800,0,0,0
2157,236.439987,694000,0,0,0
2269,236.470001,694200,0,0,0
2380,236.509995,694400,0,0,0
2492,236.539993,694600,0,0,0
2604,236.580002,694800,0,0,0
2721,236.610001,695000,0,0,0
2838,236.639999,695200,0,0,0
2952,236.679993,695400,0,0,0
3066,236.709991,695600,0,0,0
3182,236.73999,695800,0,0,0
3299,236.779999,696000,0,0,0
3415,236.809998,696200,0,0,0
3531,236.849991,696400,0,0,0
3647,236.87999,696600,0,0,0
3756,236.909988,696800,0,0,0
3868,236.949997,697000,0,0,0
3979,236.979996,697200,0,0,0
4093,237.009995,697400,0,0,0
4213,237.049988,697600,0,0,0
4333,237.080002,697800,0,0,0
4450,237.119995,698000,0,0,0
4564,237.149994,698200,0,0,0
4679,237.179993,698400,0,0,0
4794,237.220001,698600,0,0,0
4914,237.25,698800,0,0,0
5033,237.279999,699000,0,0,0
5149,237.319992,699200,0,0,0
5258,237.349991,699400,0,0,0
5377,237.389999,699600,0,0,0
5488,237.419998,699800,0,0,0
5599,237.449997,700000,0,0,0
5712,237.48999,700200,0,0,0
5820,237.519989,700400,0,0,0
5939,237.549988,700600,0,0,0
6055,237.589996,700800,0,0,0
6170,237.619995,701000,0,0,0
6282,237.659988,701200,0,0,0
6398,237.689987,701400,0,0,0
6510,237.720001,701600,0,0,0
6623,237.759995,701800,0,0,0
6734,237.789993,702000,0,0,0
6847,237.819992,702200,0,0,0
6963,237.860001,702400,0,0,0
7077,237.889999,702600,0,0,0
7194,237.919998,702800,0,0,0
7309,237.959991,703000,0,0,0
7421,237.98999,703200,0,0,0
7533,238.029999,703400,0,0,0
7645,238.059998,703600,0,0,0
7762,238.089996,703800,0,0,0
7873,238.12999,704000,0,0,0
7989,238.159988,704200,0,0,0
8100,238.189987,704400,0,0,0
8215,238.229996,704600,0,0,0
8328,238.259995,704800,0,0,0
8440,238.289993,705000,0,0,0
8553,238.330002,705200,0,0,0
8664,238.360001,705400,0,0,0
8776,238.389999,705600,0,0,0
8892,238.429993,705800,0,0,0
9004,238.459991,706000,0,0,0
9115,238.5,706200,0,0,0
9230,238.529999,706400,0,0,0
9345,238.559998,706600,0,0,0
9452,238.599991,706800,0,0,0
9566,238.62999,707000,0,0,0
9681,238.659988,707200,0,0,0
9798,238.699997,707400,0,0,0
9912,238.729996,707600,0,0,0
10029,238.759995,707800,0,0,0
10150,238.799988,708000,0,0,0
10265,238.830002,708200,0,0,0
10382,238.860001,708400,0,0,0
10493,238.899994,708600,0,0,0
10607,238.929993,708800,0,0,0
10724,238.959991,709000,0,0,0
10843,239,709200,0,0,0
10957,239.029999,709400,0,0,0
11068,239.059998,709600,0,0,0
11183,239.099991,709800,0,0,0
11289,239.12999,710000,0,0,0
11403,239.169998,710200,0,0,0
11520,239.199997,710400,0,0,0
11635,239.229996,710600,0,0,0
11751,239.269989,710800,0,0,0
11863,239.299988,711000,0,0,0
11978,239.330002,711200,0,0,0
12093,239.369995,711400,0,0,0
12204,239.399994,711600,0,0,0
12316,239.429993,711800,0,0,0
12425,239.470001,712000,0,0,0
12536,239.5,712200,0,0,0
12650,239.529999,712400,0,0,0
12768,239.569992,712600,0,0,0
12881,239.599991,712800,0,0,0
13000,239.62999,713000,0,0,0
13112,239.669998,713200,0,0,0
13227,239.699997,713400,0,0,0
13338,239.729996,713600,0,0,0
13451,239.769989,713800,0,0,0
13565,239.799988,714000,0,0,0
13680,239.830002,714200,0,0,0
13792,239.869995,714400,0,0,0
13902,239.899994,714600,0,0,0
14016,239.929993,714800,0,0,0
14125,239.970001,715000,0,0,0
14239,240,715200,0,0,0
14351,240.029999,715400,0,0,0
14466,240.069992,715600,0,0,0
14581,240.099991,715800,0,0,0
14691,240.12999,716000,0,0,0
14804,240.169998,716200,0,0,0
14918,240.199997,716400,0,0,0
15033,240.229996,716600,0,0,0
15150,240.269989,716800,0,0,0
15264,240.299988,717000,0,0,0
15381,240.330002,717200,0,0,0
15499,240.369995,717400,0,0,0
15616,240.399994,717600,0,0,0
15734,240.429993,717800,0,0,0
15855,240.470001,718000,0,0,0
15969,240.5,718200,0,0,0
16085,240.529999,718400,0,0,0
16199,240.569992,718600,0,0,0
16313,240.599991,718800,0,0,0
16431,240.62999,719000,0,0,0
16546,240.669998,719200,0,0,0
16659,240.699997,719400,0,0,0
16776,240.729996,719600,0,0,0
16892,240.769989,719800,0,0,0
17008,240.799988,720000,0,0,0
17123,240.830002,720200,0,0,0
17236,240.869995,720400,0,0,0
17347,240.899994,720600,0,0,0
17461,240.929993,720800,0,0,0
17574,240.959991,721000,0,0,0
17689,241,721200,0,0,0
17802,241.029999,721400,0,0,0
17914,241.059998,721600,0,0,0
18029,241.099991,721800,0,0,0
18143,241.12999,722000,0,0,0
18257,241.159988,722200,0,0,0
18369,241.199997,722400,0,0,0
18480,241.229996,722600,0,0,0
18595,241.259995,722800,0,0,0
18710,241.299988,723000,0,0,0
18823,241.330002,723200,0,0,0
18932,241.360001,723400,0,0,0
19047,241.399994,723600,0,0,0
19158,241.429993,723800,0,0,0
19274,241.459991,724000,0,0,0
19391,241.5,724200,0,0,0
19508,241.529999,724400,0,0,0
19621,241.559998,724600,0,0,0
19727,241.589996,724800,0,0,0
19843,241.62999,725000,0,0,0
19959,241.659988,725200,0,0,0
20072,241.689987,725400,0,0,0
20186,241.729996,725600,0,0,0
20301,241.759995,725800,0,0,0
20414,241.789993,726000,0,0,0
20528,241.830002,726200,0,0,0
20637,241.860001,726400,0,0,0
20750,241.889999,726600,0,0,0
20865,241.929993,726800,0,0,0
20980,241.959991,727000,0,0,0
21094,241.98999,727200,0,0,0
21207,242.019989,727400,0,0,0
21327,242.059998,727600,0,0,0
21445,242.089996,727800,0,0,0
21561,242.119995,728000,0,0,0
21680,242.159988,728200,0,0,0
21797,242.189987,728400,0,0,0
21912,242.220001,728600,0,0,0
22026,242.259995,728800,0,0,0
22138,242.289993,729000,0,0,0
22254,242.319992,729200,0,0,0
22370,242.360001,729400,0,0,0
22490,242.389999,729600,0,0,0
22604,242.419998,729800,0,0,0
22717,242.449997,730000,0,0,0
22831,242.48999,730200,0,0,0
22942,242.519989,730400,0,0,0
23059,242.549988,730600,0,0,0
23172,242.589996,730800,0,0,0
23290,242.619995,731000,0,0,0
23407,242.649994,731200,0,0,0
23523,242.679993,731400,0,0,0
23636,242.720001,731600,0,0,0
23750,242.75,731800,0,0,0
23865,242.779999,732000,0,0,0
23978,242.819992,732200,0,0,0
24094,242.849991,732400,0,0,0
24209,242.87999,732600,0,0,0
24320,242.919998,732800,0,0,0
24437,242.949997,733000,0,0,0
