_ID_,sAcc,timeOfWeekMs,velEcef[0],velEcef[1],velEcef[2]
2,349.079987,1518400,0,0,0
120,349.100006,1518600,0,0,0
229,349.130005,1518800,0,0,0
343,349.149994,1519000,0,0,0
457,349.169983,1519200,0,0,0
570,349.190002,1519400,0,0,0
675,349.220001,1519600,0,0,0
791,349.23999,1519800,0,0,0
897,349.259979,1520000,0,0,0
1008,349.289978,1520200,0,0,0
1121,349.309998,1520400,0,0,0
1236,349.329987,1520600,0,0,0
1352,349.350006,1520800,0,0,0
1467,349.380005,1521000,0,0,0
1581,349.399994,1521200,0,0,0
1696,349.419983,1521400,0,0,0
1814,349.449982,1521600,0,0,0
1927,349.470001,1521800,0,0,0
2038,349.48999,1522000,0,0,0
2151,349.509979,1522200,0,0,0
2259,349.539978,1522400,0,0,0
2373,349.559998,1522600,0,0,0
2485,349.579987,1522800,0,0,0
2599,349.609985,1523000,0,0,0
2708,349.630005,1523200,0,0,0
2823,349.649994,1523400,0,0,0
2933,349.669983,1523600,0,0,0
3046,349.699982,1523800,0,0,0
3157,349.720001,1524000,0,0,0
3274,349.73999,1524200,0,0,0
3382,349.769989,1524400,0,0,0
3498,349.789978,1524600,0,0,0
3612,349.809998,1524800,0,0,0
3723,349.829987,1525000,0,0,0
3835,349.859985,1525200,0,0,0
3942,349.880005,1525400,0,0,0
4057,349.899994,1525600,0,0,0
4165,349.929993,1525800,0,0,0
4276,349.949982,1526000,0,0,0
4389,349.970001,1526200,0,0,0
4500,349.98999,1526400,0,0,0
4612,350.019989,1526600,0,0,0
4723,350.039978,1526800,0,0,0
4837,350.059998,1527000,0,0,0
4949,350.089996,1527200,0,0,0
5055,350.109985,1527400,0,0,0
5169,350.130005,1527600,0,0,0
5283,350.149994,1527800,0,0,0
5404,350.179993,1528000,0,0,0
5514,350.199982,1528200,0,0,0
5630,350.220001,1528400,0,0,0
5745,350.25,1528600,0,0,0
5855,350.269989,1528800,0,0,0
5971,350.289978,1529000,0,0,0
6083,350.309998,1529200,0,0,0
6192,350.339996,1529400,0,0,0
6304,350.359985,1529600,0,0,0
6419,350.380005,1529800,0,0,0
6531,350.410004,1530000,0,0,0
6646,350.429993,1530200,0,0,0
6757,350.449982,1530400,0,0,0
6868,350.470001,1530600,0,0,0
6983,350.5,1530800,0,0,0
7094,350.519989,1531000,0,0,0
7210,350.539978,1531200,0,0,0
7321,350.570007,1531400,0,0,0
7429,350.589996,1531600,0,0,0
7544,350.609985,1531800,0,0,0
7657,350.630005,1532000,0,0,0
7768,350.660004,1532200,0,0,0
7882,350.679993,1532400,0,0,0
7997,350.699982,1532600,0,0,0
8113,350.72998,1532800,0,0,0
8224,350.75,1533000,0,0,0
8335,350.769989,1533200,0,0,0
8451,350.789978,1533400,0,0,0
8562,350.820007,1533600,0,0,0
8672,350.839996,1533800,0,0,0
8779,350.859985,1534000,0,0,0
8897,350.880005,1534200,0,0,0
9011,350.910004,1534400,0,0,0
9117,350.929993,1534600,0,0,0
