_ID_,dt,status,theta1[0],theta1[1],theta1[2],theta2[0],theta2[1],theta2[2],time,vel1[0],vel1[1],vel1[2],vel2[0],vel2[1],vel2[2]
3,0.00400000019,0,-3.56917662e-05,3.9516035e-05,9.97406241e-05,-2.09877417e-05,5.65971106e-07,8.07823671e-05,1520.6876677292166,0.000859922904,0.000620444072,-0.0389829502,0.000571939861,0.000260165165,-0.0392807648
7,0.00397558138,0,-1.3815451e-05,-3.9053516e-06,3.05321919e-05,-5.87560498e-06,-6.47990328e-06,2.45258325e-05,1520.6916433105944,0.000824657793,0.000582969689,-0.0387313403,0.000544905663,0.000238238441,-0.0390902311
11,0.00400000019,0,-3.30877447e-05,1.8307237e-05,2.56431977e-05,-3.15847974e-05,-1.32854639e-05,6.50874499e-05,1520.6956433107844,0.00087678968,0.000749929459,-0.039185904,0.000536474399,0.000421661913,-0.0395040177
12,0.00400000019,0,-2.04047046e-05,3.10638716e-05,8.76655249e-05,-1.97065983e-05,-3.98473412e-06,5.95896636e-05,1520.6996433109744,0.000833556813,0.000636227487,-0.038757015,0.000698030984,0.000382733124,-0.0390583538
16,0.00400000019,0,-3.50625669e-07,3.16730871e-06,3.03925372e-05,-1.91852223e-06,-1.30078261e-05,2.70381679e-05,1520.7036433111643,0.000798469002,0.00057072955,-0.0389287993,0.000521880575,0.000397310621,-0.0392738953
20,0.00400000019,0,-1.99332353e-05,3.52234674e-05,5.10209902e-05,-9.25352822e-07,3.3302756e-06,7.30425309e-05,1520.7076433113543,0.000871820201,0.000601059,-0.0386158563,0.000632124604,0.000307768583,-0.0391598307
23,0.00400000019,0,-4.25968756e-06,3.33036551e-05,7.71922132e-05,-3.99960709e-06,-5.61912702e-06,4.333783e-05,1520.7116433115443,0.000820774527,0.000575498329,-0.0389280766,0.000554588798,0.000398024597,-0.0392020606
26,0.00400000019,0,-1.5286183e-05,8.0511262e-07,1.55403577e-05,-2.46324216e-05,-9.94909351e-06,3.87600412e-05,1520.7156433117343,0.000882800668,0.000548681302,-0.0387816988,0.000548915181,0.000157529459,-0.0390322469
27,0.00400000019,0,-4.77161884e-05,4.0136536e-05,8.51900913e-05,-3.0656156e-05,1.10250994e-05,8.04658412e-05,1520.7196433119243,0.000903214212,0.000631075469,-0.0389112979,0.000622502354,0.000400398043,-0.0391205363
31,0.00400000019,0,-1.32363366e-05,1.90506034e-05,5.85940143e-05,-1.65849015e-05,-4.07652442e-06,3.2162694e-05,1520.7236433121143,0.000856666884,0.000581719389,-0.0388255008,0.000450903579,0.000223661089,-0.0390825123
32,0.00400000019,0,-3.75337913e-05,1.19623228e-05,2.94843412e-05,-3.32779564e-05,-1.01042156e-06,6.36101613e-05,1520.7276433123043,0.000829916622,0.000517398817,-0.038807679,0.000548495562,0.000332919182,-0.039167814
34,0.00400000019,0,-2.75247221e-05,4.93656371e-05,9.20764724e-05,-3.31028023e-05,1.60622931e-05,6.58249483e-05,1520.7316433124943,0.000790845952,0.000618216756,-0.0388956517,0.00056036585,0.000411189743,-0.0392466672
37,0.00400000019,0,-8.56989755e-06,-6.79536834e-06,3.42595304e-05,-1.08584854e-05,-1.61034113e-05,2.37241384e-05,1520.7356433126843,0.000757529808,0.000605634472,-0.0387800746,0.000494062202,0.000310376607,-0.0393527225
39,0.00400000019,0,-1.86122325e-05,2.39753754e-05,4.99030648e-05,-2.14748779e-05,-9.93468348e-06,7.04854174e-05,1520.7396433128743,0.000777712499,0.000610986259,-0.0388728566,0.00050146383,0.0003785179,-0.0392638631
42,0.00400000019,0,-9.33374304e-06,3.49487018e-05,9.32539842e-05,-6.72922579e-06,-1.06161242e-05,4.12456575e-05,1520.7436433130642,0.000751518703,0.000582727778,-0.0390525013,0.000508351659,0.000405588042,-0.039432615
44,0.00400000019,0,7.43426563e-06,-2.01577973e-06,2.91804081e-05,2.11740844e-05,-2.29392735e-05,3.52004608e-05,1520.7476433132542,0.000770994753,0.000539876462,-0.0387720391,0.000543481379,0.00041589074,-0.0392751172
45,0.00400000019,0,-1.64198846e-05,3.74381525e-05,7.03344922e-05,-3.12626435e-05,5.33354068e-07,7.43858982e-05,1520.7516433134442,0.00086966675,0.000368887326,-0.0388012975,0.000526223565,0.000254645041,-0.0393478647
49,0.00400000019,0,-3.41647797e-06,2.11270999e-05,6.75668562e-05,-1.73109001e-05,-1.33180201e-05,3.59450169e-05,1520.7556433136342,0.000749824627,0.000492235529,-0.0389089175,0.000530169171,0.000324738474,-0.0393326283
50,0.00400000019,0,-8.41976816e-06,1.27760341e-05,3.73674666e-05,-6.98795247e-06,4.34136336e-06,5.40529072e-05,1520.7596433138242,0.000876017439,0.000430645043,-0.0386328623,0.000517765875,0.000278840133,-0.0390275568
54,0.00400000019,0,-4.05302235e-05,4.0632709e-05,9.69586617e-05,-2.69139455e-05,5.10343909e-07,6.46879053e-05,1520.7636433140142,0.000854488404,0.00043987215,-0.0385662988,0.000557806052,0.000128686937,-0.039034158
55,0.00400000019,0,-4.45677324e-06,1.48418494e-05,4.08314154e-05,-7.83710675e-06,3.26091686e-06,1.24189455e-05,1520.7676433142042,0.000814968371,0.000518289744,-0.0387709551,0.000513563573,0.000215154825,-0.0391285829
56,0.00400000019,0,-3.04463556e-05,1.39223321e-05,4.6545767e-05,-1.39296108e-05,-1.28266556e-05,6.67588902e-05,1520.7716433143942,0.000816865824,0.000431938708,-0.0388412215,0.000433812296,0.000346558722,-0.0391813368
60,0.00400000019,0,-3.03234101e-05,4.70830164e-05,9.28953959e-05,-3.28840288e-05,-1.99997726e-06,5.20372414e-05,1520.7756433145842,0.000839207845,0.000488316582,-0.0387681462,0.00054596836,0.000169396109,-0.0393535979
61,0.00400000019,0,-2.53981434e-05,2.43285967e-07,3.2530661e-05,-2.13305193e-05,-9.77582295e-06,4.10676912e-05,1520.7796433147741,0.000861391949,0.000500099035,-0.0387279205,0.000593712088,0.000224133226,-0.0391603932
65,0.00400000019,0,-3.93674527e-05,4.24122263e-05,8.0617865e-05,-4.26350925e-05,-7.06575349e-07,7.26427679e-05,1520.7836433149641,0.00082433119,0.000493488449,-0.0389259048,0.000582733715,0.000260454952,-0.039290715
