_ID_,mag[0],mag[1],mag[2],time
4,-0.0967984572,-1.29558372,0.560463548,1521.3828984416323
9,-0.098958753,-1.33617723,0.532275498,1521.3928984421073
19,-0.0965542868,-1.31372941,0.583875358,1521.4029655765044
24,-0.110100746,-1.28314757,0.561184943,1521.4129655769793
30,-0.0736269802,-1.31710064,0.574200392,1521.4229655774543
47,-0.10987585,-1.28952432,0.548989773,1521.4529655788792
54,-0.0806842819,-1.29823768,0.59296459,1521.4629655793542
59,-0.0388181582,-1.27690494,0.58957684,1521.4729655798292
67,-0.0836677179,-1.30763614,0.583754063,1521.4829655803042
71,-0.105609313,-1.32996941,0.532649279,1521.4929655807791
79,-0.0772414804,-1.30747736,0.595588446,1521.5029411624419
83,-0.125691965,-1.3110199,0.551730514,1521.5129411629168
89,-0.0710067227,-1.29515564,0.595814764,1521.5229411633918
94,-0.116014339,-1.30793786,0.554580569,1521.5329411638668
100,-0.0773468539,-1.29551136,0.571980894,1521.5429411643418
110,-0.0809618756,-1.2858777,0.593355954,1521.5629411652917
121,-0.10619738,-1.31104612,0.557248235,1521.5829411662417
126,-0.115927696,-1.30814517,0.542594314,1521.5929411667166
133,-0.0940291658,-1.28571355,0.599698782,1521.6029167483794
138,-0.11632482,-1.30137444,0.57878828,1521.6129167488543
144,-0.103309684,-1.29556632,0.560654759,1521.6229167493293
149,-0.0934501961,-1.29876268,0.557309508,1521.6329167498043
156,-0.100421987,-1.28008616,0.564061284,1521.6429167502793
161,-0.102902934,-1.30822146,0.542264283,1521.6529167507542
167,-0.0905959904,-1.2890687,0.584519207,1521.6629167512292
171,-0.037812192,-1.31439841,0.564429402,1521.6729167517042
180,-0.0966484472,-1.30767858,0.578109741,1521.6829167521792
185,-0.103491068,-1.28929758,0.566862345,1521.6929167526541
195,-0.0839013383,-1.29539478,0.578171015,1521.7028923343169
198,-0.0932248384,-1.3051492,0.545126617,1521.7128923347918
205,-0.067486383,-1.29872787,0.568661034,1521.7228923352668
209,-0.0799225494,-1.31758523,0.544405222,1521.7328923357418
215,-0.0609643646,-1.30465043,0.586299479,1521.7428923362168
219,-0.10996037,-1.2893579,0.561027646,1521.7528923366917
225,-0.113264449,-1.28629804,0.558208108,1521.7628923371667
230,-0.10950058,-1.30800343,0.554449975,1521.7728923376417
238,-0.080051221,-1.3172971,0.562413454,1521.7828923381167
248,-0.112976804,-1.30454969,0.575629294,1521.8029594729887
253,-0.0997463986,-1.29923379,0.527497232,1521.8129594734637
259,-0.0905090049,-1.28928268,0.572541058,1521.8229594739387
264,-0.118857503,-1.32354379,0.545208812,1521.8329594744137
269,-0.0738068968,-1.3108598,0.580443203,1521.8429594748886
274,-0.148574755,-1.30777478,0.555440187,1521.8529594753636
280,-0.0509657003,-1.31403399,0.582767665,1521.8629594758386
285,-0.0678589195,-1.28030193,0.563267469,1521.8729594763136
293,-0.0902214199,-1.30753493,0.589963257,1521.8829594767885
