_ID_,dt,status,theta1[0],theta1[1],theta1[2],theta2[0],theta2[1],theta2[2],time,vel1[0],vel1[1],vel1[2],vel2[0],vel2[1],vel2[2]
2,0.00400000019,0,0.000101464546,-1.25490997e-05,-7.61344345e-05,0.000118219214,-3.54637341e-05,-6.21311701e-05,1661.0601748061599,0.000577820232,-0.0102743171,-0.0360824428,0.00027458003,-0.0105632208,-0.0364027955
3,0.00400000019,0,0.000116174924,4.11798828e-06,-5.8627149e-05,0.000138449934,-1.29897653e-05,-8.86132329e-05,1661.0641748063499,0.000311195938,-0.0104062082,-0.036196772,0.000114872797,-0.0108036371,-0.0366714373
4,0.00400000019,0,0.000137484254,-1.09436914e-05,-0.000115756266,0.000149885993,-1.81336982e-05,-6.63513056e-05,1661.0681748065399,0.000341148727,-0.0104402388,-0.0362876765,-6.29057376e-06,-0.0108018015,-0.0368041992
5,0.00400000019,0,0.000122316706,9.37155346e-06,-6.32681113e-05,0.000146046295,-1.99723254e-05,-7.51574771e-05,1661.0721748067299,0.000152880399,-0.0109216524,-0.0365058556,-0.000213677951,-0.0113958763,-0.0372265242
6,0.00400000019,0,8.36575418e-05,1.22811589e-05,-8.16505781e-05,9.3962728e-05,-5.58684815e-06,-8.82430759e-05,1661.0761748069199,1.5655618e-05,-0.0113269715,-0.0368257761,-0.000172073997,-0.011847524,-0.0370985754
7,0.00400000019,0,1.6257567e-05,5.25064388e-06,-0.000103156068,1.7271037e-05,-1.49327852e-05,-6.18258418e-05,1661.0801748071099,-4.48016581e-05,-0.0115813706,-0.036868386,-0.000205154472,-0.0120182689,-0.0374287553
9,0.00400000019,0,-0.000109290268,2.04794451e-05,-5.94912235e-05,-7.26164872e-05,-6.42621217e-06,-8.79809959e-05,1661.0841748072999,-3.95658899e-05,-0.011618128,-0.0370407812,-0.000295765087,-0.0120552564,-0.0375865698
13,0.00400000019,0,-0.000172630898,7.4207901e-06,-9.15174533e-05,-0.000168719314,-3.76695107e-06,-7.82753923e-05,1661.0881748074898,2.89983291e-05,-0.0116355037,-0.0369310863,-0.000330708834,-0.0120302243,-0.0374873839
14,0.00400000019,0,-0.000255923282,1.37589141e-05,-8.89247094e-05,-0.000238272012,-6.57787496e-06,-5.47296331e-05,1661.0921748076798,-7.28519881e-05,-0.011583752,-0.0367734693,-0.000260151486,-0.0120193213,-0.0374875851
15,0.00400000019,0,-0.000300027023,2.68728909e-05,-6.639809e-05,-0.000276273233,-8.31731177e-06,-8.93590986e-05,1661.0961748078698,-7.90631248e-07,-0.0113676377,-0.0363543257,-0.000190862687,-0.0118760737,-0.0369948782
16,0.00400000019,0,-0.000298166764,2.63962265e-05,-0.000102055696,-0.000285612448,3.0777328e-06,-7.06797218e-05,1661.1001748080598,0.000200404669,-0.0111562191,-0.0361160524,-0.000103857354,-0.0116857802,-0.036658857
17,0.00400000019,0,-0.000287328701,3.60730264e-05,-7.71705672e-05,-0.000255680003,-2.82937208e-06,-6.61620361e-05,1661.1041748082498,0.000193827145,-0.0111028953,-0.0357874632,-0.000104927785,-0.0114503419,-0.0365193188
18,0.00400000019,0,-0.000242597715,4.06628642e-05,-7.05093989e-05,-0.00022761189,1.55767211e-05,-9.24598498e-05,1661.1081748084398,0.000215776745,-0.0108888391,-0.0359323882,2.77338968e-05,-0.011344946,-0.0363920182
19,0.00400000019,0,-0.000201094459,4.72756037e-05,-0.000104649705,-0.000176367845,2.32667862e-05,-7.12390247e-05,1661.1121748086298,0.000406841631,-0.0108206738,-0.0359330699,0.000119145938,-0.0112620993,-0.0364621542
