_ID_,hdwStatus,insStatus,lla[0],lla[1],lla[2],ned[0],ned[1],ned[2],theta[0],theta[1],theta[2],timeOfWeek,uvw[0],uvw[1],uvw[2],week
1,91,419634551,59.352941685617722,18.073162133090531,28.795826319605112,2144308.75,11034127,1389.80212,0.254105985,0.0193449296,-2.41989779,136139.09022762426,0.0142363682,0.0844556391,-0.00546018314,2040
14,91,419634551,59.352941890059562,18.073161606259216,28.789288911037147,2144308.75,11034127,1389.80859,0.254032046,0.0182441752,-2.41911006,136139.14023812031,0.0165506434,0.0981145799,-0.0060613472,2040
27,83,419634551,59.35294206726914,18.073161225269946,28.788138004019856,2144308.75,11034127,1389.80981,0.255159706,0.0174356923,-2.41764021,136139.19023812268,0.0159957297,0.107680269,-0.00990287494,2040
41,83,419634551,59.352942158022095,18.073161087711416,28.785609766840935,2144308.75,11034127,1389.81238,0.257324845,0.0167536084,-2.41590881,136139.2402491064,0.0152445212,0.110741995,-0.0115271006,2040
54,91,419634551,59.352942212324407,18.073160927416065,28.785106666386127,2144308.75,11034127,1389.81287,0.258887023,0.016301699,-2.414011,136139.29024910877,0.0191873498,0.113645151,-0.0185130481,2040
68,91,419634551,59.352942236901022,18.073160847253256,28.782519451342523,2144308.75,11034127,1389.81543,0.260583758,0.0155968498,-2.41234565,136139.34028084492,0.0176526885,0.0998269022,-0.010955764,2040
81,91,419634551,59.352942259193746,18.073160767376478,28.784807930700481,2144308.75,11034127,1389.81311,0.263013452,0.0144563094,-2.41038251,136139.39028084729,0.0278997198,0.0914816484,-0.0203747302,2040
95,83,419634551,59.352942273947768,18.073160693852277,28.784363375045359,2144308.75,11034127,1389.8136,0.263209671,0.0132244416,-2.40812349,136139.44022151837,0.0304134265,0.0734044984,-0.0197277162,2040
108,83,419634551,59.35294242348526,18.073160215468455,28.782535697333515,2144308.75,11034127,1389.81543,0.265131056,0.0118832001,-2.40548754,136139.49022152074,0.0311728921,0.0671652108,-0.0221132655,2040
122,83,419634551,59.352942430667134,18.073160156064041,28.78085364215076,2144308.75,11034127,1389.81714,0.265628934,0.0104116695,-2.40244579,136139.54023201679,0.0378669873,0.0502523482,-0.0181914344,2040
135,91,419634551,59.3529424287631,18.073160096987216,28.785026746802032,2144308.75,11034127,1389.81287,0.266394764,0.00899212901,-2.39864111,136139.59023201917,0.0489445515,0.0304563157,-0.0150780426,2040
149,91,419634551,59.352942417413338,18.073160050269156,28.786715917289257,2144308.75,11034127,1389.81128,0.266767979,0.00801501516,-2.39462209,136139.64024300288,0.0574820936,0.00893399864,-0.00179424882,2040
162,91,419634551,59.352942371375356,18.073159845253205,28.784870304167271,2144308.75,11034127,1389.81311,0.267257988,0.00738535961,-2.38967204,136139.69024300526,0.0723058283,-0.00387916714,0.0140592121,2040
176,91,419634551,59.35294234095646,18.073159806828382,28.784447366371751,2144308.75,11034127,1389.81348,0.265050381,0.00732616475,-2.38443565,136139.7402747414,0.0827203318,-0.0201069359,0.0352721736,2040
189,91,419634551,59.352942300423784,18.073159769863707,28.781908075325191,2144308.75,11034127,1389.81604,0.262233377,0.00760151073,-2.37804174,136139.79027474378,0.0914666802,-0.0271041356,0.0499948114,2040
203,83,419634551,59.352942257783347,18.073159744201423,28.78051932156086,2144308.75,11034127,1389.81738,0.255303383,0.00857795682,-2.37144375,136139.84022249488,0.0903101563,-0.0382187553,0.0650673658,2040
216,83,419634551,59.35294218642553,18.073159564503975,28.781823786906898,2144308.75,11034127,1389.81616,0.246817768,0.010462625,-2.36365843,136139.89022249726,0.085222438,-0.046883516,0.0713391006,2040
230,91,419634551,59.352942140904162,18.073159552824244,28.779964905232191,2144308.75,11034127,1389.81799,0.237217024,0.0130570941,-2.35619593,136139.94022591328,0.0789629743,-0.0506386459,0.0717255622,2040
243,91,419634551,59.352942093030066,18.073159546687069,28.778921094723046,2144308.75,11034127,1389.81897,0.228547275,0.0167877991,-2.34842372,136139.99022591565,0.0715660676,-0.0540891998,0.0814759955,2040
257,83,419634551,59.352942049177813,18.073159548083726,28.77551501058042,2144308.75,11034127,1389.82239,0.222065225,0.0212656427,-2.34195805,136140.04020638179,0.0647804588,-0.0595399626,0.0895346105,2040
270,91,419634551,59.352941967284934,18.073159476205234,28.773032518103719,2144308.75,11034127,1389.82495,0.21817109,0.0271620341,-2.33649635,136140.09020638416,0.0597444773,-0.0627569109,0.0899244249,2040
284,91,419634551,59.352941924486167,18.073159496237988,28.76977461669594,2144308.75,11034127,1389.82813,0.218935862,0.0334388763,-2.33248639,136140.14023812031,0.0417946763,-0.0691847503,0.107074156,2040
297,91,419634551,59.352941879790606,18.073159551072507,28.764862106181681,2144308.75,11034127,1389.83313,0.22442697,0.0412603803,-2.32938123,136140.19023812268,0.012756668,-0.0728866234,0.137204319,2040
311,91,419634551,59.352941846440849,18.073159616476463,28.758049852214754,2144308.75,11034127,1389.83984,0.232201517,0.0493969508,-2.32671237,136140.24018587379,-0.0274163261,-0.0750273466,0.169328809,2040
324,91,419632631,59.352941699332831,18.073159705528319,28.752917611040175,2144308.75,11034127,1389.84497,0.239500612,0.0591743849,-2.32379532,136140.29018587616,-0.0791238025,-0.0881395563,0.197308138,2040
338,91,419632631,59.352941684172308,18.073159837997984,28.744782140478492,2144308.75,11034127,1389.85315,0.243442863,0.068328321,-2.32086825,136140.34018929218,-0.123634018,-0.0908491015,0.186134189,2040
351,83,419632631,59.352941681270991,18.073160005838702,28.739661396481097,2144308.75,11034127,1389.85828,0.24782671,0.077350311,-2.31784558,136140.39018929456,-0.156664714,-0.0889078826,0.165813684,2040
365,83,419632631,59.352941687268412,18.073160175657552,28.73734653647989,2144308.75,11034127,1389.8606,0.250870347,0.0845450833,-2.31542158,136140.44020027827,-0.177138701,-0.0895024538,0.145138949,2040
378,91,419632631,59.352941570590389,18.073160366491202,28.730135251767933,2144308.75,11034127,1389.8678,0.252634525,0.0907081291,-2.31373549,136140.49020028065,-0.188485399,-0.0982431024,0.113072269,2040
