_ID_,hdwStatus,insStatus,lla[0],lla[1],lla[2],ned[0],ned[1],ned[2],theta[0],theta[1],theta[2],timeOfWeek,uvw[0],uvw[1],uvw[2],week
5,65627,419632503,59.352896709893749,18.073043070727444,25.203638307750225,2144303.5,11034118,1393.39429,0.170472175,0.00580286048,-1.69183767,136247.50814656724,-0.00769986957,-0.000765169039,0.0140690226,2040
25,65627,419632503,59.352896710700257,18.073043071385776,25.203557757660747,2144303.5,11034118,1393.39441,0.167624339,0.00544474274,-1.69206619,136247.55814656962,-0.00905767269,0.00315757701,0.00350694219,2040
39,65627,419632503,59.352896710820005,18.073043071475229,25.20232457946986,2144303.5,11034118,1393.39563,0.166393578,0.00574584352,-1.69253361,136247.60821370591,-0.00436953548,-0.003942993,0.000735142385,2040
53,65627,419632503,59.352896710400081,18.073043071275666,25.202494859695435,2144303.5,11034118,1393.39539,0.166715786,0.00627884781,-1.69325721,136247.65815853103,-0.0050177793,-0.00640598824,-0.00418505538,2040
66,65627,419632503,59.352896710501014,18.073043071507666,25.205461807549,2144303.5,11034118,1393.39246,0.1670762,0.00679746876,-1.6937362,136247.70818929185,-0.00417353492,-0.00510245096,-0.016953785,2040
80,65627,419632503,59.352896710603481,18.073043071260216,25.205519255250692,2144303.5,11034118,1393.39246,0.168705285,0.00769917667,-1.69413733,136247.75818929423,-0.000286246184,-0.00327504869,-0.01085841,2040
93,65619,419632503,59.352896710685691,18.073043071072465,25.206901188008487,2144303.5,11034118,1393.39099,0.168514743,0.00847740564,-1.69413793,136247.80816487779,-0.00268528843,-0.00211829087,-0.0146352658,2040
107,65627,419632503,59.35289671112433,18.073043071037482,25.207836638204753,2144303.5,11034118,1393.39014,0.168368056,0.00936383754,-1.69361889,136247.858130943,0.000124675134,0.00570130814,-0.0133492984,2040
120,65627,419632503,59.352896711204821,18.07304307116976,25.210455344058573,2144303.5,11034118,1393.38745,0.167033732,0.00976431556,-1.69280291,136247.90814046373,-0.000752705615,0.00842520688,-0.00243714219,2040
134,65627,419632503,59.352896711544517,18.073043071120708,25.210062785074115,2144303.5,11034118,1393.38794,0.167053699,0.00973090157,-1.69156706,136247.9581404661,-0.00145599339,0.0072648488,0.00128914567,2040
147,65627,419632503,59.352896711556426,18.073043071393737,25.210018079727888,2144303.5,11034118,1393.38794,0.165873602,0.00906072836,-1.69033742,136248.00817708482,-0.00399898272,0.00947185792,0.0107738618,2040
161,65619,419632503,59.352896711736996,18.073043071504426,25.210170321166515,2144303.5,11034118,1393.38782,0.164574578,0.00809167419,-1.68876719,136248.05817708719,-0.00398926344,0.0104829241,0.014817209,2040
174,65619,419632503,59.352896711754617,18.073043071607923,25.213577409274876,2144303.5,11034118,1393.3844,0.162302583,0.00698183337,-1.68717027,136248.10815267076,-0.000463744625,0.0128824096,0.019953195,2040
188,65619,419632503,59.352896711853148,18.073043071147733,25.214401393197477,2144303.5,11034118,1393.38354,0.160875216,0.005781468,-1.68514681,136248.15815267313,0.0038763117,0.0127117736,0.0205819272,2040
201,65619,419632503,59.352896711881655,18.073043070524459,25.21352237649262,2144303.5,11034118,1393.3844,0.159702241,0.00483230827,-1.68283522,136248.20812825669,0.00830078311,0.0159580931,0.0161492936,2040
215,65619,419632503,59.352896711999392,18.073043070023751,25.214373394846916,2144303.5,11034118,1393.38354,0.159950212,0.00375402719,-1.67965865,136248.25809432191,0.0054452531,0.0218371488,0.0112826787,2040
228,65619,419632503,59.352896711647112,18.073043069723923,25.215693180449307,2144303.5,11034118,1393.3822,0.161300912,0.00266917306,-1.67571092,136248.30810384263,-0.00394859537,0.0401120782,0.00190310273,2040
242,65619,419632503,59.352896711702634,18.07304306948652,25.214777046814561,2144303.5,11034118,1393.38318,0.163077071,0.00165511714,-1.67019069,136248.35810384501,-0.0171482004,0.0642498732,-0.00678482652,2040
255,65619,419632503,59.352896712101142,18.073043069620969,25.213490260764956,2144303.5,11034118,1393.3844,0.164400443,0.000840824214,-1.66412687,136248.4081709813,-0.0240007415,0.0810156167,-0.0126807652,2040
269,65619,419632503,59.35289671278742,18.073043069919446,25.212916031479836,2144303.5,11034118,1393.38501,0.164361656,0.000415119459,-1.65697587,136248.45811580642,-0.0270666778,0.0870108977,-0.0128507838,2040
282,65619,419632503,59.352896712090846,18.073043065320554,25.216136816889048,2144303.5,11034118,1393.38184,0.162667513,0.000340208993,-1.65024161,136248.50814656724,-0.0237986296,0.0868057609,-0.0133512877,2040
296,65619,419632503,59.352896713121744,18.073043065907534,25.214858672581613,2144303.5,11034118,1393.38306,0.160092711,0.000384375249,-1.64287388,136248.55814656962,-0.0167221874,0.081921123,-0.0175716728,2040
309,65619,419632503,59.35289671391341,18.073043066376922,25.213214240968227,2144303.5,11034118,1393.38477,0.158552065,0.000621634885,-1.63605118,136248.60812215318,-0.00816739351,0.0827358812,-0.0209590681,2040
323,65619,419632503,59.352896714916618,18.073043066652229,25.212865510955453,2144303.5,11034118,1393.38513,0.158284485,0.000728388841,-1.62835526,136248.65834309949,6.67795539e-05,0.0858218968,-0.0219780989,2040
336,65619,419632503,59.352896713029736,18.073043060583597,25.215050864964724,2144303.5,11034118,1393.38293,0.159367234,0.000995949027,-1.62091565,136248.70809773912,0.0082404986,0.0989058018,-0.0362970158,2040
350,65619,419632503,59.352896714078923,18.073043060364789,25.215426610782743,2144303.5,11034118,1393.38257,0.159320697,0.00158429425,-1.61173046,136248.75809774149,0.0112709403,0.111270435,-0.0456871316,2040
363,65619,419632503,59.352896715197858,18.073043060034141,25.216358766891062,2144303.5,11034118,1393.38159,0.160877451,0.00242786319,-1.60213542,136248.80816487779,0.0119494349,0.124305829,-0.0566561893,2040
377,65619,419632503,59.352896716327464,18.073043059644871,25.216753289103508,2144303.5,11034118,1393.38123,0.162620813,0.00376771437,-1.59043396,136248.85811678294,0.00940790027,0.143735632,-0.0645187199,2040
390,65627,419632503,59.352896758124139,18.073043045533108,25.21874322462827,2144303.75,11034118,1393.37915,0.163551971,0.00558928726,-1.57864809,136248.90814046373,0.00390806049,0.157983303,-0.0677033886,2040
404,65627,419632503,59.352896847039574,18.073043043384178,25.221919789910316,2144303.75,11034118,1393.37598,0.161722943,0.00858784933,-1.56280041,136248.9581404661,-0.00196836889,0.205434337,-0.0927594751,2040
417,65627,419632503,59.352896949155323,18.0730430524595,25.225198649801314,2144303.75,11034118,1393.3728,0.157807991,0.0118572563,-1.54525435,136249.00817708482,-0.00794270635,0.2441618,-0.101220399,2040
431,65627,419632503,59.35289708072267,18.073043070744852,25.229742219671607,2144303.75,11034118,1393.36816,0.154151097,0.0154615371,-1.52311838,136249.05817708719,-0.00978028774,0.294705719,-0.0990875363,2040
444,65619,419632631,59.352897192910646,18.073043017592529,25.234714639373124,2144303.75,11034118,1393.36328,0.154010415,0.0184079651,-1.50169861,136249.10815267076,-6.75320625e-05,0.330159724,-0.0959708691,2040
458,65627,419632631,59.352897357649887,18.073043040987255,25.237747774459422,2144303.75,11034118,1393.36023,0.153811038,0.021260662,-1.47426021,136249.15815267313,0.0116372406,0.355943292,-0.0842676908,2040
471,65619,419632631,59.352897517906655,18.073043056364487,25.239289601333439,2144303.75,11034118,1393.35864,0.152518079,0.0234845951,-1.44729698,136249.20821980943,0.0363745689,0.369319618,-0.0755903572,2040
485,65619,419632631,59.352897696140069,18.073043057850814,25.240996541455388,2144303.75,11034118,1393.35693,0.148283884,0.0254589934,-1.4169066,136249.25815755452,0.0668770969,0.375706911,-0.0612623841,2040
498,65619,419632631,59.352897831544638,18.073042941335665,25.242975746281445,2144303.75,11034118,1393.35498,0.142402127,0.0266158395,-1.39015257,136249.30819539537,0.100998014,0.37163958,-0.0474373251,2040
512,65627,419632631,59.352898013369611,18.073042901237457,25.242519597522914,2144303.75,11034118,1393.35547,0.13572298,0.0276100393,-1.35852098,136249.35819539774,0.13206473,0.367006063,-0.0404082388,2040
525,65627,419632631,59.352898180182414,18.073042853682889,25.242219622246921,2144303.75,11034118,1393.35571,0.129848912,0.0281917304,-1.32879996,136249.4081709813,0.152734965,0.359308124,-0.0353443921,2040
539,65619,419632631,59.352898361234352,18.073042791688589,25.240693416446447,2144303.75,11034118,1393.3573,0.126288846,0.0290686656,-1.29583836,136249.45814412655,0.176335394,0.35143885,-0.0429677367,2040
552,65627,419632631,59.352898476088967,18.073042581747377,25.242929822765291,2144304,11034118,1393.35498,0.125212267,0.0301489942,-1.26724005,136249.50814656724,0.201207429,0.3462075,-0.0569088161,2040
566,65627,428021239,59.352898663121394,18.073042500598131,25.243922292254865,2144304,11034118,1393.354,0.128242612,0.0319511145,-1.23198056,136249.55814656962,0.221975476,0.34904778,-0.0689458102,2040
580,65627,428021239,59.352898843668051,18.073042423355858,25.245364266447723,2144304,11034118,1393.35254,0.134993225,0.0336195417,-1.19793105,136249.60821370591,0.242771417,0.358307838,-0.0772803724,2040
594,65627,428021239,59.352899052747553,18.073042340504823,25.247713604941964,2144304,11034118,1393.35022,0.140866444,0.0355965979,-1.15914702,136249.658151451,0.271402746,0.389582515,-0.101302952,2040
607,65627,428021239,59.352899190196403,18.073042097065319,25.252197158522904,2144304,11034118,1393.3457,0.150234058,0.0372359119,-1.12398553,136249.70818929185,0.29273653,0.409187853,-0.105222911,2040
621,65619,428021239,59.352899435147179,18.073042035782191,25.254427899606526,2144304,11034118,1393.34351,0.163704559,0.0383500792,-1.07929993,136249.75818929423,0.302783489,0.442786753,-0.100767553,2040
634,65627,428021239,59.352899674077342,18.0730420026796,25.257182572036982,2144304,11034118,1393.3407,0.172690377,0.0381773636,-1.03575099,136249.80816487779,0.311843157,0.468517303,-0.0971956551,2040
648,65627,428021239,59.352899946514469,18.0730419997941,25.258309759199619,2144304,11034118,1393.3396,0.177613258,0.036669571,-0.986788034,136249.85813802303,0.313799053,0.493310094,-0.0936030447,2040
661,65627,428021239,59.352900112873293,18.073041767030304,25.261319294571877,2144304,11034118,1393.33667,0.175580248,0.0345858932,-0.945008874,136249.90823201646,0.318065405,0.502333581,-0.100322902,2040
675,65627,428021239,59.352900402033306,18.073041833336568,25.263106067664921,2144304.25,11034118,1393.33484,0.176686406,0.033410266,-0.893507004,136249.95823201883,0.319827437,0.552614629,-0.14060533,2040
688,65627,428021239,59.352900684970152,18.073041958443575,25.264332660473883,2144304.25,11034118,1393.33362,0.19235307,0.0329960547,-0.843549371,136250.00817708482,0.300511062,0.611104548,-0.12837404,2040
702,65627,428021239,59.352901004110812,18.073042189804013,25.265503791160882,2144304.25,11034118,1393.3324,0.202984318,0.0329689197,-0.785603285,136250.05811482991,0.277391315,0.713324368,-0.197984964,2040
715,65627,428021239,59.352901219714781,18.073042085727771,25.272505067288876,2144304.25,11034118,1393.32544,0.204368427,0.0345842093,-0.733385801,136250.10815267076,0.269734263,0.813078165,-0.265892118,2040
729,65627,428021239,59.352901578590881,18.073042561606293,25.281152146868408,2144304.25,11034118,1393.31677,0.202186152,0.0377095044,-0.663935423,136250.15815267313,0.248365521,0.89851439,-0.292862177,2040
742,65627,428021239,59.352901908146279,18.073043111264948,25.286151358857751,2144304.25,11034118,1393.31177,0.205563098,0.0415344983,-0.595445514,136250.20812825669,0.228550255,0.970429182,-0.31146279,2040
756,65627,428021239,59.352902251903643,18.073043828197171,25.293242755346,2144304.25,11034118,1393.30469,0.209185511,0.0467138924,-0.517260194,136250.258115562,0.205233991,1.04751992,-0.340465695,2040
769,65627,428021239,59.352902536443338,18.073043985886621,25.30185420345515,2144304.25,11034118,1393.29614,0.212227464,0.0511783399,-0.452391744,136250.30819539537,0.191677213,1.0858531,-0.337652445,2040
783,65619,428021239,59.352902829517603,18.073044896649826,25.307770039886236,2144304.25,11034118,1393.29016,0.218819872,0.0564029105,-0.368905962,136250.35819539774,0.176020145,1.15284336,-0.334497541,2040
796,65627,428021239,59.352903067815546,18.07304583164256,25.310842785052955,2144304.25,11034118,1393.28711,0.22468859,0.060266424,-0.289582282,136250.4081709813,0.162982106,1.21530843,-0.337221742,2040
810,65627,428021239,59.352903283944187,18.073046956016963,25.312572582624853,2144304.25,11034118,1393.2854,0.227105185,0.0631646961,-0.200969681,136250.45817098368,0.144726336,1.30930007,-0.352255225,2040
823,65627,428021239,59.352903500475861,18.073047546510537,25.314054196700454,2144304.25,11034118,1393.28394,0.226600841,0.0632387102,-0.124636404,136250.50814656724,0.137735784,1.39459121,-0.330634028,2040
837,65627,428021239,59.352903615790765,18.073048888349582,25.313547276891768,2144304.5,11034118,1393.28442,0.226936609,0.0603837669,-0.0299429763,136250.55814656962,0.127970576,1.49954009,-0.278441995,2040
850,65627,428021239,59.352903667836067,18.073050190774516,25.309511870145798,2144304.5,11034118,1393.28845,0.225665838,0.0540117323,0.0583549216,136250.60812215318,0.153677702,1.55174589,-0.208267003,2040
864,65627,428021239,59.352903676751744,18.073051636624733,25.300977653823793,2144304.5,11034118,1393.297,0.222399786,0.0439524241,0.153622106,136250.658151451,0.205070376,1.57970905,-0.16624254,2040
877,65627,428021239,59.35290388619994,18.073052225632786,25.29339197371155,2144304.5,11034118,1393.30457,0.211882949,0.0324741416,0.227765366,136250.70818929185,0.270450592,1.5702709,-0.1259038,2040
891,65627,428021239,59.352903824243128,18.073053673741082,25.283329997211695,2144304.5,11034118,1393.31458,0.204805523,0.0202888399,0.320258081,136250.75818929423,0.324390382,1.56716049,-0.117817566,2040
904,65627,428021239,59.352903731795429,18.073054999774168,25.274311390705407,2144304.5,11034118,1393.32361,0.200724334,0.00999542978,0.404375553,136250.80816487779,0.383069009,1.5373863,-0.133067116,2040
918,65627,428021239,59.352903599847103,18.073056414406032,25.266013565473258,2144304.5,11034118,1393.33191,0.198183432,0.00149718439,0.49399513,136250.85810970291,0.450395644,1.49590147,-0.179251403,2040
931,65627,428021239,59.352904079022949,18.073056696181776,25.265444979071617,2144304.5,11034118,1393.33252,0.191884652,-0.00411658501,0.555041671,136250.90814046373,0.533789456,1.41365981,-0.229832783,2040
945,65627,428021239,59.352903926002341,18.073058051503828,25.264883483760059,2144304.5,11034118,1393.33301,0.188956141,-0.00507630315,0.642216802,136250.9581404661,0.594606519,1.35776913,-0.269550323,2040
958,65627,428021239,59.352903764683916,18.073059269483483,25.267270819284022,2144304.5,11034118,1393.33069,0.188901648,-0.00311530917,0.721460819,136251.00817708482,0.645048678,1.30088663,-0.291868448,2040
972,65627,428021239,59.352903563940274,18.073060561413808,25.270763842388988,2144304.5,11034118,1393.32715,0.18784149,0.000581755303,0.806302249,136251.05820638264,0.689603686,1.27493763,-0.310142517,2040
985,65627,428021239,59.352904253376146,18.073060900368368,25.275416581891477,2144304.5,11034118,1393.32251,0.184367195,0.00304220733,0.862139344,136251.10824422349,0.742939889,1.19711113,-0.279736698,2040
999,65627,428021239,59.352904023219061,18.073062115633459,25.278828794136643,2144304.5,11034118,1393.31909,0.184580773,0.00615859404,0.945803642,136251.15824422587,0.735660195,1.16466379,-0.250090808,2040
1012,65627,428021239,59.352903780147571,18.073063176661783,25.279714775271714,2144304.5,11034118,1393.31824,0.184701025,0.00734250154,1.02225375,136251.20821980943,0.739048064,1.11937118,-0.225588769,2040
1026,65627,428021239,59.352903500829875,18.073064262532316,25.28094517160207,2144304.25,11034118,1393.31702,0.187650278,0.00756943831,1.10342097,136251.25816463455,0.754422963,1.03710485,-0.204061985,2040
1039,65627,428021239,59.352904332161934,18.073064556201679,25.283658913336694,2144304.5,11034118,1393.31433,0.185504898,0.00654833158,1.15747237,136251.30819539537,0.777698755,0.91082561,-0.19149965,2040
1053,65627,428021239,59.352904069040015,18.073065514691486,25.286293661221862,2144304.5,11034118,1393.31165,0.179617569,0.0065274951,1.23491132,136251.35819539774,0.761725068,0.868552208,-0.205101207,2040
1066,65627,428021239,59.352903810862458,18.073066334675161,25.286285938695073,2144304.5,11034118,1393.31165,0.181627646,0.00674725277,1.30498433,136251.4081709813,0.733124137,0.807792664,-0.161025912,2040
1080,65627,428021239,59.352903519679622,18.073067141238813,25.285158702172339,2144304.25,11034120,1393.31274,0.183418885,0.0067805117,1.37972426,136251.45820027913,0.69526124,0.790020227,-0.160029292,2040
1093,65627,428021239,59.35290399689778,18.073067748571326,25.287058051675558,2144304.5,11034120,1393.31091,0.18287313,0.00568132661,1.43819571,136251.50823811998,0.673215151,0.758277655,-0.139158756,2040
1107,65627,428021239,59.352903668222723,18.073068406901147,25.286577560007572,2144304.5,11034120,1393.3114,0.18004638,0.00400322676,1.51463878,136251.55823812235,0.631845057,0.760294914,-0.111234188,2040
1121,65619,428021239,59.352903345529938,18.073068939311131,25.285667028278112,2144304.25,11034120,1393.31226,0.176906452,0.00162694219,1.58635533,136251.60821370591,0.602442026,0.752178252,-0.091853112,2040
1135,65627,428021239,59.352902981052416,18.073069433817832,25.283341842703521,2144304.25,11034120,1393.31458,0.174629509,-0.00162844383,1.66563106,136251.65815853103,0.565665722,0.747654617,-0.0664325655,2040
1148,65627,428021239,59.352903295616933,18.073070118762434,25.281541154719889,2144304.25,11034120,1393.31641,0.169099048,-0.00546559179,1.73222995,136251.70818929185,0.553184628,0.725544989,-0.0611445606,2040
1162,65627,428021239,59.352902911292283,18.073070457143331,25.280100597068667,2144304.25,11034120,1393.31787,0.167686164,-0.00837043766,1.81706178,136251.75818929423,0.511237264,0.733871341,-0.0586688817,2040
1175,65627,428021239,59.352902546124199,18.073070674731898,25.278034788556397,2144304.25,11034120,1393.31995,0.166717246,-0.0101143206,1.89805114,136251.80816487779,0.467881083,0.74792099,-0.0824827552,2040
1189,65627,428021239,59.352902141180202,18.073070796267281,25.277873760089278,2144304.25,11034120,1393.32007,0.165106863,-0.0103473002,1.98872256,136251.85820833567,0.416855156,0.75911206,-0.127714157,2040
1202,65627,428021239,59.352902180608574,18.073071672049632,25.279367450624704,2144304.25,11034120,1393.3186,0.157160088,-0.00933789555,2.06520748,136251.90823201646,0.403644949,0.743865728,-0.182277501,2040
1216,65627,428021239,59.352901786600754,18.073071616727109,25.282633822411299,2144304.25,11034120,1393.31531,0.151359081,-0.005387126,2.15865898,136251.95823201883,0.358448923,0.714490294,-0.234470561,2040
1229,65627,428021239,59.352901447965536,18.07307148698272,25.289308913983405,2144304.25,11034120,1393.30859,0.150386438,-0.000169507417,2.24438286,136252.00817708482,0.313468963,0.683304727,-0.255206585,2040
1243,65627,428021239,59.352901115725999,18.073071253429848,25.297224713489413,2144304.25,11034120,1393.30066,0.156906843,0.0040203752,2.33543777,136252.05813607,0.250383228,0.668768108,-0.234663725,2040
1256,65627,428021239,59.352900861420849,18.073071836451749,25.301521793939173,2144304.25,11034120,1393.29639,0.166754514,0.00484694121,2.41001272,136252.10815267076,0.26099664,0.631964087,-0.193331122,2040
1270,65627,428021239,59.352900579852076,18.073071527845414,25.302241436205804,2144304.25,11034120,1393.29565,0.182502612,0.00400891341,2.49661946,136252.15815267313,0.237561673,0.624895275,-0.124379247,2040
1283,65627,428021239,59.352900337788114,18.073071197545932,25.300080001354218,2144304.25,11034120,1393.29785,0.18646583,0.000323515793,2.57510233,136252.20821980943,0.235942721,0.645560265,-0.0988260061,2040
1297,65627,428021239,59.35290008170778,18.073070784654025,25.293901889584959,2144304,11034120,1393.30408,0.18182832,-0.00435939291,2.66001129,136252.25815755452,0.241354704,0.671477735,-0.0970951617,2040
1310,65627,428021239,59.352899619605751,18.073071214596947,25.288724056445062,2144304,11034120,1393.3092,0.17610535,-0.00947624631,2.73002887,136252.30819539537,0.276296079,0.638480961,-0.075304389,2040
1324,65627,428021239,59.352899390427361,18.073070758208413,25.285984369926155,2144304,11034120,1393.31201,0.172182232,-0.0114062009,2.81445527,136252.35819539774,0.275939047,0.640729189,-0.111886978,2040
1337,65627,428021239,59.352899196544946,18.073070303480232,25.286657703109086,2144304,11034120,1393.31128,0.168649167,-0.009501094,2.89294052,136252.4081709813,0.276665032,0.614343405,-0.14571777,2040
1351,65627,428021239,59.352899018680681,18.073069809941323,25.292261958122253,2144304,11034120,1393.30566,0.167121872,-0.00387137756,2.97659492,136252.45812996649,0.255060852,0.559360266,-0.162329078,2040
1364,65627,428021239,59.352898500476428,18.073070260204858,25.296862493269145,2144304,11034120,1393.30103,0.16531159,0.00167641917,3.04467082,136252.50814656724,0.263641536,0.480592459,-0.165912747,2040
