_ID_,sAcc,timeOfWeekMs,velEcef[0],velEcef[1],velEcef[2]
30,1.05999994,316328200,0.25999999,-0.48999998,0.170000002
128,2.8499999,316328400,-0.0599999987,-0.469999999,-0.099999994
223,1.69999993,316328600,0,-0.129999995,0.340000004
337,0.879999995,316328800,-0.00999999978,-0.25,0.280000001
455,1.70999992,316329000,0.349999994,-0.48999998,-0.119999997
575,2.41999984,316329200,0.170000002,-0.539999962,-0.209999993
689,3.22000003,316329400,-0.099999994,-0.699999988,-0.449999988
800,1.32999992,316329600,0.0399999991,-0.0799999982,0.109999999
916,3.21000004,316329800,0,0.0399999991,0.0700000003
1033,2.57999992,316330000,0.0799999982,-0.0199999996,0.109999999
1146,2.81999993,316330200,-0.00999999978,0.0599999987,0.239999995
1263,1.10000002,316330400,-0.209999993,-0.0599999987,0.159999996
1373,3.06999993,316330600,-0.0799999982,-0.689999998,-0.319999993
1489,3.22000003,316330800,0.109999999,0.129999995,0.409999996
1608,3.31999993,316331000,0.149999991,0.299999982,0.629999995
1729,2.21000004,316331200,0.269999981,-0.129999995,0.329999983
1843,2.26999998,316331400,-0.099999994,0.0599999987,0.229999989
1963,2.96000004,316331600,-0.0899999961,0.239999995,0.419999987
2076,2.95000005,316331800,0.349999994,0.049999997,0.25999999
2187,3.36999989,316332000,0.25,0.140000001,0.219999999
2300,3.65999985,316332200,0.119999997,0.199999988,0.209999993
2418,3.17999983,316332400,-0.0799999982,0.409999996,0.449999988
2531,3.28999996,316332600,0.159999996,0.0700000003,0.280000001
2647,2.92999983,316332800,0.129999995,-0.539999962,-0.379999995
2761,0.979999959,316333000,0.0399999991,-0.0799999982,0.0399999991
2878,1.66999996,316333200,0.0799999982,-0.119999997,-0.00999999978
2988,2.92999983,316333400,-0.0599999987,0.099999994,0.159999996
3104,2.21000004,316333600,-0.159999996,0.119999997,0.219999999
3218,1.57999992,316333800,0.129999995,-0.119999997,-0.0399999991
3337,2.18000007,316334000,0.0899999961,-0.170000002,-0.049999997
3454,1.75,316334200,0.25999999,-0.159999996,-0.189999998
3571,3.01999998,316334400,0.109999999,0.129999995,0.0199999996
3684,1.90999997,316334600,0.149999991,-0.129999995,-0.109999999
3801,2.23000002,316334800,-0.129999995,0,-0.0299999993
3919,2.53999996,316335000,-0.310000002,0.439999998,0.419999987
4030,3.00999999,316335200,-0.129999995,0.310000002,0.439999998
4146,0.939999998,316335400,0.0399999991,-0.0899999961,0.049999997
4264,1.48000002,316335600,0.25,-0.149999991,-0.109999999
4376,2.8599999,316335800,0.0899999961,0.179999992,0.00999999978
4490,3.46000004,316336000,0.170000002,0.25999999,0.129999995
4601,3.48000002,316336200,-0.219999999,-0.129999995,-0.239999995
4711,3.57999992,316336400,-0.0899999961,-0.349999994,-0.370000005
4823,1.71999991,316336600,0.0899999961,0.00999999978,-0.159999996
4944,2.07999992,316336800,-0.119999997,0.289999992,0.049999997
5057,3.37999988,316337000,-0.379999995,-0.189999998,-0.409999996
5171,1.75,316337200,-0.099999994,0.170000002,0.0199999996
5283,2.52999997,316337400,0.0599999987,-0.0700000003,-0.109999999
5401,3.38999987,316337600,0.140000001,0.0799999982,0.119999997
5516,1.69999993,316337800,-0.129999995,0.049999997,0.129999995
5634,3.06999993,316338000,-0.0599999987,0.229999989,0.319999993
5753,1.77999997,316338200,-0.299999982,0.0199999996,-0.00999999978
