_ID_,dt,status,theta1[0],theta1[1],theta1[2],theta2[0],theta2[1],theta2[2],time,vel1[0],vel1[1],vel1[2],vel2[0],vel2[1],vel2[2]
40,0.00400000019,0,2.11001816e-06,-1.15343018e-05,1.51167242e-05,8.40956091e-06,-2.49501536e-05,1.02785189e-05,526.93584570521489,-0.0182711426,0.00493486179,-0.0337716453,-0.0185669363,0.00468063308,-0.0340263247
41,0.00400000019,0,-2.04627722e-05,-1.72179807e-05,2.04236367e-05,-7.10875656e-06,-4.43932804e-05,6.18924387e-05,526.93984570540488,-0.0182892494,0.00494147651,-0.0339483507,-0.0185066704,0.00462760963,-0.0342251956
43,0.00400000019,0,-1.71613119e-05,-2.25952863e-05,5.72836652e-05,-7.8815483e-06,-4.93953994e-05,1.22403362e-05,526.94384570559487,-0.0184234492,0.00496645691,-0.0338445306,-0.0185726453,0.0045629018,-0.0343365185
46,0.00400000019,0,-2.87447074e-05,-5.17480294e-05,-7.4432154e-07,-6.69642168e-06,-6.28872149e-05,1.77863913e-05,526.94784570578486,-0.0183283221,0.00501474505,-0.0338018127,-0.0186388455,0.00454754755,-0.034079805
47,0.00400000019,0,-4.19454227e-05,-4.31875269e-05,4.47368693e-05,-5.18218758e-06,-7.79995535e-05,4.72154061e-05,526.95184570597485,-0.0182171445,0.0049147727,-0.0338074416,-0.0185031705,0.00460487418,-0.0340726301
51,0.00400000019,0,-1.20387685e-05,-3.54343501e-05,3.48583453e-05,-1.05995214e-05,-5.42914095e-05,6.89075068e-06,526.95584570616484,-0.0183755085,0.00494340248,-0.0336938575,-0.0186481085,0.00462178187,-0.0338219963
52,0.00400000019,0,-1.03417378e-05,-3.1393778e-05,-1.41211115e-06,-1.25064498e-05,-4.19168646e-05,5.92260913e-05,526.95984570635483,-0.018419059,0.00495867245,-0.033745259,-0.0187707655,0.00456280122,-0.0339062475
54,0.00400000019,0,-7.70837414e-06,-6.56586371e-06,5.49907636e-05,-5.4458576e-07,-3.64344232e-05,4.38409079e-05,526.96384570654482,-0.0185653195,0.00493612792,-0.033648394,-0.0187040176,0.00463841856,-0.0338890739
56,0.00400000019,0,1.61512144e-05,5.26655504e-06,1.70970634e-05,1.0751236e-05,-7.35533513e-06,2.16262324e-05,526.96784570673481,-0.0185310021,0.00500054238,-0.0336930528,-0.0186582394,0.00453950884,-0.0339974277
58,0.00400000019,0,-7.67518668e-06,1.17907821e-05,1.95561497e-05,9.10860035e-06,-2.11764145e-05,6.08512164e-05,526.9718457069248,-0.0184261128,0.00492807943,-0.0336183086,-0.0186687578,0.00456923898,-0.0340250842
61,0.00400000019,0,-1.73456147e-06,1.56628666e-05,6.96416901e-05,1.14683471e-05,-1.95000503e-05,2.88636329e-05,526.97584570711479,-0.018430518,0.00486540515,-0.0337500684,-0.0186310466,0.0045101014,-0.0340816267
63,0.00400000019,0,3.68994506e-06,9.81290123e-06,1.40158011e-06,1.30196195e-05,-2.49318032e-06,3.44486762e-05,526.97984570730478,-0.0183910392,0.00494757947,-0.0335987285,-0.018719051,0.00455104606,-0.0340375789
64,0.00400000019,0,-4.04281582e-06,1.21026969e-05,5.41368718e-05,1.34173697e-05,-2.7563623e-05,5.30919424e-05,526.98384570749477,-0.0184565205,0.00484076794,-0.0339117534,-0.0187051836,0.0045943181,-0.0340566412
67,0.00400000019,0,3.49365973e-06,-8.48357377e-06,3.90848254e-05,2.57622196e-05,-9.37790537e-06,2.21927567e-05,526.98784570768476,-0.0183734801,0.0049783811,-0.0338112488,-0.0186786912,0.00452631852,-0.0342353359
69,0.00397558138,0,-2.2010704e-06,-2.63046022e-05,-1.96579663e-06,5.36997777e-06,-2.68144267e-05,4.98831942e-05,526.9918212890625,-0.0183173437,0.00483502634,-0.0337374061,-0.0185511168,0.00455232011,-0.0340506732
72,0.00400000019,0,-1.87104597e-05,-8.88031309e-07,7.08229345e-05,1.07936899e-06,-3.91907997e-05,4.09953209e-05,526.99582128925249,-0.0183999091,0.00488590123,-0.0338776521,-0.0187126379,0.00460262038,-0.0341096073
74,0.00400000019,0,-5.89134879e-06,-2.59570679e-05,2.09863556e-05,7.80645496e-06,-3.26918998e-05,1.56466394e-05,526.99982128944248,-0.018411478,0.00494562276,-0.0337636434,-0.018611962,0.0045713787,-0.0341988876
75,0.00400000019,0,-2.79168489e-05,-3.28148853e-05,8.52346784e-06,-1.1764093e-05,-5.77675964e-05,5.88702133e-05,527.00382128963247,-0.0183495004,0.004807733,-0.0338731557,-0.0187366791,0.00464157062,-0.0339497402
79,0.00400000019,0,-2.57214087e-05,-3.4542707e-05,6.20699211e-05,-3.27513158e-06,-5.70363773e-05,2.37689346e-05,527.00782128982246,-0.0183814224,0.00489400467,-0.0339141339,-0.0187272392,0.0044940277,-0.0339572169
80,0.00400000019,0,-7.87973659e-06,-3.55564189e-05,-1.4465877e-06,5.24229335e-06,-4.1838859e-05,2.82292003e-05,527.01182129001245,-0.0183407404,0.00489807874,-0.0337741226,-0.0186627395,0.00454841647,-0.0339315571
83,0.00400000019,0,-3.03886245e-05,-3.10675896e-05,3.39491453e-05,-1.18126063e-05,-5.41871959e-05,5.57340391e-05,527.01582129020244,-0.0183005612,0.00483104447,-0.0334858708,-0.0187172089,0.00458976533,-0.0339035429
84,0.00400000019,0,-1.690514e-05,-1.41703258e-05,5.15106185e-05,3.27547627e-06,-2.6223539e-05,8.45512477e-06,527.01982129039243,-0.0183293018,0.00483025657,-0.03355968,-0.0186398029,0.00466084899,-0.0338458829
86,0.00400000019,0,-5.28242435e-06,-1.10027013e-05,4.25592225e-06,1.4300349e-05,-1.76238264e-05,5.28791606e-05,527.02382129058242,-0.0185587555,0.00483985245,-0.0334414765,-0.0187105536,0.00456020515,-0.0338526666
89,0.00400000019,0,-6.98335725e-06,1.8178438e-05,6.57276687e-05,1.57745089e-05,-1.15996208e-05,5.15375432e-05,527.02782129077241,-0.0183902029,0.00496249786,-0.0336639509,-0.0186785106,0.00462169154,-0.0339917578
91,0.00400000019,0,9.77158743e-06,1.02148788e-05,3.83891056e-05,1.97107765e-05,-2.52642303e-06,8.15704152e-06,527.0318212909624,-0.0182755329,0.00493034581,-0.0337552689,-0.0186900701,0.00467381952,-0.0340498276
95,0.00400000019,0,1.83890506e-06,3.36072208e-06,1.59489246e-05,1.21795711e-05,-1.54981826e-05,5.83989495e-05,527.03582129115239,-0.018416008,0.00491463346,-0.0339621529,-0.0186299197,0.00451169396,-0.0341807641
97,0.00400000019,0,-1.44117976e-05,1.69093873e-05,6.72969545e-05,1.22459123e-05,-1.91763957e-05,3.72981485e-05,527.03982129134238,-0.0184670743,0.00485265395,-0.0338669382,-0.0185981784,0.00449363701,-0.0341452397
98,0.00400000019,0,-4.83761255e-07,-1.6265376e-05,3.15337411e-06,-1.31595101e-07,-2.94617294e-05,2.70018263e-05,527.04382129153237,-0.0183268022,0.00491277128,-0.0337396376,-0.0185595471,0.00453464314,-0.0340884365
101,0.00400000019,0,-2.43117847e-05,-2.21651771e-05,2.65061135e-05,-2.3176126e-06,-5.84973204e-05,5.29383979e-05,527.04782129172236,-0.0183605775,0.00490349252,-0.0337961763,-0.0186044443,0.00452854624,-0.0338997729
102,0.00400000019,0,-1.32781634e-05,-2.27283217e-05,6.20989667e-05,-5.36611378e-06,-4.10844623e-05,1.15718958e-05,527.05182129191235,-0.0182628501,0.00479816506,-0.0338046774,-0.0186462235,0.00459137885,-0.0339692533
108,0.00400000019,0,-8.78320498e-06,-3.15383404e-05,-1.16920837e-05,-4.6995201e-06,-4.19623648e-05,3.43275351e-05,527.05582129210234,-0.0182987526,0.00489261886,-0.03370931,-0.0187537987,0.00464207586,-0.0340270512
109,0.00400000019,0,-3.00209031e-05,-2.90963799e-05,5.10184909e-05,-7.02721763e-06,-4.90766033e-05,4.82767064e-05,527.05982129229233,-0.0182892326,0.00494759902,-0.0337023959,-0.0188227165,0.00456402777,-0.0340639763
110,0.00400000019,0,-1.3503447e-05,-2.76256014e-05,3.46055313e-05,1.87477372e-06,-4.29564279e-05,7.35229969e-06,527.06382129248232,-0.0183855649,0.00493707834,-0.0336525589,-0.0186313409,0.00448653428,-0.0341289379
114,0.00400000019,0,-1.40211259e-05,-2.08707643e-05,7.32808701e-07,-7.39127756e-07,-3.31540759e-05,5.22388655e-05,527.06782129267231,-0.018401606,0.00490633026,-0.033678513,-0.018602442,0.00451795105,-0.0339111276
115,0.00400000019,0,-2.21798891e-05,-2.59913531e-06,5.94334306e-05,8.61923581e-06,-3.49161965e-05,3.59080295e-05,527.0718212928623,-0.0183571819,0.00488144858,-0.0335021839,-0.0186441969,0.00457262201,-0.0339181423
119,0.00400000019,0,1.66546988e-06,-5.05767139e-06,6.27949134e-07,4.62211938e-06,-2.85596798e-05,2.88273441e-05,527.07582129305229,-0.0183844287,0.00482534058,-0.0337303653,-0.0185572878,0.0046147462,-0.0339530222
120,0.00400000019,0,-1.53913788e-05,-9.5806854e-08,3.05528774e-05,1.59484534e-05,-3.14903009e-05,6.19546336e-05,527.07982129324228,-0.0183724873,0.00491451286,-0.0337356068,-0.0186516959,0.00463186018,-0.0340481438
122,0.00400000019,0,-3.19764104e-06,1.24887047e-05,6.17376136e-05,-1.32902915e-06,-1.27024368e-05,2.31282702e-05,527.08382129343227,-0.0183213186,0.00484497193,-0.0337196253,-0.0186416898,0.00458428822,-0.0342025533
125,0.00400000019,0,1.60602133e-06,-6.63201308e-06,-6.53800407e-06,1.23702212e-05,-1.56589176e-05,2.99459571e-05,527.08782129362226,-0.0183373783,0.00502474699,-0.0337287188,-0.0186948739,0.0046626064,-0.0339921415
130,0.00397558138,0,-2.5514435e-05,1.23516947e-05,6.24016757e-05,6.37081985e-06,-2.05108881e-05,5.23603921e-05,527.091796875,-0.0183685999,0.00493438775,-0.0336061157,-0.0185991731,0.0046794056,-0.0338375457
133,0.00400000019,0,6.26573774e-06,1.12108701e-05,3.60861886e-05,2.19195827e-05,-1.41288638e-05,8.19988827e-07,527.09579687518999,-0.0184338894,0.0049374192,-0.0337841734,-0.0187543202,0.00452484004,-0.0341005102
135,0.00400000019,0,5.88411694e-06,-2.45546726e-05,1.42251554e-06,-2.84654243e-06,-3.8256534e-05,5.57563326e-05,527.09979687537998,-0.018406501,0.0050754156,-0.0336993001,-0.0187907275,0.00464865332,-0.0340844318
136,0.00400000019,0,-1.41791134e-05,-5.87500062e-06,7.11657849e-05,-6.66071992e-06,-3.51008275e-05,2.60217366e-05,527.10379687556997,-0.0183559246,0.00491406815,-0.0338820554,-0.0187721197,0.00466847932,-0.0341514014
139,0.00400000019,0,8.45182876e-06,-1.89934308e-05,-3.77452977e-07,-1.33576452e-06,-3.3257762e-05,1.98312773e-05,527.10779687575996,-0.0183726382,0.00490679918,-0.0339057408,-0.0187407974,0.00463373307,-0.0341700464
140,0.00400000019,0,-2.08961646e-05,-2.7473865e-05,2.28356766e-05,-8.57001578e-06,-5.95912279e-05,5.1963103e-05,527.11179687594995,-0.0183800105,0.00496258494,-0.0338231102,-0.0187219381,0.00455801236,-0.034122508
143,0.00400000019,0,-2.0951089e-05,-2.76624614e-05,5.8173111e-05,1.00429716e-05,-4.05913343e-05,1.54224144e-05,527.11579687613994,-0.0183944497,0.00500157941,-0.033803653,-0.0186323766,0.00454397826,-0.0341262482
145,0.00400000019,0,-2.40396839e-05,-3.88658118e-05,1.09606544e-05,2.90209027e-06,-4.95707864e-05,2.60621837e-05,527.11979687632993,-0.0183865298,0.00488314452,-0.0335614383,-0.0186636113,0.00469832402,-0.0340350382
146,0.00400000019,0,-2.17066518e-05,-9.4488887e-06,5.15446518e-05,3.75286095e-06,-4.78750517e-05,5.24206589e-05,527.12379687651992,-0.0183435045,0.00492811296,-0.033583954,-0.0187791549,0.00465752464,-0.0338730924
148,0.00400000019,0,-6.25548296e-07,-5.44689783e-06,3.31313968e-05,1.11939389e-05,-2.65266099e-05,1.7248256e-05,527.12779687670991,-0.0183075499,0.0049121161,-0.0335905626,-0.0187469162,0.00465887133,-0.0339677297
149,0.00400000019,0,3.85571229e-06,-1.46434659e-05,2.2818283e-06,1.71026761e-06,-2.2485483e-05,5.00502101e-05,527.1317968768999,-0.0184558891,0.0049089035,-0.0336846039,-0.0186205246,0.00458163116,-0.0339629799
153,0.00400000019,0,-1.4287777e-05,1.24303906e-05,6.02526052e-05,2.35203133e-05,-2.28366316e-05,4.97195178e-05,527.13579687708989,-0.0183411315,0.00487880828,-0.0338320248,-0.0186708029,0.00462303823,-0.0341773629
154,0.00400000019,0,1.2042281e-05,1.14019322e-05,2.66003008e-05,1.50435062e-05,2.05833521e-06,2.11137249e-05,527.13979687727988,-0.018254688,0.00478010951,-0.0336830802,-0.0186117273,0.00459199212,-0.0339732431
156,0.00400000019,0,-1.29100008e-05,5.05324488e-06,1.2692517e-05,1.65091569e-05,-1.99515143e-05,5.33417915e-05,527.14379687746987,-0.0183284841,0.00473829918,-0.0338509493,-0.0185796749,0.00446002139,-0.0342236161
159,0.00400000019,0,-3.15076686e-05,-1.92035495e-05,4.60414667e-05,-9.25296177e-08,-5.02154617e-05,6.10255265e-05,527.15579687803984,-0.0184086636,0.00492442865,-0.0336645283,-0.018753048,0.00464433106,-0.0341879167
161,0.00400000019,0,-1.49244543e-05,-2.39244637e-05,4.9257098e-05,6.0909174e-06,-4.62171993e-05,9.91598154e-06,527.15979687822983,-0.0183195025,0.00485303439,-0.0339119434,-0.0186339989,0.00452663982,-0.0340112299
162,0.00400000019,0,-1.49639382e-05,-5.12062325e-05,-1.15799739e-05,-5.52313486e-06,-5.31139958e-05,4.4911314e-05,527.16379687841982,-0.0184114538,0.00492019393,-0.0337793194,-0.0185912605,0.00464153383,-0.0340180211
165,0.00400000019,0,-2.47099124e-05,-2.44425755e-05,6.38358251e-05,-1.02866334e-05,-5.17442677e-05,5.63009489e-05,527.16779687860981,-0.0184030384,0.00496937707,-0.0336685702,-0.0186710823,0.00453013275,-0.0339919254
