_ID_,hdwStatus,insStatus,lla[0],lla[1],lla[2],qn2b[0],qn2b[1],qn2b[2],qn2b[3],timeOfWeek,uvw[0],uvw[1],uvw[2],week
49,91,432215415,59.349970058758785,18.067271009899073,88.106527455151081,-0.121170059,0.0152031621,0.0825340822,-0.989077866,399209.97590828897,0.0745232701,0.111258402,0.000637788326,2039
113,83,432215415,59.349969772353226,18.067270359634037,88.117024748586118,-0.121102691,0.0168405697,0.0816311389,-0.989134371,399210.0758331992,0.0751310512,0.107938573,0.00507704914,2039
166,82,432215415,59.349969629365489,18.067269690575518,88.12426361721009,-0.122676626,0.0174199753,0.0816914886,-0.988925457,399210.1758290499,0.0737028494,0.115408741,0.0279626772,2039
229,90,432215415,59.349969549261772,18.067269471348109,88.120166108012199,-0.125604495,0.0175518077,0.0820830241,-0.988523066,399210.27581269119,0.0766849965,0.11541038,0.0413619578,2039
285,82,432215415,59.349969586606079,18.06726893201926,88.119186147116125,-0.128885478,0.0171456933,0.0823419243,-0.988086224,399210.37587177451,0.0656016394,0.11221087,0.0454868525,2039
347,82,432215415,59.349969312361402,18.06726866592037,88.121702008880675,-0.132836431,0.016236918,0.0831782445,-0.987508178,399210.47582709568,0.0745580345,0.104184777,0.045258835,2039
400,82,432215415,59.349969218438574,18.067268539313766,88.121479537338018,-0.138128981,0.0155401882,0.0839212462,-0.986730039,399210.57582294638,0.0844834298,0.0834913552,0.0368148908,2039
457,83,432215415,59.349968895023046,18.067268486601247,88.121787385083735,-0.145565748,0.0152925719,0.0832160041,-0.985724092,399210.67589008505,0.0918908417,0.0582844503,0.0155198872,2039
512,83,432215415,59.34996880602101,18.067268458712444,88.127121192403138,-0.154975429,0.0156053584,0.0828680173,-0.984313011,399210.77586567099,0.090834178,0.030368574,0.0071763806,2039
575,83,432215415,59.349968509689177,18.067268480517214,88.130088064819574,-0.165451601,0.0166381374,0.0837549269,-0.982514262,399210.87582099217,0.0986470655,0.0259857867,-0.00625174865,2039
628,82,432215415,59.349968412392244,18.067268502653537,88.136013369075954,-0.17612654,0.0185649581,0.0853620619,-0.980483711,399210.97581684287,0.116238721,0.0278830063,-0.0278364904,2039
688,91,432215415,59.349968093682406,18.067268609243083,88.142989694140851,-0.187358975,0.0214548707,0.0871873647,-0.978179336,399211.0759450167,0.125009865,0.00835069269,-0.05609487,2039
746,91,432215415,59.349967991477996,18.067268711894844,88.152086867019534,-0.200150728,0.0244951993,0.0868760422,-0.975598454,399211.17592060263,0.131050721,-0.0133047774,-0.0401816964,2039
