_ID_,cnoMean,ecef[0],ecef[1],ecef[2],hAcc,hMSL,lla[0],lla[1],lla[2],pDop,status,timeOfWeekMs,towOffset,vAcc,week
183,33.370369,3098925.5100000002,1010925.73,5463979.9900000002,0.632000029,51.1300011,59.3500023,18.0672657,75.390000000000001,1.12,1074594580,399208400,398844.27755891974,0.861000061,2039
304,33.370369,3098925.5,1010925.74,5463980.0099999998,0.632000029,51.1410027,59.350002399999994,18.067266,75.400999999999996,1.12,1074594580,399208600,398844.27755891974,0.861000061,2039
420,33.4814796,3098925.4900000002,1010925.74,5463980,0.632000029,51.1340027,59.350002399999994,18.067266099999998,75.394999999999996,1.12,1074594580,399208800,398844.27755891974,0.861000061,2039
536,33.4814796,3098925.48,1010925.74,5463980.0099999998,0.632000029,51.1330032,59.350002499999995,18.067266199999999,75.393000000000001,1.12,1074594580,399209000,398844.27752840216,0.861000061,2039
659,33.5185204,3098925.48,1010925.76,5463980.0099999998,0.632000029,51.1390038,59.350002499999995,18.0672663,75.399000000000001,1.12,1074594580,399209200,398844.27752840216,0.861000061,2039
777,33.4814796,3098925.4900000002,1010925.77,5463980.0099999998,0.632000029,51.1430016,59.350002499999995,18.067266499999999,75.403000000000006,1.12,1074594580,399209400,398844.27752840216,0.861000061,2039
890,33.5185204,3098925.48,1010925.78,5463980.0099999998,0.632000029,51.1430016,59.350002499999995,18.067266699999998,75.403000000000006,1.12,1074594580,399209600,398844.27752840216,0.861000061,2039
1007,33.5555573,3098925.4700000002,1010925.79,5463980.0099999998,0.632000029,51.1360016,59.350002499999995,18.067266999999998,75.396000000000001,1.12,1074594580,399209800,398844.27752840216,0.861000061,2039
1132,33.6666679,3098925.46,1010925.8,5463980,0.632000029,51.1240005,59.350002499999995,18.067267299999997,75.385000000000005,1.18999994,1074594579,399210000,398844.27758943732,0.861000061,2039
1241,33.9259262,3098925.46,1010925.8100000001,5463980.0099999998,0.631000042,51.1390038,59.350002599999996,18.067267399999999,75.399000000000001,1.12,1074594580,399210200,398844.27758943732,0.861000061,2039
1359,33.8888893,3098925.4500000002,1010925.8100000001,5463980.0300000003,0.631000042,51.1470032,59.350002699999997,18.0672675,75.406999999999996,1.12,1074594580,399210400,398844.27758943732,0.860000014,2039
1476,33.8148155,3098925.4500000002,1010925.8200000001,5463980.04,0.630000055,51.1550026,59.350002699999997,18.0672675,75.415999999999997,1.12,1074594580,399210600,398844.27758943732,0.860000014,2039
1592,33.4444427,3098925.4399999999,1010925.79,5463980.0300000003,0.630000055,51.1360016,59.350002799999999,18.0672672,75.396000000000001,1.15999997,1074594579,399210800,398844.27758943732,0.861000061,2039
