_ID_,baroTemp,genFaultCode,hdwStatus,imuPeriodMs,imuTemp,insStatus,mcuTemp,navPeriodMs,reserved1,reserved2[0],reserved2[1],reserved2[2],reserved2[3],timeOfWeekMs
3645,38.5055313,0,65619,1,40.984169,428021239,0,4,0,0,0,0,0,399214375
9381,37.8529243,0,65627,1,40.5046654,419634551,0,4,0,0,0,0,0,399224363
15148,37.8428841,0,65619,1,40.2065926,428021111,0,4,0,0,0,0,0,399234347
20954,37.6722031,0,65627,1,39.9224091,428021207,0,4,0,0,0,0,0,399244331
26761,37.1902809,0,65619,1,39.4908295,428021207,0,4,0,0,0,0,0,399254367
32480,36.9593582,0,65627,1,39.1288223,428021207,0,4,0,0,0,0,0,399264352
38284,36.6932983,0,65627,1,38.850563,428021207,0,4,0,0,0,0,0,399274336
44132,36.2565613,0,65627,1,38.379364,428021207,0,4,0,0,0,0,0,399284372
49954,35.684288,0,65627,1,37.8257446,428021207,0,4,0,0,0,0,0,399294356
55785,35.5587921,0,65619,1,37.6184502,428021207,0,4,0,0,0,0,0,399304340
61571,34.9363251,0,65627,1,37.2244492,428021207,0,4,0,0,0,0,0,399314376
67308,34.1030273,0,65627,1,36.8065834,428021207,0,4,0,0,0,0,0,399324329
73136,33.9574547,0,65627,1,36.5536118,428021207,0,4,0,0,0,0,0,399334380
78872,33.7516403,0,65617,1,36.2402573,428021207,0,4,0,0,0,0,0,399344336
84602,33.711483,0,65616,1,36.0261688,428021239,0,4,0,0,0,0,0,399354352
90399,33.776741,0,65627,1,35.9750481,428021111,0,4,0,0,0,0,0,399364336
96180,33.7064629,0,65627,1,35.8896103,428021207,0,4,0,0,0,0,0,399374340
101964,33.5458298,0,65627,1,35.6458969,1501763031,0,4,0,0,0,0,0,399384377
