_ID_,acc1[0],acc1[1],acc1[2],acc2[0],acc2[1],acc2[2],pqr1[0],pqr1[1],pqr1[2],pqr2[0],pqr2[1],pqr2[2],status,time
3,0.0183373149,1.79749084,-7.56968164,0.0011695805,1.7884202,-7.74502373,0.0365904085,0.0429490283,-0.0142765222,0.0313294418,0.0281143934,-0.00716962479,0,210.93879443535116
11,0.0522963107,1.80385625,-7.76527166,0.000237686821,1.77143991,-7.97829247,0.00910084881,-0.00527096447,-0.0159081239,0.00624188408,-0.0215743389,-0.00688672066,0,210.9587944363011
19,0.047813952,1.83514011,-7.91384983,-0.00357327703,1.78277731,-8.15440369,0.00317052379,-0.0145240175,-0.0117333261,-0.00095435977,-0.0299528521,-0.000715386588,0,210.96279443649109
26,0.0667105168,1.82872307,-8.05744267,0.0151165929,1.77460158,-8.31762981,-0.00481418241,-0.0244017523,-0.00969647802,-0.00803482533,-0.0383077599,-0.00425766967,0,210.96679443668108
32,0.0653734133,1.81102777,-8.23215961,0.050106097,1.78343606,-8.49566078,-0.00612996798,-0.0299118645,-0.00918235816,-0.0121676102,-0.0458941981,0.00198080018,0,210.97079443687107
44,0.0820954069,1.84375846,-8.40603065,0.0549393222,1.79301751,-8.68980789,-0.00266366149,-0.0375525355,-0.00876570027,-0.0117506348,-0.0498834178,-0.00116848666,0,210.97479443706106
50,0.0987132564,1.82407403,-8.61435127,0.067100808,1.79290378,-8.85193062,-0.00403224863,-0.0422456078,-0.00771713955,-0.00919769611,-0.055431027,0.00124000688,0,210.97879443725105
58,0.0819994584,1.86060202,-8.77792645,0.0630666688,1.79067349,-9.04807377,-0.00517656887,-0.0465939976,-0.00791308656,-0.00644504232,-0.0606398024,0.000792091363,0,210.98279443744104
63,0.133557588,1.84122896,-8.92518616,0.0520411022,1.80884194,-9.18324089,-0.00809198897,-0.0533138402,-0.00862738676,-0.00735631119,-0.0645864755,0.00115072611,0,210.98679443763103
71,0.101060219,1.8803587,-9.2485857,0.0310253501,1.80406797,-9.47761059,-0.00274389726,-0.0538140237,-0.00445856899,-0.00638437364,-0.0726252496,0.00567421084,0,210.99881201190874
