_ID_,acc1[0],acc1[1],acc1[2],acc2[0],acc2[1],acc2[2],pqr1[0],pqr1[1],pqr1[2],pqr2[0],pqr2[1],pqr2[2],status,time
1,-0.0120299282,1.7918911,-7.57993507,0.0111048063,1.76239729,-7.69632673,0.0359782428,0.0461600423,-0.0131545477,0.027816901,0.022496691,-0.00463292468,0,210.93779443530366
2,0.0600093827,1.7921586,-7.45529318,0.0205470081,1.74778676,-7.73439169,0.0327805988,0.0397299901,-0.0152867222,0.0331530273,0.0256875642,-0.00570578082,0,210.93879443535116
8,0.0600093827,1.7921586,-7.45529318,0.0205470081,1.74778676,-7.73439169,0.031720221,0.0301035345,-0.0142078688,0.0310180783,0.0246144701,-0.00890658237,0,210.93979443539865
10,0.0359694511,1.76328707,-7.49835825,0.0015310758,1.76706946,-7.72970867,0.0295951255,0.0322504342,-0.0099257119,0.0267243646,0.0171368029,-0.00675169285,0,210.94079443544615
15,0.0354343019,1.8441,-7.84404707,0.0109164426,1.79393005,-8.08717632,0.00403613644,-0.0105890706,-0.0109345131,0.000935786462,-0.0320443958,-0.0034155699,0,210.9597944363486
16,0.059186846,1.82949972,-7.94479942,-0.0180318188,1.7696923,-8.17766953,0.006166426,-0.00844562147,-0.0109385587,-0.00225892779,-0.0330841802,0.00298953638,0,210.9607944363961
17,0.059186846,1.82949972,-7.94479942,-0.0180318188,1.7696923,-8.17766953,0.00296955323,-0.0170150772,-0.01306911,-0.00436992338,-0.0298583135,0.00404481031,0,210.9617944364436
18,0.0399087742,1.82934678,-8.0167408,0.0107778767,1.80251479,-8.28257751,-0.00341886096,-0.0255819429,-0.0119850086,-0.00223370129,-0.0277429614,-0.00236466969,0,210.96279443649109
22,0.0399087742,1.82934678,-8.0167408,0.0107778767,1.80251479,-8.28257751,-0.00554395933,-0.0234350413,-0.00770285353,-0.00333962985,-0.0352620743,-0.0098137632,0,210.96379443653859
23,0.0924773291,1.82922888,-8.07439613,0.015228169,1.75441635,-8.32054138,-0.00234554335,-0.0191443954,-0.00556905661,-0.0108193792,-0.0416527875,-0.00659773825,0,210.96479443658609
24,0.0924773291,1.82922888,-8.07439613,0.015228169,1.75441635,-8.32054138,-0.00555160549,-0.0255888738,-0.0130529255,-0.0118915923,-0.0437722094,-0.000187295751,0,210.96579443663359
25,0.0445085503,1.82432806,-8.12229156,0.029565163,1.76816761,-8.42540455,-0.00874511153,-0.0341525525,-0.0130427983,-0.0107990559,-0.0384123251,0.00193146954,0,210.96679443668108
28,0.0445085503,1.82432806,-8.12229156,0.029565163,1.76816761,-8.42540455,-0.00660394924,-0.0341311954,-0.0066231885,-0.00973599032,-0.0384228937,-0.000202427938,0,210.96779443672858
29,0.0777119771,1.79999375,-8.29020309,0.0631197467,1.79148412,-8.51121712,-0.00554332836,-0.0298561398,-0.00876832381,-0.0129757831,-0.0480411127,0.00409510592,0,210.96879443677608
30,0.0777119771,1.79999375,-8.29020309,0.0631197467,1.79148412,-8.51121712,-0.00554564269,-0.0234379265,-0.00877319276,-0.0151318563,-0.0533936843,0.00304280804,0,210.96979443682358
