_ID_,mag[0],mag[1],mag[2],time
6,1.4567306,5.43765402,-3.73650575,210.93879443535116
13,1.47617793,5.41200161,-3.75569701,210.9587944363011
35,1.46962881,5.40540743,-3.76175928,210.96879443677608
74,1.50565827,5.42208338,-3.75311899,210.99881201190874
92,1.46584105,5.38320971,-3.74085999,211.02881201333366
97,1.47283232,5.42839003,-3.72794366,211.03881201380864
103,1.4663744,5.40861273,-3.75858116,211.04881201428361
108,1.48283231,5.43151712,-3.74329615,211.05881201475859
114,1.45663488,5.40513659,-3.76754522,211.06881201523356
118,1.46320355,5.41823435,-3.75527453,211.07881201570854
131,1.47947323,5.42180347,-3.74645591,211.09887915058061
138,1.4695648,5.40549374,-3.75567818,211.10887915105559
143,1.4598639,5.41502428,-3.75222635,211.11887915153056
149,1.49585354,5.41869307,-3.75600362,211.12887915200554
154,1.46339214,5.4375701,-3.74880815,211.13887915248051
167,1.48638701,5.44096947,-3.75837278,211.15887915343046
173,1.46643972,5.40852547,-3.76465988,211.16887915390544
183,1.49559307,5.41904259,-3.73168755,211.18887915485539
188,1.45966852,5.41528606,-3.733989,211.19885473651811
196,1.47930789,5.40896988,-3.74670935,211.20885473699309
201,1.4668535,5.41450405,-3.7949214,211.21885473746806
207,1.48296642,5.43134117,-3.75544882,211.22885473794304
212,1.4669311,5.44051838,-3.77008867,211.23885473841801
219,1.47596812,5.40575933,-3.74366164,211.24885473889299
224,1.46021259,5.42109013,-3.77640915,211.25885473936796
230,1.47643638,5.43124914,-3.75530291,211.26885473984294
234,1.45010173,5.42464113,-3.74269056,211.27885474031791
240,1.47624803,5.41191292,-3.76176953,211.28885474079289
248,1.46950328,5.40558004,-3.74959493,211.29883032245561
257,1.4536382,5.42758942,-3.76397395,211.30878833041061
262,1.46331954,5.41155481,-3.7736342,211.31878833088558
268,1.46922469,5.39942551,-3.73148465,211.32878833136056
273,1.47294831,5.42171001,-3.74630332,211.33878833183553
281,1.45627546,5.39256334,-3.7495594,211.34878833231051
286,1.44372952,5.4112792,-3.77319646,211.35878833278548
294,1.46637952,5.4086113,-3.75857401,211.39880590839311
301,1.45676923,5.42455578,-3.75498438,211.40880590886809
306,1.45339072,5.40833807,-3.76435328,211.41880590934306
317,1.48301935,5.42474794,-3.76772642,211.43880591029301
323,1.49589097,5.40559578,-3.77448487,211.44880591076799
327,1.47963381,5.42812872,-3.75239134,211.45880591124296
336,1.46994007,5.41806078,-3.77364302,211.47880591219291
343,1.443748,5.43737936,-3.74227667,211.48880591266789
351,1.45620942,5.41224718,-3.71876812,211.49887304706499
359,1.46017408,5.42767906,-3.76411176,211.50887304753996
370,1.46648824,5.42152929,-3.75222993,211.52887304848991
382,1.4927119,5.43481636,-3.74647617,211.54887304943986
387,1.45342839,5.42134571,-3.7519381,211.55887304991484
393,1.44993877,5.41180658,-3.74294043,211.56887305038981
398,1.47276485,5.40237236,-3.75276327,211.57887305086479
405,1.4665339,5.41493845,-3.76451731,211.58887305133976
411,1.46957457,5.40549135,-3.75566506,211.59884863300249
418,1.45319414,5.40860033,-3.74611712,211.60884863347746
