deltat,stamp.secs,stamp.nsecs,.header.frame_id,.num_sat,.fix_type,.rec_bias,.tow_offset,.cno,.latitude,.longitude,.altitude,.posEcef.x,.posEcef.y,.posEcef.z,.velEcef.x,.velEcef.y,.velEcef.z,.hMSL,.hAcc,.vAcc,.sAcc,.pDop
-37352.1953123,1570965088,0,body,5,768,0,40268.0525834,40,59.3197486,18.0483168,40.417,3101999.09,1010793.44,5462230.98,0,0,0,16.0620002747,3.0290000439,5.8280000687,0,6.4899997711
-37351.9953123,1570965088,199999999,body,5,768,0,40268.0525834,40,59.3197479,18.048317,40.281,3101999.09,1010793.45,5462230.82,0,0,0,15.9270009995,2.9580001831,5.7020001411,0,6.4899997711
-37351.7953123,1570965088,400000000,body,5,768,0,40268.0525834,40,59.3197473,18.0483171,40.206,3101999.1,1010793.46,5462230.73,0,0,0,15.8510007858,2.8920001984,5.5840001106,0,6.4800000191
-37351.5953123,1570965088,599999999,body,5,768,0,40268.0525834,40,59.3197468,18.0483173,40.13,3101999.11,1010793.47,5462230.63,0,0,0,15.7760009766,2.8300001621,5.4730000496,0,6.4800000191
-37351.3953123,1570965088,800000000,body,5,768,0,40268.0525834,40,59.3197465,18.0483174,40.099,3101999.12,1010793.48,5462230.59,0,0,0,15.7450008392,2.7720000744,5.3700003624,0,6.4800000191
-37351.1953123,1570965089,0,body,5,768,0,40268.0526444,40,59.3197462,18.0483174,40.08,3101999.14,1010793.49,5462230.55,0,0,0,15.7260007858,2.7190001011,5.2730002403,0,6.4800000191
-37350.9953123,1570965089,199999999,body,5,768,0,40268.0526444,40,59.3197459,18.0483173,40.071,3101999.17,1010793.49,5462230.53,0,0,0,15.7160005569,2.6680002213,5.1820001602,0,6.4800000191
-37350.7953123,1570965089,400000000,body,5,768,0,40268.0526444,40,59.3197456,18.0483172,40.055,3101999.18,1010793.49,5462230.5,0,0,0,15.7000007629,2.6210000515,5.095000267,0,6.4800000191
-37350.5953123,1570965089,599999999,body,5,768,0,40268.0526444,40,59.3197454,18.0483171,40.05,3101999.21,1010793.49,5462230.48,0,0,0,15.6960010529,2.5760002136,5.0140004158,0,6.4800000191
-37350.3953123,1570965089,800000000,body,5,768,0,40268.0526444,40,59.3197451,18.0483169,40.033,3101999.22,1010793.49,5462230.45,0,0,0,15.6780004501,2.5340001583,4.9370002747,0,6.4800000191
-37350.1953123,1570965090,0,body,5,768,0,40268.0526139,40,59.3197448,18.0483168,39.977,3101999.22,1010793.48,5462230.39,0,0,0,15.6230010986,2.4940001965,4.8640003204,0,6.4800000191
-37349.9953123,1570965090,199999999,body,5,768,0,40268.0526139,40,59.3197445,18.0483168,39.904,3101999.22,1010793.48,5462230.31,0,0,0,15.5490007401,2.4560000897,4.7940001488,0,6.4800000191
-37349.7953123,1570965090,400000000,body,5,768,0,40268.0526139,40,59.3197445,18.0483169,39.9,3101999.22,1010793.48,5462230.3,0,0,0,15.5460004807,2.4200000763,4.728000164,0,6.4800000191
-37349.5953123,1570965090,599999999,body,5,768,0,40268.0526139,40,59.3197443,18.0483169,39.854,3101999.21,1010793.48,5462230.25,0,0,0,15.5000009537,2.3860001564,4.6660003662,0,6.4800000191
-37349.3953123,1570965090,800000000,body,5,768,0,40268.0526139,40,59.3197443,18.0483169,39.845,3101999.21,1010793.48,5462230.24,0,0,0,15.4910011292,2.3540000916,4.6060004234,0,6.4800000191
-37349.1953123,1570965091,0,body,5,768,0,40268.0526749,40,59.3197444,18.0483169,39.874,3101999.21,1010793.48,5462230.28,0,0,0,15.5190010071,2.3230001926,4.5490002632,0,6.4800000191
-37348.9953123,1570965091,199999999,body,5,768,0,40268.0526749,40,59.3197444,18.0483168,39.873,3101999.21,1010793.48,5462230.27,0,0,0,15.5180006027,2.2940001488,4.4950003624,0,6.4800000191
-37348.7953123,1570965091,400000000,body,5,768,0,40268.0526749,40,59.3197443,18.0483167,39.869,3101999.22,1010793.48,5462230.27,0,0,0,15.5140008926,2.2660000324,4.4430003166,0,6.4800000191
-37348.5953123,1570965091,599999999,body,5,768,0,40268.0526749,40,59.3197443,18.0483167,39.866,3101999.22,1010793.47,5462230.26,0,0,0,15.5110006332,2.239000082,4.3930001259,0,6.4699997902
-37348.3953123,1570965091,800000000,body,5,768,0,40268.0526749,40,59.3197443,18.0483166,39.86,3101999.22,1010793.47,5462230.26,0,0,0,15.5060005188,2.2130000591,4.345000267,0,6.4699997902
-37348.1953123,1570965092,0,body,5,768,0,40268.0526444,40,59.3197444,18.0483164,39.848,3101999.21,1010793.45,5462230.25,0,0,0,15.4940004349,2.1890001297,4.3000001907,0,6.4699997902
-37347.9953123,1570965092,199999999,body,5,768,0,40268.0526444,40,59.3197446,18.048316,39.909,3101999.23,1010793.44,5462230.31,0,0,0,15.5540008545,2.1660001278,4.256000042,0,6.4699997902
-37347.7953123,1570965092,400000000,body,5,768,0,40268.0526444,40,59.3197447,18.0483157,39.955,3101999.25,1010793.42,5462230.36,0,0,0,15.6010007858,2.1430001259,4.2150001526,0,6.4699997902
-37347.5953123,1570965092,599999999,body,5,768,0,40268.0526444,39,59.3197448,18.0483154,39.997,3101999.26,1010793.41,5462230.4,0,0,0,15.6430006027,2.1220002174,4.1740002632,0,6.4699997902
-37347.3953123,1570965092,800000000,body,5,768,0,40268.0526444,40,59.3197449,18.0483151,40.044,3101999.28,1010793.4,5462230.45,0,0,0,15.6900005341,2.1010000706,4.1360001564,0,6.4699997902
-37347.1953123,1570965093,0,body,5,768,0,40268.0527055,40,59.319745,18.0483149,40.064,3101999.29,1010793.38,5462230.47,0,0,0,15.7090005875,2.0820000172,4.0989999771,0,6.4699997902
-37346.9953123,1570965093,199999999,body,5,768,0,40268.0527055,40,59.3197451,18.0483146,40.113,3101999.3,1010793.38,5462230.52,0,0,0,15.7580003738,2.0640001297,4.0650000572,0,6.4699997902
-37346.7953123,1570965093,400000000,body,5,768,0,40268.0527055,40,59.3197451,18.0483144,40.142,3101999.32,1010793.37,5462230.54,0,0,0,15.7870006561,2.0470001698,4.0310001373,0,6.4699997902
-37346.5953123,1570965093,599999999,body,5,768,0,40268.0527055,40,59.3197451,18.0483141,40.159,3101999.33,1010793.36,5462230.56,0,0,0,15.8040008545,2.0300002098,4,0,6.4699997902
-37346.3953123,1570965093,800000000,body,5,768,0,40268.0527055,40,59.3197453,18.048314,40.191,3101999.33,1010793.35,5462230.6,0,0,0,15.8360004425,2.0170001984,3.9720001221,0,6.4699997902
-37346.1953123,1570965094,0,body,5,768,0,40268.0526749,40,59.3197454,18.0483138,40.225,3101999.34,1010793.34,5462230.63,0,0,0,15.8700008392,2.0040001869,3.9450001717,0,6.4699997902
-37345.9953123,1570965094,199999999,body,5,768,0,40268.0526749,40,59.3197455,18.0483138,40.239,3101999.35,1010793.34,5462230.65,0,0,0,15.8850011826,1.992000103,3.9190001488,0,6.4699997902
-37345.7953123,1570965094,400000000,body,5,768,0,40268.0526749,39,59.3197456,18.0483138,40.29,3101999.36,1010793.34,5462230.7,0,0,0,15.936000824,1.9810000658,3.8950002194,0,6.4699997902
-37345.5953123,1570965094,599999999,body,5,768,0,40268.0526749,40,59.3197455,18.0483136,40.285,3101999.37,1010793.34,5462230.69,0,0,0,15.9300003052,1.9710000753,3.8720002174,0,6.4600000382
-37345.3953123,1570965094,800000000,body,5,768,0,40268.0526749,40,59.3197457,18.0483134,40.319,3101999.37,1010793.33,5462230.73,0,0,0,15.9640007019,1.9610000849,3.8500001431,0,6.4600000382
-37345.1953123,1570965095,0,body,5,768,0,40268.0526444,40,59.3197457,18.0483133,40.312,3101999.37,1010793.32,5462230.72,0,0,0,15.9580011368,1.9530000687,3.8300001621,0,6.4600000382
