timeOfWeek, lla0,lla1,lla2,ned0,ned1,ned2,theta0,theta1,theta2
458999.165s, 59.3480542, 18.0689553, 70.87, 1044.401978, -2160.712402, -39.675644,  -7.5,  -8.1, -64.6
458999.205s, 59.3480542, 18.0689553, 70.87, 1044.401489, -2160.709717, -39.675224,  -7.5,  -8.1, -64.6
458999.245s, 59.3480542, 18.0689553, 70.87, 1044.400391, -2160.708984, -39.674915,  -7.5,  -8.1, -64.6
458999.285s, 59.3480542, 18.0689554, 70.87, 1044.399658, -2160.706543, -39.674492,  -7.5,  -8.1, -64.6
458999.325s, 59.3480542, 18.0689554, 70.87, 1044.398926, -2160.704834, -39.674133,  -7.5,  -8.1, -64.6
458999.365s, 59.3480542, 18.0689554, 70.87, 1044.397827, -2160.703857, -39.673798,  -7.5,  -8.1, -64.6
458999.405s, 59.3480541, 18.0689555, 70.87, 1044.397217, -2160.701660, -39.673428,  -7.5,  -8.1, -64.6
458999.445s, 59.3480541, 18.0689555, 70.87, 1044.396729, -2160.699463, -39.673096,  -7.5,  -8.1, -64.6
458999.485s, 59.3480541, 18.0689555, 70.87, 1044.395630, -2160.698486, -39.672684,  -7.5,  -8.1, -64.6
458999.525s, 59.3480541, 18.0689555, 70.87, 1044.394653, -2160.697021, -39.672310,  -7.5,  -8.1, -64.6
458999.565s, 59.3480541, 18.0689556, 70.87, 1044.393433, -2160.696289, -39.671921,  -7.5,  -8.1, -64.6
458999.605s, 59.3480541, 18.0689556, 70.87, 1044.393066, -2160.693604, -39.671577,  -7.5,  -8.1, -64.6
458999.645s, 59.3480541, 18.0689556, 70.87, 1044.391968, -2160.692139, -39.671185,  -7.5,  -8.1, -64.6
458999.685s, 59.3480541, 18.0689557, 70.87, 1044.391479, -2160.689453, -39.670776,  -7.5,  -8.1, -64.6
458999.725s, 59.3480541, 18.0689557, 70.87, 1044.390747, -2160.687256, -39.670387,  -7.5,  -8.1, -64.6
458999.765s, 59.3480541, 18.0689557, 70.87, 1044.389648, -2160.686035, -39.670002,  -7.5,  -8.1, -64.6
458999.805s, 59.3480541, 18.0689558, 70.87, 1044.389282, -2160.683594, -39.669632,  -7.5,  -8.1, -64.6
458999.845s, 59.3480541, 18.0689558, 70.87, 1044.388550, -2160.681152, -39.669220,  -7.5,  -8.1, -64.6
458999.885s, 59.3480541, 18.0689558, 70.86, 1044.387085, -2160.680420, -39.668808,  -7.5,  -8.1, -64.6
458999.925s, 59.3480541, 18.0689559, 70.86, 1044.386475, -2160.677979, -39.668419,  -7.5,  -8.1, -64.6
458999.965s, 59.3480540, 18.0689559, 70.86, 1044.385864, -2160.675781, -39.668030,  -7.5,  -8.1, -64.6
459000.005s, 59.3480540, 18.0689559, 70.86, 1044.384766, -2160.674316, -39.667618,  -7.5,  -8.1, -64.6
459000.045s, 59.3480540, 18.0689560, 70.86, 1044.383911, -2160.672119, -39.667210,  -7.5,  -8.1, -64.6
459000.085s, 59.3480540, 18.0689560, 70.86, 1044.382813, -2160.670898, -39.666801,  -7.5,  -8.1, -64.6
459000.125s, 59.3480540, 18.0689560, 70.86, 1044.381470, -2160.669678, -39.666393,  -7.5,  -8.1, -64.6
459000.165s, 59.3480540, 18.0689561, 70.86, 1044.380859, -2160.667236, -39.665989,  -7.5,  -8.1, -64.6
459000.205s, 59.3480540, 18.0689561, 70.86, 1044.380127, -2160.664795, -39.665569,  -7.5,  -8.1, -64.6
459000.245s, 59.3480540, 18.0689561, 70.86, 1044.379272, -2160.662842, -39.665161,  -7.5,  -8.1, -64.6
459000.285s, 59.3480540, 18.0689562, 70.86, 1044.378052, -2160.661377, -39.664719,  -7.4,  -8.1, -64.6
459000.325s, 59.3480540, 18.0689562, 70.86, 1044.377319, -2160.658691, -39.664288,  -7.4,  -8.1, -64.6
459000.365s, 59.3480540, 18.0689563, 70.86, 1044.376221, -2160.656494, -39.663845,  -7.4,  -8.1, -64.6
459000.405s, 59.3480539, 18.0689563, 70.86, 1044.375122, -2160.654297, -39.663410,  -7.4,  -8.1, -64.6
459000.445s, 59.3480539, 18.0689563, 70.86, 1044.374146, -2160.652344, -39.662975,  -7.4,  -8.1, -64.6
459000.485s, 59.3480539, 18.0689564, 70.86, 1044.373169, -2160.650635, -39.662529,  -7.4,  -8.1, -64.6
459000.525s, 59.3480539, 18.0689564, 70.86, 1044.372192, -2160.648438, -39.662102,  -7.4,  -8.1, -64.6
459000.565s, 59.3480539, 18.0689564, 70.86, 1044.371460, -2160.645996, -39.661667,  -7.4,  -8.1, -64.6
459000.605s, 59.3480539, 18.0689565, 70.86, 1044.370850, -2160.643066, -39.661240,  -7.4,  -8.1, -64.6
459000.645s, 59.3480539, 18.0689565, 70.86, 1044.369751, -2160.641113, -39.660805,  -7.4,  -8.1, -64.6
