timeOfWeek, lla0,lla1,lla2,ned0,ned1,ned2,theta0,theta1,theta2
208419.592, 59.3530321, 18.0731064, 30.16, 1597.547729, -1925.479248, 1.033344,  -2.2,   0.2,  94.2
208419.632, 59.3530321, 18.0731064, 30.16, 1597.547729, -1925.479248, 1.033215,  -2.2,   0.2,  94.2
208419.672, 59.3530321, 18.0731064, 30.16, 1597.547729, -1925.479248, 1.033389,  -2.2,   0.2,  94.3
208419.712, 59.3530321, 18.0731064, 30.16, 1597.547729, -1925.479248, 1.034286,  -2.2,   0.2,  94.2
208419.752, 59.3530321, 18.0731064, 30.16, 1597.547729, -1925.479248, 1.035325,  -2.2,   0.2,  94.3
208419.792, 59.3530321, 18.0731064, 30.16, 1597.547729, -1925.479248, 1.035500,  -2.2,   0.2,  94.3
208419.832, 59.3530321, 18.0731064, 30.16, 1597.547974, -1925.479248, 1.035989,  -2.2,   0.2,  94.3
208419.872, 59.3530321, 18.0731064, 30.16, 1597.547974, -1925.479248, 1.035627,  -2.2,   0.2,  94.3
208419.912, 59.3530321, 18.0731064, 30.16, 1597.547974, -1925.479248, 1.037441,  -2.2,   0.2,  94.3
208419.952, 59.3530321, 18.0731064, 30.16, 1597.547974, -1925.479248, 1.038695,  -2.2,   0.2,  94.3
208419.992, 59.3530321, 18.0731064, 30.16, 1597.547974, -1925.479248, 1.037890,  -2.2,   0.2,  94.3
208420.032, 59.3530321, 18.0731064, 30.16, 1597.547974, -1925.479248, 1.038128,  -2.2,   0.2,  94.3
208420.072, 59.3530321, 18.0731064, 30.16, 1597.547974, -1925.479248, 1.039065,  -2.2,   0.2,  94.3
208420.112, 59.3530321, 18.0731064, 30.16, 1597.547729, -1925.479248, 1.040877,  -2.2,   0.2,  94.3
208420.152, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.041737,  -2.2,   0.2,  94.3
208420.192, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.042614,  -2.2,   0.2,  94.3
208420.232, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.042925,  -2.2,   0.2,  94.3
208420.272, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.042392,  -2.2,   0.2,  94.3
208420.312, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.042223,  -2.2,   0.2,  94.3
208420.352, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.041858,  -2.2,   0.2,  94.3
208420.392, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.042098,  -2.2,   0.2,  94.3
208420.432, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.043127,  -2.2,   0.2,  94.3
208420.472, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.042529,  -2.2,   0.2,  94.3
208420.512, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.043607,  -2.2,   0.2,  94.3
208420.552, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.043915,  -2.2,   0.2,  94.3
208420.592, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.045083,  -2.2,   0.2,  94.3
208420.632, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.044547,  -2.2,   0.2,  94.3
208420.672, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.044719,  -2.2,   0.2,  94.3
208420.712, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.045105,  -2.2,   0.2,  94.3
208420.752, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.044418,  -2.2,   0.2,  94.3
208420.792, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.045377,  -2.2,   0.2,  94.3
208420.832, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.046481,  -2.2,   0.2,  94.3
208420.872, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.046942,  -2.2,   0.2,  94.3
208420.912, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.048198,  -2.2,   0.2,  94.3
208420.952, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.049670,  -2.2,   0.2,  94.3
208420.992, 59.3530321, 18.0731064, 30.15, 1597.547485, -1925.479248, 1.050514,  -2.2,   0.2,  94.3
208421.032, 59.3530321, 18.0731064, 30.15, 1597.547729, -1925.479248, 1.050577,  -2.2,   0.2,  94.3
208421.072, 59.3530321, 18.0731064, 30.15, 1597.547485, -1925.479248, 1.049473,  -2.2,   0.2,  94.3
208421.112, 59.3530321, 18.0731064, 30.15, 1597.547485, -1925.479248, 1.050550,  -2.2,   0.2,  94.3
208421.152, 59.3530321, 18.0731064, 30.15, 1597.547485, -1925.479248, 1.049915,  -2.2,   0.2,  94.3
208421.192, 59.3530321, 18.0731064, 30.15, 1597.547485, -1925.479248, 1.049906,  -2.2,   0.2,  94.3
