timeOfWeek, lla0,lla1,lla2,ned0,ned1,ned2,theta0,theta1,theta2
208631.183, 59.3530537, 18.0731487, 36.13, 1599.951538, -1923.085571, -4.937724, -13.2,  -1.2, -38.0
208631.223, 59.3530537, 18.0731487, 36.13, 1599.951538, -1923.085571, -4.937825, -13.1,  -1.2, -37.9
208631.263, 59.3530537, 18.0731487, 36.13, 1599.951538, -1923.085571, -4.931138, -13.1,  -1.1, -37.9
208631.303, 59.3530537, 18.0731487, 36.13, 1599.951782, -1923.085693, -4.931025, -13.1,  -1.0, -38.1
208631.343, 59.3530537, 18.0731487, 36.13, 1599.951782, -1923.085693, -4.931199, -13.2,  -1.1, -38.2
208631.383, 59.3530537, 18.0731487, 36.13, 1599.951904, -1923.085693, -4.932268, -13.4,  -1.0, -38.2
208631.423, 59.3530537, 18.0731487, 36.13, 1599.951782, -1923.085693, -4.933166, -13.7,  -0.8, -38.2
208631.463, 59.3530537, 18.0731487, 36.12, 1599.951904, -1923.085693, -4.927791, -13.8,  -0.7, -38.2
208631.503, 59.3530537, 18.0731487, 36.12, 1599.951904, -1923.085571, -4.928190, -13.8,  -0.8, -38.0
208631.543, 59.3530537, 18.0731487, 36.12, 1599.951782, -1923.085327, -4.927661, -13.8,  -0.7, -37.9
208631.583, 59.3530537, 18.0731487, 36.12, 1599.951782, -1923.085083, -4.926743, -13.7,  -0.7, -37.6
208631.623, 59.3530537, 18.0731487, 36.12, 1599.951782, -1923.084961, -4.926812, -13.6,  -0.7, -37.4
208631.663, 59.3530537, 18.0731487, 36.12, 1599.951782, -1923.084961, -4.919427, -13.5,  -0.7, -37.3
208631.703, 59.3530537, 18.0731487, 36.12, 1599.951782, -1923.084961, -4.919657, -13.4,  -0.7, -37.2
208631.743, 59.3530537, 18.0731487, 36.12, 1599.951782, -1923.084961, -4.919509, -13.5,  -0.8, -37.1
208631.783, 59.3530537, 18.0731487, 36.11, 1599.951782, -1923.084961, -4.918475, -13.6,  -0.9, -37.1
208631.823, 59.3530537, 18.0731487, 36.11, 1599.951782, -1923.084961, -4.917761, -13.7,  -1.0, -37.0
208631.863, 59.3530537, 18.0731487, 36.11, 1599.951782, -1923.084717, -4.910055, -13.7,  -1.0, -36.8
208631.903, 59.3530537, 18.0731487, 36.11, 1599.951782, -1923.084717, -4.909654, -13.6,  -1.0, -36.7
208631.943, 59.3530537, 18.0731487, 36.11, 1599.951782, -1923.084717, -4.909954, -13.3,  -0.9, -36.6
208631.983, 59.3530537, 18.0731487, 36.11, 1599.951782, -1923.084717, -4.909983, -13.2,  -0.8, -36.6
208632.023, 59.3530537, 18.0731487, 36.11, 1599.951782, -1923.084961, -4.909499, -13.1,  -0.7, -36.5
208632.063, 59.3530537, 18.0731487, 36.10, 1599.951782, -1923.084961, -4.902025, -13.2,  -0.5, -36.4
208632.103, 59.3530537, 18.0731487, 36.10, 1599.951782, -1923.084961, -4.901462, -13.3,  -0.3, -36.4
208632.143, 59.3530537, 18.0731487, 36.10, 1599.951782, -1923.085083, -4.901339, -13.4,  -0.3, -36.4
208632.183, 59.3530537, 18.0731487, 36.10, 1599.951782, -1923.085083, -4.901672, -13.6,  -0.5, -36.3
208632.223, 59.3530537, 18.0731487, 36.10, 1599.951782, -1923.085327, -4.901403, -14.0,  -0.8, -36.2
208632.263, 59.3530537, 18.0731487, 36.09, 1599.951782, -1923.085327, -4.894597, -14.2,  -1.1, -36.1
208632.303, 59.3530537, 18.0731487, 36.09, 1599.951904, -1923.085327, -4.895529, -14.5,  -1.4, -35.8
208632.343, 59.3530537, 18.0731487, 36.09, 1599.951782, -1923.085083, -4.895323, -14.6,  -1.5, -35.3
208632.383, 59.3530537, 18.0731487, 36.09, 1599.951782, -1923.085083, -4.895925, -14.6,  -1.5, -35.0
208632.423, 59.3530537, 18.0731487, 36.09, 1599.951538, -1923.084961, -4.896873, -14.6,  -1.6, -34.6
208632.463, 59.3530537, 18.0731487, 36.09, 1599.951538, -1923.085083, -4.889906, -15.2,  -1.9, -34.3
208632.503, 59.3530537, 18.0731487, 36.09, 1599.951416, -1923.085083, -4.891244, -15.8,  -2.2, -33.8
208632.543, 59.3530537, 18.0731487, 36.09, 1599.951172, -1923.085083, -4.891217, -16.3,  -2.5, -33.5
208632.583, 59.3530537, 18.0731487, 36.09, 1599.951050, -1923.085083, -4.892354, -16.7,  -2.4, -33.2
208632.623, 59.3530537, 18.0731487, 36.09, 1599.950806, -1923.085083, -4.893520, -16.9,  -1.8, -32.8
208632.663, 59.3530537, 18.0731487, 36.08, 1599.950806, -1923.085327, -4.888163, -17.0,  -0.9, -32.5
208632.703, 59.3530537, 18.0731487, 36.09, 1599.950684, -1923.085571, -4.889793, -16.8,  -0.7, -32.5
208632.743, 59.3530537, 18.0731487, 36.09, 1599.950684, -1923.085571, -4.891957, -16.8,  -1.4, -32.9
208632.783, 59.3530537, 18.0731487, 36.09, 1599.950806, -1923.085693, -4.893085, -17.1,  -2.7, -33.0
208632.823, 59.3530537, 18.0731486, 36.09, 1599.950806, -1923.085938, -4.894523, -17.5,  -3.7, -33.1
208632.863, 59.3530537, 18.0731486, 36.09, 1599.951050, -1923.086060, -4.889221, -17.6,  -4.2, -33.1
