timeOfWeek, lla0,lla1,lla2,ned0,ned1,ned2,theta0,theta1,theta2
296121.633, 59.3527170, 18.0728126, 30.64, 1562.536133, -1942.130127, 0.551085,  -5.7,  84.4, -42.3
296121.673, 59.3527169, 18.0728122, 30.64, 1562.518555, -1942.153442, 0.556423,  -5.6,  84.4, -42.2
296121.713, 59.3527167, 18.0728117, 30.64, 1562.503174, -1942.177368, 0.560256,  -5.6,  84.4, -42.2
296121.753, 59.3527173, 18.0728133, 30.63, 1562.561523, -1942.087036, 0.562468,  -5.4,  84.4, -42.1
296121.793, 59.3527171, 18.0728129, 30.64, 1562.549438, -1942.110718, 0.560709,  -5.6,  84.3, -42.2
296121.833, 59.3527170, 18.0728125, 30.63, 1562.538574, -1942.136841, 0.565343,  -5.7,  84.4, -42.3
296121.873, 59.3527169, 18.0728120, 30.63, 1562.527588, -1942.162354, 0.564029,  -6.0,  84.4, -42.6
296121.913, 59.3527168, 18.0728115, 30.63, 1562.515747, -1942.188721, 0.563317,  -6.3,  84.4, -42.9
296121.953, 59.3527171, 18.0728126, 30.63, 1562.546875, -1942.130371, 0.564147,  -6.5,  84.4, -43.2
296121.993, 59.3527170, 18.0728122, 30.63, 1562.531006, -1942.154053, 0.563883,  -7.0,  84.4, -43.6
296122.033, 59.3527168, 18.0728117, 30.63, 1562.512573, -1942.179688, 0.563269,  -7.4,  84.4, -44.1
296122.073, 59.3527166, 18.0728111, 30.63, 1562.492798, -1942.213989, 0.567852,  -7.9,  84.4, -44.6
296122.113, 59.3527165, 18.0728105, 30.63, 1562.473511, -1942.248535, 0.565459,  -8.2,  84.4, -44.9
296122.153, 59.3527167, 18.0728115, 30.63, 1562.499023, -1942.193726, 0.568180,  -8.4,  84.4, -45.1
296122.193, 59.3527165, 18.0728109, 30.63, 1562.478149, -1942.225952, 0.568982,  -8.5,  84.3, -45.2
296122.233, 59.3527163, 18.0728103, 30.62, 1562.457764, -1942.259521, 0.573354,  -8.6,  84.3, -45.2
296122.273, 59.3527162, 18.0728096, 30.62, 1562.439941, -1942.298584, 0.577892,  -8.4,  84.3, -45.1
296122.313, 59.3527160, 18.0728089, 30.62, 1562.422974, -1942.337891, 0.574439,  -8.2,  84.3, -44.8
296122.353, 59.3527163, 18.0728098, 30.63, 1562.450684, -1942.285156, 0.567086,  -7.7,  84.3, -44.4
296122.393, 59.3527161, 18.0728093, 30.63, 1562.435181, -1942.317871, 0.567529,  -7.3,  84.3, -43.9
296122.433, 59.3527160, 18.0728088, 30.63, 1562.418701, -1942.344482, 0.569588,  -6.9,  84.3, -43.5
296122.473, 59.3527158, 18.0728084, 30.62, 1562.401611, -1942.368164, 0.576682,  -6.6,  84.4, -43.2
296122.513, 59.3527157, 18.0728080, 30.62, 1562.384888, -1942.389038, 0.577446,  -6.3,  84.3, -42.9
296122.553, 59.3527161, 18.0728094, 30.62, 1562.432495, -1942.309326, 0.577873,  -6.0,  84.3, -42.6
296122.593, 59.3527160, 18.0728090, 30.61, 1562.417969, -1942.333618, 0.583636,  -5.8,  84.3, -42.4
296122.633, 59.3527158, 18.0728085, 30.61, 1562.403809, -1942.360596, 0.588924,  -5.7,  84.3, -42.3
296122.673, 59.3527157, 18.0728080, 30.60, 1562.389893, -1942.390625, 0.592936,  -5.6,  84.3, -42.2
