sat, iode, iodc, sva, svh, week, code, flag,toe1, toe2, toc1, toc2, ttr1, ttr2, A, e, i0, OMG0, omg, M0, deln, OMGd, idot, crc, crs, cuc, cus, cic, cis, toes, fit, f0, f1, f2
84,106,106,107,0,2046,1,0,1553679600,0.000000,1553679600,0.000000,1553681719,0.000000,29600359.068754,0.000037,0.987953,1.971744,0.620833,0.844942,0.000000,-0.000000,-0.000000,224.250000,104.000000,0.000005,0.000006,-0.000000,-0.000000,294000.000000,0.000000,0.001853,-0.000000,0.000000
66,106,106,107,0,2046,1,0,1553679600,0.000000,1553679600,0.000000,1553681719,0.000000,29600208.517088,0.000266,0.953319,-0.118890,-1.021389,2.209232,0.000000,-0.000000,-0.000000,179.500000,-12.187500,-0.000000,0.000007,0.000000,-0.000000,294000.000000,0.000000,-0.000157,-0.000000,0.000000
84,106,106,107,0,2046,1,0,1553679600,0.000000,1553679600,0.000000,1553681727,0.000000,29600359.068754,0.000037,0.987953,1.971744,0.620833,0.844942,0.000000,-0.000000,-0.000000,224.250000,104.000000,0.000005,0.000006,-0.000000,-0.000000,294000.000000,0.000000,0.001853,-0.000000,0.000000
66,106,106,107,0,2046,1,0,1553679600,0.000000,1553679600,0.000000,1553681727,0.000000,29600208.517088,0.000266,0.953319,-0.118890,-1.021389,2.209232,0.000000,-0.000000,-0.000000,179.500000,-12.187500,-0.000000,0.000007,0.000000,-0.000000,294000.000000,0.000000,-0.000157,-0.000000,0.000000
84,106,106,107,0,2046,1,0,1553679600,0.000000,1553679600,0.000000,1553681729,0.000000,29600359.068754,0.000037,0.987953,1.971744,0.620833,0.844942,0.000000,-0.000000,-0.000000,224.250000,104.000000,0.000005,0.000006,-0.000000,-0.000000,294000.000000,0.000000,0.001853,-0.000000,0.000000
66,106,106,107,0,2046,1,0,1553679600,0.000000,1553679600,0.000000,1553681729,0.000000,29600208.517088,0.000266,0.953319,-0.118890,-1.021389,2.209232,0.000000,-0.000000,-0.000000,179.500000,-12.187500,-0.000000,0.000007,0.000000,-0.000000,294000.000000,0.000000,-0.000157,-0.000000,0.000000
62,102,102,107,0,2046,1,0,1553677200,0.000000,1553677200,0.000000,1553681741,0.000000,29600200.858762,0.000226,0.953276,-0.118881,-0.315408,2.775996,0.000000,-0.000000,-0.000000,183.968750,-8.937500,-0.000000,0.000007,-0.000000,-0.000000,291600.000000,0.000000,-0.000148,-0.000000,0.000000
62,102,102,107,0,2046,1,0,1553677200,0.000000,1553677200,0.000000,1553681743,0.000000,29600200.858762,0.000226,0.953276,-0.118881,-0.315408,2.775996,0.000000,-0.000000,-0.000000,183.968750,-8.937500,-0.000000,0.000007,-0.000000,-0.000000,291600.000000,0.000000,-0.000148,-0.000000,0.000000
62,102,102,107,0,2046,1,0,1553677200,0.000000,1553677200,0.000000,1553681745,0.000000,29600200.858762,0.000226,0.953276,-0.118881,-0.315408,2.775996,0.000000,-0.000000,-0.000000,183.968750,-8.937500,-0.000000,0.000007,-0.000000,-0.000000,291600.000000,0.000000,-0.000148,-0.000000,0.000000
15,117,117,0,0,2046,1,0,1553688000,0.000000,1553688000,0.000000,1553681736,0.000000,26560146.812107,0.011255,0.928432,0.143954,0.768523,2.397910,0.000000,-0.000000,-0.000000,216.406250,-6.218750,-0.000000,0.000008,-0.000000,-0.000000,302400.000000,4.000000,-0.000321,0.000000,0.000000
24,98,98,0,0,2046,1,0,1553688000,0.000000,1553688000,0.000000,1553681736,0.000000,26560879.728125,0.008252,0.938972,1.233685,0.603137,1.384269,0.000000,-0.000000,-0.000000,204.031250,51.531250,0.000003,0.000009,-0.000000,0.000000,302400.000000,4.000000,-0.000064,-0.000000,0.000000
13,72,72,0,0,2046,1,0,1553688000,0.000000,1553688000,0.000000,1553681736,0.000000,26560215.050723,0.003646,0.968386,0.358630,1.342814,2.206338,0.000000,-0.000000,-0.000000,226.937500,6.062500,0.000000,0.000008,-0.000000,-0.000000,302400.000000,4.000000,-0.000070,0.000000,0.000000
