timeOfWeek, lla0,lla1,lla2,ned0,ned1,ned2,theta0,theta1,theta2
295390.693, 59.3527397, 18.0728592, 27.26, 1565.055542, -1939.488159, 3.938851,   5.3,   3.0,  58.7
295390.733, 59.3527397, 18.0728592, 27.24, 1565.055786, -1939.487915, 3.951700,   5.3,   3.0,  58.7
295390.773, 59.3527397, 18.0728592, 27.23, 1565.055786, -1939.488159, 3.970005,   5.3,   3.0,  58.7
295390.813, 59.3527397, 18.0728592, 27.21, 1565.055786, -1939.488159, 3.982158,   5.3,   3.0,  58.7
295390.853, 59.3527397, 18.0728592, 27.20, 1565.055786, -1939.488159, 3.994697,   5.3,   3.0,  58.7
295390.893, 59.3527397, 18.0728592, 27.19, 1565.055786, -1939.488159, 4.007583,   5.3,   3.0,  58.7
295390.933, 59.3527397, 18.0728592, 27.18, 1565.055786, -1939.487915, 4.018228,   5.3,   3.0,  58.7
295390.973, 59.3527397, 18.0728592, 27.17, 1565.055786, -1939.487915, 4.028498,   5.3,   3.0,  58.7
295391.013, 59.3527397, 18.0728592, 27.16, 1565.055786, -1939.487915, 4.040574,   5.3,   3.1,  58.7
295391.053, 59.3527397, 18.0728592, 27.14, 1565.055786, -1939.488159, 4.054523,   5.3,   3.0,  58.7
295391.093, 59.3527397, 18.0728592, 27.13, 1565.055786, -1939.488159, 4.061104,   5.3,   3.0,  58.7
295391.133, 59.3527397, 18.0728592, 27.13, 1565.055786, -1939.488159, 4.070762,   5.3,   3.0,  58.7
295391.173, 59.3527397, 18.0728592, 27.11, 1565.055542, -1939.488159, 4.083373,   5.3,   3.0,  58.7
295391.213, 59.3527397, 18.0728592, 27.11, 1565.055542, -1939.488159, 4.090377,   5.3,   3.0,  58.7
295391.253, 59.3527397, 18.0728592, 27.09, 1565.055542, -1939.488159, 4.102956,   5.3,   3.0,  58.7
295391.293, 59.3527397, 18.0728592, 27.08, 1565.055542, -1939.488159, 4.112878,   5.3,   3.0,  58.7
295391.333, 59.3527397, 18.0728592, 27.08, 1565.055542, -1939.488159, 4.119038,   5.2,   3.1,  58.7
295391.373, 59.3527397, 18.0728592, 27.07, 1565.055542, -1939.488159, 4.127251,   5.1,   3.1,  58.7
295391.413, 59.3527397, 18.0728592, 27.06, 1565.055542, -1939.488159, 4.139400,   5.1,   3.1,  58.7
295391.453, 59.3527397, 18.0728592, 27.05, 1565.055542, -1939.488159, 4.147940,   5.1,   3.1,  58.7
295391.493, 59.3527397, 18.0728592, 27.04, 1565.055542, -1939.488159, 4.157700,   5.1,   3.1,  58.7
295391.533, 59.3527397, 18.0728592, 27.03, 1565.055786, -1939.488159, 4.165154,   5.1,   3.1,  58.7
