timeOfWeek, lla0,lla1,lla2,ned0,ned1,ned2,theta0,theta1,theta2
294657.540, 59.3527388, 18.0728495, 28.92, 1564.955688, -1940.036621, 2.274236,  -1.6,   1.3, -165.6
294657.580, 59.3527389, 18.0728491, 28.93, 1564.963135, -1940.060669, 2.270128,  -1.6,   1.3, -165.7
294657.620, 59.3527389, 18.0728487, 28.93, 1564.970581, -1940.085205, 2.269645,  -1.6,   1.3, -165.7
294657.660, 59.3527390, 18.0728482, 28.93, 1564.977905, -1940.109741, 2.268286,  -1.6,   1.3, -165.7
294657.700, 59.3527391, 18.0728478, 28.93, 1564.984985, -1940.133301, 2.264762,  -1.5,   1.3, -165.7
294657.740, 59.3527389, 18.0728486, 28.93, 1564.969482, -1940.088135, 2.262711,  -1.4,   1.3, -165.7
294657.780, 59.3527390, 18.0728481, 28.93, 1564.978516, -1940.117065, 2.266674,  -1.4,   1.3, -165.7
294657.820, 59.3527391, 18.0728476, 28.93, 1564.987549, -1940.146118, 2.268934,  -1.4,   1.3, -165.7
294657.860, 59.3527392, 18.0728472, 28.93, 1564.994995, -1940.170654, 2.266207,  -1.4,   1.3, -165.7
294657.900, 59.3527392, 18.0728467, 28.93, 1565.002563, -1940.196167, 2.268378,  -1.4,   1.3, -165.7
294657.940, 59.3527390, 18.0728478, 28.93, 1564.982910, -1940.136719, 2.265858,  -1.4,   1.3, -165.7
294657.980, 59.3527391, 18.0728473, 28.93, 1564.990601, -1940.161377, 2.265892,  -1.4,   1.3, -165.7
294658.020, 59.3527392, 18.0728469, 28.93, 1564.998169, -1940.186401, 2.265487,  -1.4,   1.3, -165.7
294658.060, 59.3527393, 18.0728464, 28.93, 1565.005981, -1940.211792, 2.268352,  -1.4,   1.3, -165.8
294658.100, 59.3527393, 18.0728460, 28.93, 1565.013550, -1940.236938, 2.266695,  -1.3,   1.3, -165.8
294658.140, 59.3527390, 18.0728477, 28.93, 1564.978882, -1940.138794, 2.264074,  -1.4,   1.3, -165.8
294658.180, 59.3527391, 18.0728473, 28.93, 1564.986450, -1940.163574, 2.262893,  -1.4,   1.3, -165.8
294658.220, 59.3527391, 18.0728468, 28.93, 1564.994019, -1940.188477, 2.264111,  -1.4,   1.3, -165.8
294658.260, 59.3527392, 18.0728464, 28.94, 1565.001709, -1940.213257, 2.260942,  -1.4,   1.3, -165.8
294658.300, 59.3527393, 18.0728460, 28.93, 1565.009277, -1940.238525, 2.262680,  -1.3,   1.3, -165.8
294658.340, 59.3527391, 18.0728474, 28.93, 1564.984131, -1940.156250, 2.261785,  -1.3,   1.3, -165.8
294658.380, 59.3527391, 18.0728470, 28.93, 1564.991821, -1940.181152, 2.262030,  -1.4,   1.3, -165.8
294658.420, 59.3527392, 18.0728465, 28.93, 1564.999512, -1940.206055, 2.265339,  -1.3,   1.3, -165.8
294658.460, 59.3527393, 18.0728461, 28.93, 1565.007202, -1940.231201, 2.264382,  -1.3,   1.3, -165.8
294658.500, 59.3527393, 18.0728456, 28.93, 1565.015015, -1940.256592, 2.264357,  -1.3,   1.3, -165.8
294658.540, 59.3527392, 18.0728466, 28.93, 1564.996338, -1940.202881, 2.269928,  -1.4,   1.3, -165.8
294658.580, 59.3527392, 18.0728461, 28.93, 1565.004028, -1940.227905, 2.268201,  -1.4,   1.3, -165.9
294658.620, 59.3527393, 18.0728457, 28.93, 1565.011475, -1940.252563, 2.269321,  -1.3,   1.3, -165.9
294658.660, 59.3527394, 18.0728453, 28.93, 1565.019287, -1940.278564, 2.270390,  -1.3,   1.3, -165.9
294658.700, 59.3527394, 18.0728448, 28.93, 1565.027100, -1940.304077, 2.270164,  -1.4,   1.3, -165.9
294658.740, 59.3527392, 18.0728459, 28.93, 1565.003174, -1940.244385, 2.268845,  -1.3,   1.3, -165.9
294658.780, 59.3527393, 18.0728454, 28.93, 1565.010986, -1940.269897, 2.268859,  -1.3,   1.3, -165.9
294658.820, 59.3527394, 18.0728450, 28.93, 1565.018677, -1940.294922, 2.267420,  -1.3,   1.3, -165.9
294658.860, 59.3527394, 18.0728445, 28.93, 1565.026733, -1940.320435, 2.265582,  -1.3,   1.3, -165.9
294658.900, 59.3527395, 18.0728441, 28.93, 1565.034424, -1940.345581, 2.266021,  -1.3,   1.3, -165.9
294658.940, 59.3527393, 18.0728452, 28.93, 1565.009033, -1940.284058, 2.263236,  -1.3,   1.3, -165.9
294658.980, 59.3527393, 18.0728447, 28.93, 1565.016479, -1940.309204, 2.262676,  -1.3,   1.3, -165.9
294659.020, 59.3527394, 18.0728443, 28.93, 1565.024414, -1940.334839, 2.261426,  -1.3,   1.3, -165.9
294659.060, 59.3527395, 18.0728438, 28.94, 1565.032471, -1940.360474, 2.260530,  -1.3,   1.3, -165.9
294659.100, 59.3527396, 18.0728434, 28.94, 1565.040405, -1940.385986, 2.258952,  -1.3,   1.3, -166.0
294659.140, 59.3527393, 18.0728444, 28.93, 1565.015625, -1940.329346, 2.263731,  -1.3,   1.3, -166.0
294659.180, 59.3527394, 18.0728439, 28.93, 1565.023682, -1940.354980, 2.264592,  -1.3,   1.3, -166.0
294659.220, 59.3527395, 18.0728434, 28.93, 1565.031738, -1940.380737, 2.263556,  -1.3,   1.3, -166.0
294659.260, 59.3527396, 18.0728430, 28.93, 1565.039429, -1940.406616, 2.264868,  -1.2,   1.3, -166.0
294659.300, 59.3527396, 18.0728425, 28.93, 1565.047607, -1940.432495, 2.264547,  -1.2,   1.3, -166.0
294659.340, 59.3527393, 18.0728445, 28.93, 1565.007202, -1940.319824, 2.261346,  -1.3,   1.3, -166.0
294659.380, 59.3527393, 18.0728441, 28.94, 1565.015259, -1940.345215, 2.258716,  -1.3,   1.3, -166.0
294659.420, 59.3527394, 18.0728436, 28.94, 1565.023193, -1940.370605, 2.259955,  -1.2,   1.3, -166.0
294659.460, 59.3527395, 18.0728432, 28.93, 1565.031372, -1940.396729, 2.263882,  -1.2,   1.3, -166.0
294659.500, 59.3527396, 18.0728427, 28.93, 1565.039307, -1940.422852, 2.265546,  -1.2,   1.3, -166.0
294659.540, 59.3527393, 18.0728445, 28.93, 1565.008911, -1940.318604, 2.266070,  -1.3,   1.3, -166.0
294659.580, 59.3527394, 18.0728441, 28.93, 1565.016846, -1940.344238, 2.267595,  -1.3,   1.3, -166.1
294659.620, 59.3527394, 18.0728436, 28.93, 1565.024780, -1940.369507, 2.269777,  -1.3,   1.3, -166.1
294659.660, 59.3527395, 18.0728432, 28.93, 1565.032593, -1940.394653, 2.266069,  -1.2,   1.3, -166.1
294659.700, 59.3527396, 18.0728427, 28.93, 1565.041138, -1940.421265, 2.267382,  -1.3,   1.3, -166.1
294659.740, 59.3527394, 18.0728441, 28.93, 1565.023682, -1940.345703, 2.265902,  -1.3,   1.3, -166.1
294659.780, 59.3527395, 18.0728436, 28.93, 1565.031860, -1940.370972, 2.262248,  -1.3,   1.3, -166.1
294659.820, 59.3527396, 18.0728432, 28.94, 1565.039795, -1940.396729, 2.257443,  -1.3,   1.3, -166.1
294659.860, 59.3527396, 18.0728427, 28.94, 1565.047852, -1940.422119, 2.255806,  -1.2,   1.3, -166.1
294659.900, 59.3527397, 18.0728423, 28.94, 1565.056152, -1940.447998, 2.254553,  -1.2,   1.3, -166.1
294659.940, 59.3527395, 18.0728436, 28.94, 1565.028564, -1940.374268, 2.255226,  -1.3,   1.3, -166.1
294659.980, 59.3527395, 18.0728431, 28.94, 1565.036865, -1940.399780, 2.253657,  -1.3,   1.3, -166.1
294660.020, 59.3527396, 18.0728427, 28.94, 1565.045166, -1940.425903, 2.253482,  -1.3,   1.3, -166.1
