sat, iode, iodc, sva, svh, week, code, flag,toe1, toe2, toc1, toc2, ttr1, ttr2, A, e, i0, OMG0, omg, M0, deln, OMGd, idot, crc, crs, cuc, cus, cic, cis, toes, fit, f0, f1, f2
67,105,105,107,0,2046,1,0,1553679000,0.000000,1553679000,0.000000,1553680259,0.000000,29600196.541875,0.000234,0.959255,-0.127175,-0.572350,2.472093,0.000000,-0.000000,-0.000000,185.000000,-11.468750,-0.000000,0.000007,-0.000000,0.000000,293400.000000,0.000000,0.006382,-0.000000,0.000000
83,99,99,107,0,2046,1,0,1553675400,0.000000,1553675400,0.000000,1553680259,0.000000,29600272.128959,0.000605,0.985951,1.977741,0.838205,0.874582,0.000000,-0.000000,-0.000000,219.312500,96.843750,0.000005,0.000006,-0.000000,-0.000000,289800.000000,0.000000,0.006164,-0.000000,0.000000
61,102,102,107,0,2046,1,0,1553677200,0.000000,1553677200,0.000000,1553680259,0.000000,29600329.307062,0.000300,0.988392,1.974365,0.614198,-0.247434,0.000000,-0.000000,-0.000000,221.968750,123.625000,0.000006,0.000006,0.000000,0.000000,291600.000000,0.000000,0.000053,0.000000,0.000000
71,99,99,107,0,2046,1,0,1553675400,0.000000,1553675400,0.000000,1553680259,0.000000,29600236.224044,0.000525,0.982895,-2.224960,-0.543924,0.972102,0.000000,-0.000000,0.000000,204.781250,-81.656250,-0.000004,0.000007,-0.000000,-0.000000,289800.000000,0.000000,0.006464,0.000000,0.000000
66,105,105,107,0,2046,1,0,1553679000,0.000000,1553679000,0.000000,1553680259,0.000000,29600209.471784,0.000266,0.953319,-0.118887,-1.021298,2.134755,0.000000,-0.000000,-0.000000,179.156250,-12.156250,-0.000000,0.000007,0.000000,-0.000000,293400.000000,0.000000,-0.000157,-0.000000,0.000000
84,105,105,107,0,2046,1,0,1553679000,0.000000,1553679000,0.000000,1553680259,0.000000,29600351.825496,0.000037,0.987953,1.971747,0.612592,0.778798,0.000000,-0.000000,-0.000000,226.562500,105.125000,0.000005,0.000006,-0.000000,-0.000000,293400.000000,0.000000,0.001853,-0.000000,0.000000
15,116,116,0,0,2046,1,0,1553680800,0.000000,1553680800,0.000000,1553680266,0.000000,26560140.009876,0.011255,0.928432,0.144016,0.768492,1.347739,0.000000,-0.000000,-0.000000,215.156250,-4.125000,-0.000000,0.000008,-0.000000,0.000000,295200.000000,4.000000,-0.000321,0.000000,0.000000
13,71,71,0,0,2046,1,0,1553680800,0.000000,1553680800,0.000000,1553680266,0.000000,26560211.217090,0.003646,0.968387,0.358687,1.342761,1.156200,0.000000,-0.000000,-0.000000,225.406250,5.718750,0.000000,0.000008,-0.000000,0.000000,295200.000000,4.000000,-0.000070,0.000000,0.000000
28,15,15,0,0,2046,1,0,1553680800,0.000000,1553680800,0.000000,1553680266,0.000000,26560655.586078,0.019138,0.982725,2.420859,-1.469579,3.054626,0.000000,-0.000000,-0.000000,293.812500,52.875000,0.000003,0.000005,0.000000,0.000000,295200.000000,4.000000,0.000767,0.000000,0.000000
24,94,94,0,0,2046,1,0,1553680800,0.000000,1553680800,0.000000,1553680266,0.000000,26560896.085165,0.008253,0.938974,1.233745,0.603201,0.334052,0.000000,-0.000000,-0.000000,198.656250,55.031250,0.000003,0.000009,0.000000,0.000000,295200.000000,4.000000,-0.000064,-0.000000,0.000000
