timeOfWeek, lla0,lla1,lla2,ned0,ned1,ned2,theta0,theta1,theta2
393938.280, 59.3529986, 18.0731290, 26.74, 1593.828247, -1924.197754, 4.456244, -10.4,  -3.0,  43.8
393938.320, 59.3529986, 18.0731290, 26.74, 1593.828247, -1924.197754, 4.454209, -10.4,  -3.0,  43.8
393938.360, 59.3529986, 18.0731290, 26.74, 1593.828247, -1924.197754, 4.452402, -10.4,  -3.0,  43.8
393938.400, 59.3529986, 18.0731290, 26.75, 1593.828125, -1924.197754, 4.448910, -10.4,  -3.0,  43.8
393938.440, 59.3529986, 18.0731290, 26.75, 1593.828125, -1924.197754, 4.446424, -10.4,  -3.0,  43.8
393938.480, 59.3529986, 18.0731290, 26.75, 1593.828491, -1924.197510, 4.443502, -10.4,  -3.0,  43.8
393938.520, 59.3529986, 18.0731290, 26.75, 1593.828491, -1924.197510, 4.441052, -10.4,  -3.0,  43.8
393938.560, 59.3529986, 18.0731290, 26.76, 1593.828247, -1924.197510, 4.438722, -10.4,  -3.0,  43.8
393938.600, 59.3529986, 18.0731290, 26.76, 1593.828247, -1924.197510, 4.436510, -10.4,  -3.0,  43.8
393938.640, 59.3529986, 18.0731290, 26.76, 1593.828247, -1924.197510, 4.434468, -10.4,  -3.0,  43.8
393938.680, 59.3529986, 18.0731290, 26.76, 1593.828491, -1924.197510, 4.431954, -10.4,  -3.0,  43.8
393938.720, 59.3529986, 18.0731290, 26.77, 1593.828491, -1924.197510, 4.428888, -10.4,  -3.0,  43.8
393938.760, 59.3529986, 18.0731290, 26.77, 1593.828491, -1924.197510, 4.426146, -10.4,  -3.0,  43.8
393938.800, 59.3529986, 18.0731290, 26.77, 1593.828247, -1924.197510, 4.424147, -10.4,  -3.0,  43.8
393938.840, 59.3529986, 18.0731290, 26.77, 1593.828491, -1924.197510, 4.422823, -10.4,  -3.0,  43.8
393938.880, 59.3529986, 18.0731290, 26.78, 1593.828491, -1924.197510, 4.420696, -10.4,  -3.0,  43.8
393938.920, 59.3529986, 18.0731290, 26.78, 1593.828491, -1924.197510, 4.419063, -10.4,  -3.0,  43.8
393938.960, 59.3529986, 18.0731290, 26.78, 1593.828491, -1924.197510, 4.417136, -10.4,  -3.0,  43.8
393939.000, 59.3529986, 18.0731290, 26.78, 1593.828247, -1924.197510, 4.414338, -10.4,  -3.0,  43.8
393939.040, 59.3529986, 18.0731290, 26.78, 1593.828247, -1924.197510, 4.413175, -10.4,  -3.0,  43.8
393939.080, 59.3529986, 18.0731290, 26.78, 1593.828247, -1924.197388, 4.411208, -10.4,  -3.0,  43.8
393939.120, 59.3529986, 18.0731290, 26.79, 1593.828247, -1924.197388, 4.408438, -10.4,  -3.0,  43.8
393939.160, 59.3529986, 18.0731290, 26.79, 1593.828247, -1924.197388, 4.405694, -10.4,  -3.0,  43.8
393939.200, 59.3529986, 18.0731290, 26.79, 1593.828247, -1924.197388, 4.404103, -10.4,  -3.0,  43.8
393939.240, 59.3529986, 18.0731290, 26.79, 1593.828125, -1924.197388, 4.401835, -10.4,  -3.0,  43.8
393939.280, 59.3529986, 18.0731290, 26.80, 1593.828247, -1924.197388, 4.400876, -10.4,  -3.0,  43.8
393939.320, 59.3529986, 18.0731290, 26.80, 1593.828247, -1924.197388, 4.398694, -10.4,  -3.0,  43.8
393939.360, 59.3529986, 18.0731290, 26.80, 1593.828125, -1924.197388, 4.396918, -10.4,  -3.0,  43.8
393939.400, 59.3529986, 18.0731290, 26.80, 1593.828125, -1924.197388, 4.394527, -10.4,  -3.0,  43.8
393939.440, 59.3529986, 18.0731290, 26.80, 1593.828125, -1924.197388, 4.392928, -10.4,  -3.0,  43.8
393939.480, 59.3529986, 18.0731290, 26.81, 1593.828247, -1924.197388, 4.391005, -10.4,  -3.0,  43.8
393939.520, 59.3529986, 18.0731290, 26.81, 1593.828125, -1924.197388, 4.389114, -10.4,  -3.0,  43.8
393939.560, 59.3529986, 18.0731290, 26.81, 1593.828125, -1924.197388, 4.386476, -10.4,  -3.0,  43.8
393939.600, 59.3529986, 18.0731290, 26.81, 1593.828125, -1924.197388, 4.383802, -10.4,  -3.0,  43.8
393939.640, 59.3529986, 18.0731290, 26.81, 1593.827881, -1924.197388, 4.381831, -10.4,  -3.0,  43.8
393939.680, 59.3529986, 18.0731290, 26.82, 1593.828125, -1924.197388, 4.380090, -10.4,  -3.0,  43.8
393939.720, 59.3529986, 18.0731290, 26.82, 1593.828125, -1924.197388, 4.376374, -10.4,  -3.0,  43.8
393939.760, 59.3529986, 18.0731290, 26.82, 1593.827881, -1924.197388, 4.374045, -10.4,  -3.0,  43.8
393939.800, 59.3529986, 18.0731290, 26.82, 1593.827881, -1924.197388, 4.371993, -10.4,  -3.0,  43.8
393939.840, 59.3529986, 18.0731290, 26.83, 1593.827881, -1924.197388, 4.369211, -10.4,  -3.0,  43.8
393939.880, 59.3529986, 18.0731290, 26.83, 1593.828125, -1924.197388, 4.366923, -10.4,  -3.0,  43.8
393939.920, 59.3529986, 18.0731290, 26.83, 1593.828125, -1924.197388, 4.364590, -10.4,  -3.0,  43.8
393939.960, 59.3529986, 18.0731290, 26.83, 1593.827881, -1924.197388, 4.362645, -10.4,  -3.0,  43.8
393940.000, 59.3529986, 18.0731290, 26.84, 1593.827881, -1924.197510, 4.360589, -10.4,  -3.0,  43.8
393940.040, 59.3529986, 18.0731290, 26.84, 1593.827881, -1924.197510, 4.358321, -10.4,  -3.0,  43.8
393940.080, 59.3529986, 18.0731290, 26.84, 1593.827881, -1924.197388, 4.356348, -10.4,  -3.0,  43.8
393940.120, 59.3529986, 18.0731290, 26.84, 1593.827881, -1924.197388, 4.354252, -10.4,  -3.0,  43.8
393940.160, 59.3529986, 18.0731290, 26.85, 1593.827759, -1924.197388, 4.351017, -10.4,  -3.0,  43.8
393940.200, 59.3529986, 18.0731290, 26.85, 1593.827759, -1924.197510, 4.349008, -10.4,  -3.0,  43.8
393940.240, 59.3529986, 18.0731290, 26.85, 1593.827759, -1924.197510, 4.348111, -10.4,  -3.0,  43.8
393940.280, 59.3529986, 18.0731290, 26.85, 1593.827881, -1924.197388, 4.345646, -10.4,  -3.0,  43.8
393940.320, 59.3529986, 18.0731290, 26.85, 1593.827881, -1924.197388, 4.343721, -10.4,  -3.0,  43.8
393940.360, 59.3529986, 18.0731290, 26.85, 1593.827881, -1924.197388, 4.342573, -10.4,  -3.0,  43.8
393940.400, 59.3529986, 18.0731290, 26.86, 1593.827759, -1924.197388, 4.339972, -10.4,  -3.0,  43.8
393940.440, 59.3529986, 18.0731290, 26.86, 1593.827759, -1924.197388, 4.338392, -10.4,  -3.0,  43.8
393940.480, 59.3529986, 18.0731290, 26.86, 1593.827759, -1924.197388, 4.336977, -10.4,  -3.0,  43.8
393940.520, 59.3529986, 18.0731290, 26.86, 1593.827759, -1924.197388, 4.334877, -10.4,  -3.0,  43.8
393940.560, 59.3529986, 18.0731290, 26.86, 1593.827759, -1924.197388, 4.332830, -10.4,  -3.0,  43.8
393940.600, 59.3529986, 18.0731290, 26.87, 1593.827515, -1924.197388, 4.330917, -10.4,  -3.0,  43.8
393940.640, 59.3529986, 18.0731290, 26.87, 1593.827515, -1924.197388, 4.328686, -10.4,  -3.0,  43.8
393940.680, 59.3529986, 18.0731290, 26.87, 1593.827515, -1924.197388, 4.327414, -10.4,  -3.0,  43.8
393940.720, 59.3529986, 18.0731290, 26.87, 1593.827515, -1924.197388, 4.326700, -10.4,  -3.0,  43.8
393940.760, 59.3529986, 18.0731290, 26.87, 1593.827393, -1924.197388, 4.324647, -10.4,  -3.0,  43.8
393940.800, 59.3529986, 18.0731290, 26.87, 1593.827393, -1924.197388, 4.322773, -10.4,  -3.0,  43.8
393940.840, 59.3529986, 18.0731290, 26.87, 1593.827393, -1924.197388, 4.321340, -10.4,  -3.0,  43.8
393940.880, 59.3529986, 18.0731290, 26.88, 1593.827393, -1924.197388, 4.318771, -10.4,  -3.0,  43.8
393940.920, 59.3529986, 18.0731290, 26.88, 1593.827393, -1924.197388, 4.316478, -10.4,  -3.0,  43.8
393940.960, 59.3529986, 18.0731290, 26.88, 1593.827393, -1924.197388, 4.315483, -10.4,  -3.0,  43.8
393941.000, 59.3529986, 18.0731290, 26.88, 1593.827148, -1924.197510, 4.312562, -10.4,  -3.0,  43.8
