ToWms, noSats, ecef[0], ecef[1], ecef[2], lla[0], lla[1], lla[2], hMSL, hAcc, vAcc, pDop, towOffset
573303400,0,3098534.400000,1011155.550000,5464107.630000,59.352907,18.073239,31.999000,7.756001,0.500000,0.889000,1.000000,573073.536989
573303600,0,3098534.370000,1011155.540000,5464107.600000,59.352907,18.073239,31.953000,7.710001,0.500000,0.888000,1.010000,573073.536989
573303800,0,3098534.350000,1011155.530000,5464107.560000,59.352907,18.073239,31.905000,7.662000,0.500000,0.888000,1.010000,573073.536989
573304000,0,3098534.320000,1011155.510000,5464107.510000,59.352907,18.073239,31.850000,7.607000,0.501000,0.887000,1.010000,573073.537050
573304200,0,3098534.300000,1011155.500000,5464107.480000,59.352907,18.073238,31.809000,7.566000,0.501000,0.887000,1.010000,573073.537050
573304400,0,3098534.280000,1011155.490000,5464107.440000,59.352907,18.073238,31.762000,7.519001,0.501000,0.886000,1.080000,573073.537050
573304600,0,3098534.260000,1011155.480000,5464107.390000,59.352907,18.073238,31.714000,7.471000,0.501000,0.886000,1.080000,573073.537050
573304800,0,3098534.240000,1011155.470000,5464107.360000,59.352907,18.073238,31.672000,7.429000,0.502000,0.886000,1.080000,573073.537050
573305000,0,3098534.220000,1011155.460000,5464107.320000,59.352907,18.073238,31.628000,7.385000,0.502000,0.886000,1.030000,573073.537019
573305200,0,3098534.190000,1011155.430000,5464107.260000,59.352907,18.073238,31.561000,7.318000,0.502000,0.886000,1.030000,573073.537019
573305400,0,3098534.180000,1011155.420000,5464107.230000,59.352907,18.073238,31.525000,7.282001,0.503000,0.886000,1.030000,573073.537019
573305600,0,3098534.160000,1011155.400000,5464107.200000,59.352907,18.073238,31.483000,7.240000,0.503000,0.885000,1.030000,573073.537019
573305800,0,3098534.120000,1011155.380000,5464107.150000,59.352908,18.073237,31.420000,7.177001,0.504000,0.885000,1.080000,573073.537019
573306000,0,3098534.100000,1011155.360000,5464107.120000,59.352908,18.073237,31.380000,7.137001,0.504000,0.885000,1.080000,573073.537080
573306200,0,3098534.070000,1011155.340000,5464107.080000,59.352908,18.073237,31.330000,7.087000,0.504000,0.885000,1.080000,573073.537080
573306400,0,3098534.040000,1011155.320000,5464107.040000,59.352908,18.073237,31.276000,7.033000,0.504000,0.885000,1.080000,573073.537080
573306600,0,3098534.020000,1011155.310000,5464107.010000,59.352908,18.073237,31.244000,7.001000,0.505000,0.885000,1.080000,573073.537080
573306800,0,3098533.990000,1011155.290000,5464106.980000,59.352908,18.073237,31.195000,6.952000,0.505000,0.885000,1.080000,573073.537080
573307000,0,3098533.970000,1011155.280000,5464106.940000,59.352908,18.073237,31.155000,6.912000,0.505000,0.885000,1.080000,573073.537050
573307200,0,3098533.950000,1011155.260000,5464106.920000,59.352908,18.073237,31.122000,6.879000,0.505000,0.885000,1.080000,573073.537050
573307400,0,3098533.920000,1011155.250000,5464106.880000,59.352908,18.073236,31.075000,6.832000,0.506000,0.885000,1.080000,573073.537050
573307600,0,3098533.890000,1011155.230000,5464106.850000,59.352908,18.073236,31.028000,6.785000,0.506000,0.885000,1.030000,573073.537050
573307800,0,3098533.850000,1011155.220000,5464106.820000,59.352908,18.073236,30.987000,6.744000,0.506000,0.885000,1.030000,573073.537050
573308000,0,3098533.820000,1011155.200000,5464106.790000,59.352908,18.073236,30.935000,6.692000,0.506000,0.885000,1.030000,573073.537111
573308200,0,3098533.790000,1011155.180000,5464106.750000,59.352909,18.073236,30.884000,6.641000,0.506000,0.885000,0.970000,573073.537111
573308400,0,3098533.750000,1011155.170000,5464106.710000,59.352909,18.073236,30.828000,6.585001,0.507000,0.885000,0.970000,573073.537111
573308600,0,3098533.730000,1011155.160000,5464106.680000,59.352909,18.073236,30.790000,6.547000,0.507000,0.884000,0.970000,573073.537111
573308800,0,3098533.700000,1011155.150000,5464106.660000,59.352909,18.073236,30.758000,6.515000,0.507000,0.885000,1.010000,573073.537111
573309000,0,3098533.670000,1011155.140000,5464106.640000,59.352909,18.073236,30.722000,6.479000,0.507000,0.885000,1.010000,573073.537080
573309200,0,3098533.650000,1011155.130000,5464106.630000,59.352909,18.073236,30.701000,6.458000,0.507000,0.886000,1.010000,573073.537080
573309400,0,3098533.620000,1011155.120000,5464106.610000,59.352909,18.073236,30.670000,6.427001,0.507000,0.886000,1.010000,573073.537080
573309600,0,3098533.600000,1011155.100000,5464106.580000,59.352909,18.073236,30.639000,6.396000,0.507000,0.886000,1.010000,573073.537080
573309800,0,3098533.570000,1011155.090000,5464106.550000,59.352909,18.073236,30.595000,6.352000,0.507000,0.885000,1.010000,573073.537080
573310000,0,3098533.550000,1011155.080000,5464106.530000,59.352909,18.073236,30.568000,6.325000,0.507000,0.885000,1.010000,573073.537141
573310200,0,3098533.530000,1011155.080000,5464106.510000,59.352910,18.073236,30.538000,6.295000,0.507000,0.885000,1.010000,573073.537141
573310400,0,3098533.510000,1011155.070000,5464106.500000,59.352910,18.073236,30.519000,6.276000,0.507000,0.885000,1.010000,573073.537141
573310600,0,3098533.490000,1011155.050000,5464106.480000,59.352910,18.073235,30.488000,6.245000,0.506000,0.885000,1.010000,573073.537141
573310800,0,3098533.470000,1011155.050000,5464106.470000,59.352910,18.073235,30.468000,6.225000,0.506000,0.885000,1.010000,573073.537141
573311000,0,3098533.450000,1011155.040000,5464106.450000,59.352910,18.073235,30.438000,6.195000,0.506000,0.885000,0.970000,573073.537111
573311200,0,3098533.430000,1011155.030000,5464106.440000,59.352910,18.073235,30.421000,6.178000,0.506000,0.885000,0.970000,573073.537111
573311400,0,3098533.430000,1011155.030000,5464106.440000,59.352910,18.073235,30.422000,6.179000,0.506000,0.885000,0.970000,573073.537111
573311600,0,3098533.420000,1011155.030000,5464106.440000,59.352910,18.073235,30.418000,6.175000,0.505000,0.884000,0.970000,573073.537111
573311800,0,3098533.400000,1011155.020000,5464106.430000,59.352910,18.073235,30.401000,6.158000,0.505000,0.884000,1.010000,573073.537111
573312000,0,3098533.400000,1011155.030000,5464106.440000,59.352910,18.073235,30.407000,6.164001,0.505000,0.884000,1.010000,573073.537172
573312200,0,3098533.390000,1011155.030000,5464106.460000,59.352911,18.073235,30.415000,6.172000,0.504000,0.884000,1.010000,573073.537172
573312400,0,3098533.380000,1011155.020000,5464106.460000,59.352911,18.073235,30.412000,6.169000,0.504000,0.884000,1.010000,573073.537172
573312600,0,3098533.370000,1011155.020000,5464106.450000,59.352911,18.073236,30.398000,6.155000,0.504000,0.884000,1.010000,573073.537172
573312800,0,3098533.350000,1011155.010000,5464106.450000,59.352911,18.073236,30.386000,6.143000,0.504000,0.884000,1.010000,573073.537172
573313000,0,3098533.330000,1011155.010000,5464106.450000,59.352911,18.073236,30.382000,6.139000,0.504000,0.884000,1.010000,573073.537141
573313200,0,3098533.320000,1011155.010000,5464106.460000,59.352911,18.073236,30.383000,6.140000,0.503000,0.884000,1.010000,573073.537141
573313400,0,3098533.310000,1011155.010000,5464106.470000,59.352911,18.073236,30.384000,6.141000,0.503000,0.885000,1.010000,573073.537141
573313600,0,3098533.310000,1011155.010000,5464106.480000,59.352911,18.073236,30.390000,6.147000,0.503000,0.885000,1.010000,573073.537141
573313800,0,3098533.300000,1011155.010000,5464106.470000,59.352911,18.073236,30.382000,6.139000,0.503000,0.885000,1.010000,573073.537141
573314000,0,3098533.280000,1011155.000000,5464106.470000,59.352911,18.073236,30.373000,6.130000,0.503000,0.886000,1.010000,573073.537203
573314200,0,3098533.260000,1011155.000000,5464106.460000,59.352912,18.073236,30.352000,6.109000,0.503000,0.886000,1.010000,573073.537203
573314400,0,3098533.250000,1011155.000000,5464106.470000,59.352912,18.073236,30.355000,6.112000,0.503000,0.886000,1.010000,573073.537203
573314600,0,3098533.240000,1011154.990000,5464106.470000,59.352912,18.073236,30.350000,6.107000,0.503000,0.887000,0.970000,573073.537203
573314800,0,3098533.230000,1011154.990000,5464106.470000,59.352912,18.073236,30.346000,6.103000,0.503000,0.887000,1.010000,573073.537203
573315000,0,3098533.210000,1011154.990000,5464106.470000,59.352912,18.073236,30.335000,6.092000,0.503000,0.887000,1.010000,573073.537172
573315200,0,3098533.210000,1011154.990000,5464106.490000,59.352912,18.073236,30.348000,6.105000,0.503000,0.887000,1.000000,573073.537172
573315400,0,3098533.190000,1011155.000000,5464106.500000,59.352912,18.073236,30.349000,6.106000,0.503000,0.887000,1.000000,573073.537172
573315600,0,3098533.180000,1011155.000000,5464106.510000,59.352912,18.073236,30.352000,6.109000,0.503000,0.888000,1.000000,573073.537172
573315800,0,3098533.180000,1011155.000000,5464106.520000,59.352912,18.073236,30.359000,6.116000,0.503000,0.888000,1.000000,573073.537172
573316000,0,3098533.170000,1011155.000000,5464106.520000,59.352913,18.073236,30.361000,6.118001,0.503000,0.888000,1.000000,573073.537233
573316200,0,3098533.150000,1011155.000000,5464106.530000,59.352913,18.073236,30.359000,6.116000,0.503000,0.889000,0.950000,573073.537233
573316400,0,3098533.130000,1011155.000000,5464106.540000,59.352913,18.073237,30.355000,6.112000,0.503000,0.889000,0.950000,573073.537233
573316600,0,3098533.110000,1011155.000000,5464106.540000,59.352913,18.073237,30.346000,6.103000,0.502000,0.889000,0.950000,573073.537233
573316800,0,3098533.090000,1011155.000000,5464106.540000,59.352913,18.073237,30.338000,6.095000,0.502000,0.889000,0.950000,573073.537233
573317000,0,3098533.070000,1011155.010000,5464106.540000,59.352913,18.073237,30.332000,6.089000,0.501000,0.889000,1.000000,573073.537203
573317200,0,3098533.060000,1011155.010000,5464106.540000,59.352913,18.073237,30.325000,6.082000,0.501000,0.889000,1.000000,573073.537203
573317400,0,3098533.030000,1011155.010000,5464106.540000,59.352914,18.073237,30.313000,6.070000,0.501000,0.888000,1.000000,573073.537203
573317600,0,3098533.020000,1011155.020000,5464106.540000,59.352914,18.073237,30.310000,6.067000,0.500000,0.888000,1.000000,573073.537203
573317800,0,3098533.000000,1011155.020000,5464106.530000,59.352914,18.073237,30.288000,6.045000,0.500000,0.888000,1.060000,573073.537203
573318000,0,3098532.970000,1011155.010000,5464106.510000,59.352914,18.073238,30.255000,6.012000,0.499000,0.887000,1.060000,573073.537264
573318200,0,3098532.960000,1011155.020000,5464106.520000,59.352914,18.073238,30.254000,6.011000,0.499000,0.887000,1.060000,573073.537264
573318400,0,3098532.940000,1011155.020000,5464106.520000,59.352914,18.073238,30.250000,6.007000,0.499000,0.886000,1.060000,573073.537264
573318600,0,3098532.920000,1011155.030000,5464106.520000,59.352914,18.073238,30.241000,5.998000,0.498000,0.886000,1.060000,573073.537264
573318800,0,3098532.900000,1011155.030000,5464106.510000,59.352914,18.073238,30.227000,5.984000,0.498000,0.886000,1.060000,573073.537264
573319000,0,3098532.880000,1011155.040000,5464106.510000,59.352914,18.073238,30.216000,5.973000,0.498000,0.885000,1.060000,573073.537233
573319200,0,3098532.870000,1011155.040000,5464106.500000,59.352915,18.073239,30.205000,5.962000,0.498000,0.885000,1.060000,573073.537233
573319400,0,3098532.850000,1011155.050000,5464106.500000,59.352915,18.073239,30.195000,5.952000,0.497000,0.885000,1.060000,573073.537233
573319600,0,3098532.830000,1011155.060000,5464106.500000,59.352915,18.073239,30.189000,5.946000,0.497000,0.885000,1.000000,573073.537233
573319800,0,3098532.800000,1011155.060000,5464106.500000,59.352915,18.073239,30.174000,5.931000,0.497000,0.884000,1.000000,573073.537233
573320000,0,3098532.780000,1011155.070000,5464106.490000,59.352915,18.073239,30.158000,5.915000,0.497000,0.884000,1.000000,573073.537294
573320200,0,3098532.770000,1011155.070000,5464106.500000,59.352915,18.073240,30.162000,5.919000,0.497000,0.884000,1.000000,573073.537294
573320400,0,3098532.750000,1011155.080000,5464106.500000,59.352915,18.073240,30.154000,5.911000,0.497000,0.884000,1.000000,573073.537294
573320600,0,3098532.740000,1011155.090000,5464106.510000,59.352915,18.073240,30.162000,5.919000,0.497000,0.884000,1.000000,573073.537294
573320800,0,3098532.730000,1011155.100000,5464106.510000,59.352915,18.073240,30.154000,5.911000,0.497000,0.884000,1.060000,573073.537294
573321000,0,3098532.700000,1011155.100000,5464106.500000,59.352916,18.073241,30.131000,5.888000,0.497000,0.884000,1.060000,573073.537264
573321200,0,3098532.690000,1011155.110000,5464106.500000,59.352916,18.073241,30.131000,5.888000,0.497000,0.884000,1.060000,573073.537264
573321400,0,3098532.680000,1011155.120000,5464106.500000,59.352916,18.073241,30.127000,5.884000,0.497000,0.884000,1.060000,573073.537264
573321600,0,3098532.670000,1011155.130000,5464106.500000,59.352916,18.073241,30.126000,5.883000,0.497000,0.884000,1.060000,573073.537264
573321800,0,3098532.670000,1011155.140000,5464106.510000,59.352916,18.073241,30.126000,5.883000,0.498000,0.884000,1.060000,573073.537264
573322000,0,3098532.670000,1011155.150000,5464106.520000,59.352916,18.073242,30.135000,5.892000,0.498000,0.884000,1.060000,573073.537325
573322200,0,3098532.670000,1011155.160000,5464106.530000,59.352916,18.073242,30.148000,5.905000,0.498000,0.884000,1.060000,573073.537325
573322400,0,3098532.660000,1011155.170000,5464106.540000,59.352916,18.073242,30.150000,5.907000,0.499000,0.885000,1.060000,573073.537325
573322600,0,3098532.650000,1011155.180000,5464106.550000,59.352916,18.073242,30.158000,5.915000,0.499000,0.886000,1.060000,573073.537325
573322800,0,3098532.640000,1011155.190000,5464106.560000,59.352916,18.073242,30.167000,5.924000,0.500000,0.886000,1.060000,573073.537325
573323000,0,3098532.650000,1011155.200000,5464106.590000,59.352916,18.073243,30.197000,5.954000,0.500000,0.886000,1.060000,573073.537294
