ToWms, noSats, ecef[0], ecef[1], ecef[2], lla[0], lla[1], lla[2], hMSL, hAcc, vAcc, pDop, towOffset
570458000,0,3098536.330000,1011150.710000,5464109.790000,59.352914,18.073147,34.030000,9.787001,0.973000,1.305000,1.150000,553056.513002
570458200,0,3098536.320000,1011150.710000,5464109.780000,59.352915,18.073147,34.007000,9.764001,0.996000,1.336000,1.150000,553056.513002
570458400,0,3098536.300000,1011150.710000,5464109.770000,59.352915,18.073147,33.992000,9.749001,1.022000,1.370000,1.150000,553056.513002
570458600,0,3098536.270000,1011150.710000,5464109.740000,59.352915,18.073148,33.955000,9.712001,1.033000,1.385000,1.150000,553056.513002
570458800,0,3098536.250000,1011150.710000,5464109.740000,59.352915,18.073148,33.945000,9.702001,1.034000,1.387000,1.150000,553056.513002
570459000,0,3098536.230000,1011150.700000,5464109.720000,59.352915,18.073148,33.918000,9.675000,1.032000,1.385000,1.150000,553056.512972
570459200,0,3098536.210000,1011150.700000,5464109.720000,59.352915,18.073148,33.903000,9.660001,1.041000,1.397000,1.150000,553056.512972
570459400,0,3098536.190000,1011150.700000,5464109.690000,59.352915,18.073148,33.870000,9.626000,1.049000,1.409000,1.150000,553056.512972
570459600,0,3098536.180000,1011150.700000,5464109.680000,59.352915,18.073148,33.852000,9.609000,1.042000,1.401000,1.150000,553056.512972
570459800,0,3098536.190000,1011150.720000,5464109.700000,59.352915,18.073148,33.876000,9.633000,1.025000,1.378000,1.150000,553056.512972
570460000,0,3098536.190000,1011150.730000,5464109.700000,59.352915,18.073148,33.881000,9.637000,1.023000,1.369000,1.150000,553056.513033
570460200,0,3098536.180000,1011150.730000,5464109.690000,59.352915,18.073148,33.871000,9.628000,0.986000,1.313000,1.150000,553056.513033
570460400,0,3098536.150000,1011150.720000,5464109.640000,59.352915,18.073148,33.809000,9.565001,0.949000,1.264000,1.150000,553056.513033
570460600,0,3098536.130000,1011150.710000,5464109.600000,59.352915,18.073148,33.760000,9.517000,0.951000,1.270000,1.150000,553056.513033
570460800,0,3098536.100000,1011150.710000,5464109.570000,59.352915,18.073149,33.726000,9.482000,0.950000,1.269000,1.150000,553056.513033
570461000,0,3098536.080000,1011150.700000,5464109.550000,59.352915,18.073149,33.698000,9.455001,0.948000,1.268000,1.150000,553056.513094
570461200,0,3098536.060000,1011150.700000,5464109.510000,59.352915,18.073149,33.648000,9.405001,0.952000,1.276000,1.150000,553056.513094
570461400,0,3098536.030000,1011150.700000,5464109.470000,59.352915,18.073149,33.605000,9.362000,0.946000,1.268000,1.150000,553056.513094
570461600,0,3098536.010000,1011150.690000,5464109.440000,59.352915,18.073149,33.570000,9.327001,0.941000,1.264000,1.150000,553056.513094
570461800,0,3098536.000000,1011150.690000,5464109.420000,59.352915,18.073149,33.546000,9.302000,0.941000,1.265000,1.150000,553056.513094
570462000,0,3098535.990000,1011150.690000,5464109.390000,59.352915,18.073149,33.515000,9.272000,0.949000,1.276000,1.150000,553056.513063
570462200,0,3098535.970000,1011150.690000,5464109.360000,59.352915,18.073149,33.476000,9.233001,0.948000,1.277000,1.150000,553056.513063
570462400,0,3098535.950000,1011150.680000,5464109.310000,59.352915,18.073149,33.427000,9.183001,0.948000,1.278000,1.150000,553056.513063
570462600,0,3098535.940000,1011150.680000,5464109.280000,59.352915,18.073149,33.397000,9.153001,0.937000,1.265000,1.150000,553056.513063
