timeOfWeek, lla0,lla1,lla2,ned0,ned1,ned2,theta0,theta1,theta2
11.960, 59.3529430, 18.0729745, 25.46, 359.651886, 330.887085, 84.326561,  89.3,  -3.6,  65.8
12.060, 59.3529430, 18.0729745, 25.49, 359.651520, 330.886810, 84.294731,  89.3,  -3.6,  65.8
12.160, 59.3529430, 18.0729745, 25.50, 359.651398, 330.886810, 84.285484,  89.3,  -3.6,  65.8
12.260, 59.3529430, 18.0729745, 25.50, 359.651489, 330.885834, 84.278969,  89.3,  -3.6,  65.8
12.360, 59.3529430, 18.0729745, 25.51, 359.651337, 330.885773, 84.276505,  89.3,  -3.6,  65.8
12.460, 59.3529430, 18.0729745, 25.51, 359.652435, 330.886047, 84.277054,  89.3,  -3.6,  65.8
12.560, 59.3529430, 18.0729745, 25.50, 359.652283, 330.886047, 84.285889,  89.3,  -3.6,  65.8
304815.078, 59.3529430, 18.0729745, 25.52, 359.652283, 330.885681, 84.264313,  89.3,  -3.6,  65.8
304815.178, 59.3529430, 18.0729745, 25.53, 359.652069, 330.885651, 84.250168,  89.3,  -3.6,  65.8
304815.278, 59.3529430, 18.0729745, 25.55, 359.651917, 330.885193, 84.234184,  89.3,  -3.6,  65.8
304815.378, 59.3529430, 18.0729745, 25.55, 359.651703, 330.885132, 84.233727,  89.3,  -3.6,  65.8
304815.478, 59.3529430, 18.0729745, 25.58, 359.654755, 330.886353, 84.198441,  89.3,  -3.6,  65.8
304815.578, 59.3529430, 18.0729745, 25.60, 359.654510, 330.886322, 84.180565,  89.3,  -3.6,  65.8
304815.678, 59.3529431, 18.0729745, 25.65, 359.657074, 330.886261, 84.129128,  89.3,  -3.6,  65.8
304815.778, 59.3529431, 18.0729745, 25.68, 359.656830, 330.886230, 84.103592,  89.3,  -3.6,  65.8
304815.878, 59.3529431, 18.0729745, 25.72, 359.657684, 330.886444, 84.059364,  89.3,  -3.6,  65.8
304815.978, 59.3529431, 18.0729745, 25.74, 359.657471, 330.886414, 84.043304,  89.3,  -3.6,  65.7
304816.078, 59.3529431, 18.0729745, 25.77, 359.657867, 330.886108, 84.012306,  89.3,  -3.6,  65.7
304816.178, 59.3529431, 18.0729745, 25.79, 359.657654, 330.886047, 83.995346,  89.3,  -3.6,  65.7
304816.278, 59.3529431, 18.0729745, 25.83, 359.658569, 330.886108, 83.955811,  89.3,  -3.6,  65.7
304816.378, 59.3529431, 18.0729745, 25.83, 359.658356, 330.886047, 83.956673,  89.3,  -3.6,  65.7
304816.478, 59.3529431, 18.0729745, 25.86, 359.658508, 330.886200, 83.927094,  89.3,  -3.6,  65.8
304816.578, 59.3529431, 18.0729745, 25.86, 359.658264, 330.886139, 83.921082,  89.3,  -3.6,  65.8
304816.678, 59.3529431, 18.0729745, 25.91, 359.657928, 330.885529, 83.876221,  89.3,  -3.6,  65.8
304816.778, 59.3529431, 18.0729745, 25.93, 359.657654, 330.885468, 83.854866,  89.3,  -3.6,  65.7
304816.878, 59.3529431, 18.0729745, 25.98, 359.658417, 330.885376, 83.805550,  89.3,  -3.6,  65.7
304816.978, 59.3529431, 18.0729745, 26.00, 359.658142, 330.885315, 83.783890,  89.3,  -3.6,  65.7
304817.078, 59.3529431, 18.0729745, 26.05, 359.659607, 330.885071, 83.731476,  89.3,  -3.6,  65.7
304817.178, 59.3529431, 18.0729745, 26.06, 359.659363, 330.885010, 83.722969,  89.3,  -3.6,  65.7
