timeOfWeek, lla0,lla1,lla2,ned0,ned1,ned2,theta0,theta1,theta2
306703.553, 59.3528614, 18.0729778, 29.03, 176946.046875, 82515.320313, 3.973275,  86.6,  -4.7,  21.4
306703.653, 59.3528614, 18.0729778, 29.02, 176946.046875, 82515.320313, 3.977791,  86.6,  -4.7,  21.4
306703.753, 59.3528614, 18.0729778, 29.02, 176946.046875, 82515.320313, 3.975040,  86.6,  -4.7,  21.4
306703.853, 59.3528614, 18.0729778, 29.02, 176946.046875, 82515.320313, 3.978412,  86.6,  -4.7,  21.4
306703.953, 59.3528614, 18.0729778, 29.02, 176946.046875, 82515.320313, 3.980602,  86.6,  -4.7,  21.4
306704.053, 59.3528614, 18.0729778, 29.01, 176946.046875, 82515.320313, 3.993448,  86.6,  -4.7,  21.4
306704.153, 59.3528614, 18.0729779, 29.00, 176946.046875, 82515.328125, 4.002201,  86.6,  -4.7,  21.4
306704.253, 59.3528614, 18.0729778, 28.99, 176946.046875, 82515.328125, 4.007864,  86.6,  -4.7,  21.4
306704.353, 59.3528614, 18.0729779, 28.99, 176946.046875, 82515.328125, 4.012829,  86.6,  -4.7,  21.4
306704.453, 59.3528614, 18.0729779, 28.98, 176946.046875, 82515.328125, 4.015044,  86.6,  -4.7,  21.4
306704.553, 59.3528614, 18.0729780, 28.98, 176946.046875, 82515.335938, 4.020751,  86.6,  -4.7,  21.4
306704.653, 59.3528614, 18.0729780, 28.98, 176946.046875, 82515.335938, 4.023746,  86.6,  -4.7,  21.4
306704.753, 59.3528614, 18.0729780, 28.97, 176946.046875, 82515.335938, 4.025493,  86.6,  -4.7,  21.4
306704.853, 59.3528614, 18.0729780, 28.98, 176946.046875, 82515.335938, 4.024275,  86.6,  -4.7,  21.4
306704.953, 59.3528614, 18.0729780, 28.98, 176946.046875, 82515.335938, 4.022471,  86.6,  -4.8,  21.4
306705.053, 59.3528614, 18.0729780, 28.97, 176946.046875, 82515.335938, 4.025499,  86.6,  -4.7,  21.4
306705.153, 59.3528615, 18.0729780, 28.97, 176946.046875, 82515.335938, 4.033784,  86.6,  -4.7,  21.4
306705.253, 59.3528614, 18.0729780, 28.97, 176946.046875, 82515.335938, 4.033757,  86.6,  -4.7,  21.3
