timeOfWeek, lla0,lla1,lla2,ned0,ned1,ned2,theta0,theta1,theta2
464097.666s, 59.3481464, 18.0688959, 69.60, 1054.648926, -2164.078613, -38.402443,   4.1,   0.8, -68.5
464097.706s, 59.3481464, 18.0688959, 69.60, 1054.648926, -2164.078613, -38.401478,   4.1,   0.8, -68.5
464097.746s, 59.3481464, 18.0688959, 69.60, 1054.648926, -2164.078613, -38.400753,   4.1,   0.8, -68.5
464097.786s, 59.3481464, 18.0688959, 69.60, 1054.648926, -2164.078613, -38.400520,   4.1,   0.8, -68.5
464097.826s, 59.3481464, 18.0688959, 69.60, 1054.648926, -2164.078613, -38.400860,   4.1,   0.8, -68.5
464097.866s, 59.3481464, 18.0688959, 69.60, 1054.648926, -2164.078613, -38.400417,   4.1,   0.8, -68.5
464097.906s, 59.3481464, 18.0688959, 69.60, 1054.649048, -2164.078613, -38.400215,   4.1,   0.8, -68.5
464097.946s, 59.3481464, 18.0688959, 69.59, 1054.649048, -2164.078613, -38.398643,   4.1,   0.8, -68.5
464097.986s, 59.3481464, 18.0688959, 69.59, 1054.649048, -2164.078613, -38.398060,   4.1,   0.8, -68.5
464098.026s, 59.3481464, 18.0688959, 69.59, 1054.649048, -2164.078613, -38.397312,   4.1,   0.8, -68.5
464098.066s, 59.3481464, 18.0688959, 69.59, 1054.649048, -2164.078613, -38.396793,   4.1,   0.8, -68.5
464098.106s, 59.3481464, 18.0688959, 69.59, 1054.649048, -2164.078613, -38.395863,   4.1,   0.8, -68.5
464098.146s, 59.3481464, 18.0688959, 69.59, 1054.649048, -2164.078613, -38.396053,   4.1,   0.8, -68.5
464098.186s, 59.3481464, 18.0688959, 69.59, 1054.649048, -2164.078613, -38.395737,   4.1,   0.8, -68.5
464098.226s, 59.3481464, 18.0688959, 69.59, 1054.649048, -2164.078613, -38.394871,   4.1,   0.8, -68.5
464098.266s, 59.3481464, 18.0688959, 69.59, 1054.649048, -2164.078613, -38.395176,   4.1,   0.8, -68.5
464098.306s, 59.3481464, 18.0688959, 69.59, 1054.649048, -2164.078613, -38.394722,   4.1,   0.8, -68.5
464098.346s, 59.3481464, 18.0688959, 69.59, 1054.649048, -2164.078613, -38.394012,   4.1,   0.8, -68.5
464098.386s, 59.3481464, 18.0688959, 69.59, 1054.649048, -2164.078613, -38.393490,   4.1,   0.8, -68.5
464098.426s, 59.3481464, 18.0688959, 69.59, 1054.649170, -2164.078613, -38.391991,   4.1,   0.8, -68.5
464098.466s, 59.3481464, 18.0688959, 69.59, 1054.649170, -2164.078613, -38.390629,   4.1,   0.8, -68.5
464098.506s, 59.3481464, 18.0688959, 69.59, 1054.649170, -2164.078613, -38.389942,   4.1,   0.8, -68.5
464098.546s, 59.3481464, 18.0688959, 69.59, 1054.649170, -2164.078613, -38.389256,   4.1,   0.8, -68.5
464098.586s, 59.3481464, 18.0688959, 69.59, 1054.649170, -2164.078613, -38.389355,   4.1,   0.8, -68.5
464098.626s, 59.3481464, 18.0688959, 69.58, 1054.649170, -2164.078613, -38.388721,   4.1,   0.8, -68.5
464098.666s, 59.3481464, 18.0688959, 69.58, 1054.649170, -2164.078613, -38.387585,   4.1,   0.8, -68.5
464098.706s, 59.3481464, 18.0688959, 69.58, 1054.649170, -2164.078613, -38.387398,   4.1,   0.8, -68.5
464098.746s, 59.3481464, 18.0688959, 69.58, 1054.649170, -2164.078613, -38.386692,   4.1,   0.8, -68.5
464098.786s, 59.3481464, 18.0688959, 69.58, 1054.649170, -2164.078613, -38.386055,   4.1,   0.8, -68.5
464098.826s, 59.3481464, 18.0688959, 69.58, 1054.649170, -2164.078613, -38.385094,   4.1,   0.8, -68.5
464098.866s, 59.3481464, 18.0688959, 69.58, 1054.649170, -2164.078613, -38.383812,   4.1,   0.8, -68.5
464098.906s, 59.3481464, 18.0688959, 69.58, 1054.649292, -2164.078613, -38.382187,   4.1,   0.8, -68.5
464098.946s, 59.3481464, 18.0688959, 69.58, 1054.649292, -2164.078613, -38.381062,   4.1,   0.8, -68.5
464098.986s, 59.3481464, 18.0688959, 69.58, 1054.649292, -2164.078613, -38.382729,   4.1,   0.8, -68.5
464099.026s, 59.3481464, 18.0688959, 69.58, 1054.649170, -2164.078613, -38.383141,   4.1,   0.8, -68.5
464099.066s, 59.3481464, 18.0688959, 69.58, 1054.649292, -2164.078613, -38.381756,   4.1,   0.8, -68.5
464099.106s, 59.3481464, 18.0688959, 69.58, 1054.649292, -2164.078613, -38.380436,   4.1,   0.8, -68.5
464099.146s, 59.3481464, 18.0688959, 69.58, 1054.649292, -2164.078613, -38.379395,   4.1,   0.8, -68.5
464099.186s, 59.3481464, 18.0688959, 69.58, 1054.649292, -2164.078613, -38.379078,   4.1,   0.8, -68.5
464099.226s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.377033,   4.1,   0.8, -68.5
464099.266s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.376289,   4.1,   0.8, -68.5
464099.306s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.375805,   4.1,   0.8, -68.5
464099.346s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.375278,   4.1,   0.8, -68.5
464099.386s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.375145,   4.1,   0.8, -68.5
464099.426s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.374958,   4.1,   0.8, -68.5
464099.466s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.374615,   4.1,   0.8, -68.5
464099.506s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.373707,   4.1,   0.8, -68.5
464099.546s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.373440,   4.1,   0.8, -68.5
464099.586s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.373100,   4.1,   0.8, -68.5
464099.626s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.373093,   4.1,   0.8, -68.5
464099.666s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.373573,   4.1,   0.8, -68.5
464099.706s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.372540,   4.1,   0.8, -68.5
464099.746s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.372021,   4.1,   0.8, -68.5
464099.786s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.371685,   4.1,   0.8, -68.5
464099.826s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.371201,   4.1,   0.8, -68.5
464099.866s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.370770,   4.1,   0.8, -68.5
464099.906s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.370152,   4.1,   0.8, -68.5
464099.946s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.370308,   4.1,   0.8, -68.5
464099.986s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.369572,   4.1,   0.8, -68.5
464100.026s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.368885,   4.1,   0.8, -68.5
464100.066s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.368179,   4.1,   0.8, -68.5
464100.106s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.367317,   4.1,   0.8, -68.5
464100.146s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.366772,   4.1,   0.8, -68.5
464100.186s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.367104,   4.1,   0.8, -68.5
464100.226s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.366837,   4.1,   0.8, -68.5
464100.266s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.366634,   4.1,   0.8, -68.5
464100.306s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.365932,   4.1,   0.8, -68.5
464100.346s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.365215,   4.1,   0.8, -68.5
464100.386s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.365765,   4.1,   0.8, -68.5
464100.426s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.366615,   4.1,   0.8, -68.5
464100.466s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.367359,   4.1,   0.8, -68.5
464100.506s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.366913,   4.1,   0.8, -68.5
464100.546s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.367676,   4.1,   0.8, -68.5
464100.586s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.368244,   4.1,   0.8, -68.5
464100.626s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.368637,   4.1,   0.8, -68.5
464100.666s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.368347,   4.1,   0.8, -68.5
464100.706s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.368458,   4.1,   0.8, -68.5
464100.746s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.368954,   4.1,   0.8, -68.5
464100.786s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.370037,   4.1,   0.8, -68.5
464100.826s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.370422,   4.1,   0.8, -68.5
464100.866s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.371002,   4.1,   0.8, -68.5
464100.906s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.370850,   4.1,   0.8, -68.5
464100.946s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.370274,   4.1,   0.8, -68.5
464100.986s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.370502,   4.1,   0.8, -68.5
464101.026s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.371231,   4.1,   0.8, -68.5
464101.066s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.371655,   4.1,   0.8, -68.5
464101.106s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.371777,   4.1,   0.8, -68.5
464101.146s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.371124,   4.1,   0.8, -68.5
464101.186s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.372211,   4.1,   0.8, -68.5
464101.226s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.371876,   4.1,   0.8, -68.5
464101.266s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.370773,   4.1,   0.8, -68.5
464101.306s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.369865,   4.1,   0.8, -68.5
464101.346s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.369579,   4.1,   0.8, -68.5
464101.386s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.369728,   4.1,   0.8, -68.5
464101.426s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.369244,   4.1,   0.8, -68.5
464101.466s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.369106,   4.1,   0.8, -68.5
464101.506s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.368271,   4.1,   0.8, -68.5
464101.546s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.367519,   4.1,   0.8, -68.5
464101.586s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.367199,   4.1,   0.8, -68.5
464101.626s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.366043,   4.1,   0.8, -68.5
464101.666s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.366535,   4.1,   0.8, -68.5
464101.706s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.366253,   4.1,   0.8, -68.5
464101.746s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.366028,   4.1,   0.8, -68.5
464101.786s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.366589,   4.1,   0.8, -68.5
464101.826s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.364872,   4.1,   0.8, -68.5
464101.866s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.365005,   4.1,   0.8, -68.5
464101.906s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.365055,   4.1,   0.8, -68.5
464101.946s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.366116,   4.1,   0.8, -68.5
464101.986s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.368042,   4.1,   0.8, -68.5
464102.026s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.367886,   4.1,   0.8, -68.5
464102.066s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.368851,   4.1,   0.8, -68.5
464102.106s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.369205,   4.1,   0.8, -68.5
464102.146s, 59.3481464, 18.0688959, 69.56, 1054.649292, -2164.078613, -38.368351,   4.1,   0.8, -68.5
464102.186s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.369705,   4.1,   0.8, -68.5
464102.226s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.369823,   4.1,   0.8, -68.5
464102.266s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.369659,   4.1,   0.8, -68.5
464102.306s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.369598,   4.1,   0.8, -68.5
464102.346s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.369507,   4.1,   0.8, -68.5
464102.386s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.370358,   4.1,   0.8, -68.5
464102.426s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.370026,   4.1,   0.8, -68.5
464102.466s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.370564,   4.1,   0.8, -68.5
464102.506s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.370487,   4.1,   0.8, -68.5
464102.546s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.370415,   4.1,   0.8, -68.5
464102.586s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.371826,   4.1,   0.8, -68.5
464102.626s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.373047,   4.1,   0.8, -68.5
464102.666s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.372757,   4.1,   0.8, -68.5
464102.706s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.372948,   4.1,   0.8, -68.5
464102.746s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.371967,   4.1,   0.8, -68.5
464102.786s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.372898,   4.1,   0.8, -68.5
464102.826s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.372803,   4.1,   0.8, -68.5
464102.866s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.373951,   4.1,   0.8, -68.5
464102.906s, 59.3481464, 18.0688959, 69.57, 1054.649292, -2164.078613, -38.374912,   4.1,   0.8, -68.5
